candidate_code,candidate_name,candidate_family,cluster_id,cluster_label,rms_kappa,rms_gamma,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,kappa_bias,gamma_bias,std_resid_kappa,std_resid_gamma,max_conservation_error,runtime_seconds,n_photons,grid_n,step,steps
C10-B,Elastic Memory only,elastic memory,Abell2744,Abell 2744,0.15550679140404888,0.060280194443209326,0.00882936582205614,0.08242904852747251,-0.009290403902590946,0.09525493843840627,-0.05973153456686126,-0.0009662063208238462,0.14357752592613593,0.06027245048491661,2.220446049250313e-16,0.2341802289010957,20000,256,0.03,160
C10-B,Elastic Memory only,elastic memory,MACS0416,MACS J0416,0.1864769043382551,0.06513827541996028,0.01050875630644144,0.14032245890989511,0.00010880282815462606,0.14779029516636996,-0.09893159955480386,-0.013677308334780432,0.15807015676941255,0.0636861536081584,2.220446049250313e-16,0.22031116497237235,20000,256,0.03,160
C10-B,Elastic Memory only,elastic memory,MACS1149,MACS J1149,0.08573735470090346,0.11673128781864259,0.23279686064059885,-0.03892402666614597,0.10530315343603279,-0.0001606725768125901,-0.032456797284022156,-0.09396663716630785,0.07935647611362556,0.06925651345147421,2.220446049250313e-16,0.2276368080638349,20000,256,0.03,160
C10-B,Elastic Memory only,elastic memory,AbellS1063,Abell S1063,0.13382409931940362,0.06887400555359507,0.09458271637575731,0.0862220217600411,-0.04033786537353015,0.09598674549092158,-0.05384141020352873,-0.023095113778470018,0.12251527294972231,0.06488639580494641,2.220446049250313e-16,0.21553797903470695,20000,256,0.03,160
C10-B,Elastic Memory only,elastic memory,Abell370,Abell 370,0.1794183115775739,0.09026732060264615,0.18661815380574268,0.0012015636262568794,-0.04033705066702193,0.029803730987310255,-0.06792466763854756,-0.01923044402889815,0.1660637529852323,0.08819511999670006,2.220446049250313e-16,0.23151741095352918,20000,256,0.03,160
C10-C,Combined (original C10),combined response,Abell2744,Abell 2744,0.13989696057451279,0.05618225145471146,0.02095357061978703,0.08236006923316277,-0.01173258724612844,0.09395358789141661,-0.05804186125726504,-0.00932951889252729,0.1272882630872901,0.05540221526035222,2.220446049250313e-16,0.21698214404750615,20000,256,0.03,160
C10-C,Combined (original C10),combined response,MACS0416,MACS J0416,0.17081872917677793,0.06301111807575659,0.01165719482058969,0.13948557453469082,0.0008993272632205274,0.14694815338772518,-0.09665223918532907,-0.02259976909902681,0.1408452444991713,0.05881880173743436,2.220446049250313e-16,0.22942309395875782,20000,256,0.03,160
C10-C,Combined (original C10),combined response,MACS1149,MACS J1149,0.08246665209961095,0.11850268536455216,0.23548113694577066,-0.020830152422641992,0.09577987939509787,0.004693138327974437,-0.03302810413609478,-0.09715397660336844,0.075563834244257,0.06785271747514744,2.220446049250313e-16,0.21611394092906266,20000,256,0.03,160
C10-C,Combined (original C10),combined response,AbellS1063,Abell S1063,0.1227000352541738,0.0678596209492412,0.10339683814108096,0.08651609321796302,-0.0337719135298446,0.09103655200761389,-0.05088094706410515,-0.028685644499989178,0.11165315883231976,0.06149847115981775,2.220446049250313e-16,0.22747141704894602,20000,256,0.03,160
C10-C,Combined (original C10),combined response,Abell370,Abell 370,0.15946499630985522,0.08879898289434615,0.19504483619347446,0.03569914926099118,-0.042973423900498936,0.05925133967434112,-0.06729688857556167,-0.031552476456988686,0.14456906251390916,0.08300422032946009,2.220446049250313e-16,0.22254384099505842,20000,256,0.03,160
