A,B,median_pearson_kappa,delta_A,delta_B,grad_A,grad_B,grad_magnitude,hessian_AA,hessian_AB,hessian_BB,hessian_dominant_eigenvalue,hessian_dominant_eigenvector_angle_deg,is_local_max,neighborhood_mean,neighborhood_std
0.5,0.5,0.09843113603904245,0.0022159286836074404,0.002722836176856508,0.008863714734429762,0.010891344707426032,0.014042322757625403,0.013515462747235585,0.008609199330916084,-0.027088438899474543,0.01526543973877628,-168.51012577015877,False,0.09809746340443722,0.0028485851858496302
0.5,0.75,0.10030745850029038,0.0025939732081839625,0.002103015827434239,0.01037589283273585,0.008412063309736956,0.013357468368049458,0.007938298134731125,0.009036875228531194,0.007254187717961935,0.016639589412112944,-136.08383527636093,False,0.10062855250568653,0.0027846280798238163
0.5,1.0,0.10263716769391093,0.0033455380871738397,0.0023297091936205494,0.013382152348695359,0.009318836774482198,0.01630713709739188,0.003021212741195045,nan,nan,nan,nan,False,0.10158647466872489,0.002687337903681649
0.75,0.0,0.09200842623299027,0.0012892660437871378,0.004738767468947275,0.005157064175148551,0.0189550698757891,0.019644082694354754,0.00549273069359435,nan,nan,nan,nan,False,0.09442094932642071,0.002640302780373245
0.75,0.25,0.09674719370193754,0.0018431777980558173,0.004530498350255367,0.007372711192223269,0.01812199340102147,0.019564342952182165,-0.001351352233739611,0.009548680057856918,-0.00666461179814104,0.00590337372618649,-142.7738042950679,False,0.09660256589690543,0.003941834227221202
0.75,0.5,0.101069422933501,0.0024828510510192525,0.003201154911623573,0.00993140420407701,0.012804619646494292,0.016204662099412813,-0.004973946990057598,0.008041399496730106,-0.035874378238076376,-0.0030065488654964032,-166.2521499898238,False,0.10027951607787644,0.003326561734167162
0.75,0.75,0.10314950352518469,0.0028483527351470805,0.002503847872873055,0.011393410940588322,0.01001539149149222,0.015169636765228508,0.00020184672808865045,0.0066846842469612255,0.013560552998059805,0.016331002071766916,67.48857193408759,False,0.1033718722600591,0.0031406926507763495
0.75,1.0,0.10607711867924711,0.0033184365818894057,0.002927615154062424,0.013273746327557623,0.011710460616249696,0.01770105164709387,-0.0038884609102969314,nan,nan,nan,nan,False,0.10457490887115124,0.0028976714735498687
1.0,0.0,0.09346934011095223,0.0014609138779619613,0.005078801631736768,0.005843655511847845,0.02031520652694707,0.021138967003466905,nan,nan,nan,nan,nan,False,0.09519327544714226,0.0025877116997373713
1.0,0.25,0.098548141742689,0.0018009480407514544,0.004963749015064363,0.007203792163005818,0.01985499606025745,0.021121446211863026,nan,nan,-0.0036816837335169605,nan,nan,False,0.09753989381052515,0.003991091142750696
1.0,0.5,0.10339683814108096,0.0023274152075799526,0.003728011113947771,0.00930966083031981,0.014912044455791085,0.017579500977760447,nan,nan,-0.035861929102213974,nan,nan,False,0.10148587733582963,0.0031116229601678026
1.0,0.75,0.10600416397058454,0.002854660445399851,0.002938601358304392,0.011418641781599403,0.011754405433217568,0.01638753877874717,nan,nan,0.010600816921625844,nan,nan,False,0.10482851468454801,0.002636393152477924
1.0,1.0,0.10927404085768974,0.0031969221784426266,0.0032698768871051997,0.012787688713770506,0.013079507548420799,0.01829203379478319,nan,nan,nan,nan,nan,False,0.10612620675817652,0.0021671943692743866
