cluster_id,model,stage_id,rank,peak_index_y,peak_index_x,peak_value,common_peak_fraction
Abell2744,C10,C10-S03,25,61,33,0.9682488611372262,0.42857142857142855
Abell2744,C10,C10-S03,26,33,28,0.9680764791919014,0.42857142857142855
Abell2744,C10,C10-S03,27,63,29,0.96621387835094,0.42857142857142855
Abell2744,C10,C10-S03,28,52,42,0.9661026763292846,0.42857142857142855
Abell2744,C10,C10-S03,29,61,54,0.965646586991662,0.42857142857142855
Abell2744,C10,C10-S04,1,33,31,0.2304071630841062,0.7142857142857143
Abell2744,C10,C10-S04,2,36,35,0.12906845302551911,0.7142857142857143
Abell2744,C10,C10-S04,3,30,63,0.09162086471184074,0.7142857142857143
Abell2744,C10,C10-S04,4,54,63,0.08411174163516053,0.7142857142857143
Abell2744,C10,C10-S04,5,30,27,0.0832726855612539,0.7142857142857143
Abell2744,C10,C10-S04,6,33,28,0.07771521589336196,0.7142857142857143
Abell2744,C10,C10-S04,7,39,63,0.07277392136990968,0.7142857142857143
Abell2744,C10,C10-S04,8,47,24,0.07260946624253337,0.7142857142857143
Abell2744,C10,C10-S04,9,8,43,0.07207700429866533,0.7142857142857143
Abell2744,C10,C10-S04,10,54,13,0.07120688015965407,0.7142857142857143
Abell2744,C10,C10-S04,11,37,32,0.07039328948314445,0.7142857142857143
Abell2744,C10,C10-S04,12,31,53,0.06918076535656914,0.7142857142857143
Abell2744,C10,C10-S04,13,63,8,0.06904235943417894,0.7142857142857143
Abell2744,C10,C10-S04,14,24,38,0.06889231429142831,0.7142857142857143
Abell2744,C10,C10-S04,15,37,10,0.06856436944754542,0.7142857142857143
Abell2744,C10,C10-S04,16,56,57,0.06810751686237872,0.7142857142857143
Abell2744,C10,C10-S04,17,48,63,0.06678381383540254,0.7142857142857143
Abell2744,C10,C10-S04,18,55,36,0.06616356323621864,0.7142857142857143
Abell2744,C10,C10-S04,19,11,14,0.06594440231908949,0.7142857142857143
Abell2744,C10,C10-S04,20,15,31,0.06543378896045948,0.7142857142857143
Abell2744,C10,C10-S04,21,54,5,0.0647926737672915,0.7142857142857143
Abell2744,C10,C10-S04,22,19,9,0.0647521713968235,0.7142857142857143
Abell2744,C10,C10-S04,23,53,35,0.06427663576031387,0.7142857142857143
Abell2744,C10,C10-S04,24,47,59,0.06236814819117664,0.7142857142857143
Abell2744,C10,C10-S04,25,36,46,0.061939734237059965,0.7142857142857143
Abell2744,C10,C10-S04,26,14,18,0.061889512425550915,0.7142857142857143
Abell2744,C10,C10-S04,27,45,33,0.0618457715900913,0.7142857142857143
Abell2744,C10,C10-S04,28,27,7,0.06159709002220049,0.7142857142857143
Abell2744,C10,C10-S04,29,63,29,0.058963288323460795,0.7142857142857143
Abell2744,C10,C10-S04,30,44,20,0.057762668210957456,0.7142857142857143
Abell2744,C10,C10-S04,31,28,12,0.05761343500682707,0.7142857142857143
Abell2744,C10,C10-S04,32,50,31,0.05681567614608443,0.7142857142857143
Abell2744,C10,C10-S04,33,42,31,0.05640283949968302,0.7142857142857143
Abell2744,C10,C10-S04,34,12,63,0.05635980558626229,0.7142857142857143
Abell2744,C10,C10-S04,35,5,62,0.056103614272630525,0.7142857142857143
Abell2744,C10,C10-S04,36,51,35,0.05559462675542906,0.7142857142857143
Abell2744,C10,C10-S05,1,33,32,0.19776160949946964,0.7142857142857143
Abell2744,C10,C10-S05,2,35,35,0.0695206620869816,0.7142857142857143
Abell2744,C10,C10-S05,3,36,47,0.054774632120601116,0.7142857142857143
Abell2744,C10,C10-S05,4,45,34,0.053125563877296195,0.7142857142857143
Abell2744,C10,C10-S05,5,31,54,0.05173113981300708,0.7142857142857143
Abell2744,C10,C10-S05,6,63,9,0.05018357224925758,0.7142857142857143
Abell2744,C10,C10-S05,7,16,34,0.04980144108458759,0.7142857142857143
Abell2744,C10,C10-S05,8,36,10,0.04804547729838331,0.7142857142857143
Abell2744,C10,C10-S05,9,53,36,0.047876082860877064,0.7142857142857143
Abell2744,C10,C10-S05,10,9,45,0.04695026028263359,0.7142857142857143
Abell2744,C10,C10-S05,11,50,35,0.04638596372652888,0.7142857142857143
Abell2744,C10,C10-S05,12,28,13,0.043708320471120984,0.7142857142857143
Abell2744,C10,C10-S05,13,53,56,0.04294178479172052,0.7142857142857143
Abell2744,C10,C10-S05,14,30,28,0.042340662212908234,0.7142857142857143
Abell2744,C10,C10-S05,15,11,57,0.04141397529458042,0.7142857142857143
Abell2744,C10,C10-S05,16,14,31,0.041172857072844404,0.7142857142857143
Abell2744,C10,C10-S05,17,63,14,0.040882638960199294,0.7142857142857143
Abell2744,C10,C10-S05,18,9,29,0.04087113505455589,0.7142857142857143
Abell2744,C10,C10-S05,19,50,31,0.04037627347726156,0.7142857142857143
Abell2744,C10,C10-S05,20,38,16,0.04022930872945469,0.7142857142857143
Abell2744,C10,C10-S05,21,61,30,0.040196177725739565,0.7142857142857143
Abell2744,C10,C10-S05,22,55,8,0.03889717246422382,0.7142857142857143
Abell2744,C10,C10-S05,23,46,31,0.03849735042368445,0.7142857142857143
Abell2744,C10,C10-S05,24,39,48,0.03784575833721534,0.7142857142857143
Abell2744,C10,C10-S05,25,27,33,0.037305109341125214,0.7142857142857143
Abell2744,C10,C10-S05,26,10,36,0.037267077586347286,0.7142857142857143
Abell2744,C10,C10-S05,27,63,55,0.037194907565184045,0.7142857142857143
Abell2744,C10,C10-S05,28,24,39,0.036779357730100624,0.7142857142857143
Abell2744,C10,C10-S05,29,11,1,0.03601455643450027,0.7142857142857143
Abell2744,C10,C10-S05,30,43,53,0.03591132118543176,0.7142857142857143
Abell2744,C10,C10-S05,31,52,28,0.0352738247747895,0.7142857142857143
Abell2744,C10,C10-S05,32,56,19,0.03429475784820016,0.7142857142857143
Abell2744,C10,C10-S05,33,59,29,0.03407383151874253,0.7142857142857143
Abell2744,C10,C10-S05,34,53,13,0.03380689904992806,0.7142857142857143
Abell2744,C10,C10-S05,35,23,34,0.033229452808640536,0.7142857142857143
Abell2744,C10,C10-S05,36,49,1,0.03314073657432733,0.7142857142857143
Abell2744,C10,C10-S05,37,60,20,0.032951010172913145,0.7142857142857143
Abell2744,C10,C10-S05,38,19,26,0.03285834218667942,0.7142857142857143
Abell2744,C10,C10-S05,39,19,19,0.032538959914396634,0.7142857142857143
Abell2744,C10,C10-S05,40,11,32,0.03246740437363024,0.7142857142857143
Abell2744,C10,C10-S05,41,11,16,0.03235238609295425,0.7142857142857143
Abell2744,C10,C10-S06,1,33,31,0.2304071630841062,0.7142857142857143
Abell2744,C10,C10-S06,2,36,35,0.12906845302551911,0.7142857142857143
Abell2744,C10,C10-S06,3,30,63,0.09162086471184074,0.7142857142857143
Abell2744,C10,C10-S06,4,54,63,0.08411174163516053,0.7142857142857143
Abell2744,C10,C10-S06,5,30,27,0.0832726855612539,0.7142857142857143
Abell2744,C10,C10-S06,6,33,28,0.07771521589336196,0.7142857142857143
Abell2744,C10,C10-S06,7,39,63,0.07277392136990968,0.7142857142857143
Abell2744,C10,C10-S06,8,47,24,0.07260946624253337,0.7142857142857143
Abell2744,C10,C10-S06,9,8,43,0.07207700429866533,0.7142857142857143
Abell2744,C10,C10-S06,10,54,13,0.07120688015965407,0.7142857142857143
Abell2744,C10,C10-S06,11,37,32,0.07039328948314445,0.7142857142857143
Abell2744,C10,C10-S06,12,31,53,0.06918076535656914,0.7142857142857143
Abell2744,C10,C10-S06,13,63,8,0.06904235943417894,0.7142857142857143
Abell2744,C10,C10-S06,14,24,38,0.06889231429142831,0.7142857142857143
Abell2744,C10,C10-S06,15,37,10,0.06856436944754542,0.7142857142857143
Abell2744,C10,C10-S06,16,56,57,0.06810751686237872,0.7142857142857143
Abell2744,C10,C10-S06,17,48,63,0.06678381383540254,0.7142857142857143
Abell2744,C10,C10-S06,18,55,36,0.06616356323621864,0.7142857142857143
Abell2744,C10,C10-S06,19,11,14,0.06594440231908949,0.7142857142857143
Abell2744,C10,C10-S06,20,15,31,0.06543378896045948,0.7142857142857143
Abell2744,C10,C10-S06,21,54,5,0.0647926737672915,0.7142857142857143
Abell2744,C10,C10-S06,22,19,9,0.0647521713968235,0.7142857142857143
Abell2744,C10,C10-S06,23,53,35,0.06427663576031387,0.7142857142857143
Abell2744,C10,C10-S06,24,47,59,0.06236814819117664,0.7142857142857143
Abell2744,C10,C10-S06,25,36,46,0.061939734237059965,0.7142857142857143
Abell2744,C10,C10-S06,26,14,18,0.061889512425550915,0.7142857142857143
Abell2744,C10,C10-S06,27,45,33,0.0618457715900913,0.7142857142857143
Abell2744,C10,C10-S06,28,27,7,0.06159709002220049,0.7142857142857143
Abell2744,C10,C10-S06,29,63,29,0.058963288323460795,0.7142857142857143
Abell2744,C10,C10-S06,30,44,20,0.057762668210957456,0.7142857142857143
Abell2744,C10,C10-S06,31,28,12,0.05761343500682707,0.7142857142857143
Abell2744,C10,C10-S06,32,50,31,0.05681567614608443,0.7142857142857143
Abell2744,C10,C10-S06,33,42,31,0.05640283949968302,0.7142857142857143
Abell2744,C10,C10-S06,34,12,63,0.05635980558626229,0.7142857142857143
