cluster_id,cluster_label,file_kind,file_path,file_sha256,product,provenance,native_nx,native_ny,Z_L,Z_S,native_min,native_max
MACS1149,MACS J1149,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-003_MACS1149/hlsp_frontier_model_macs1149_merten_v1_gamma1.fits,83915c4d2718e43d013a967e106b5af6b9841b0972fd027d6ef8f366a08b1d15,gamma1,SaWLens Merten et al. 2014 (Frontier Fields),168,168,0.544,9.0,-0.5612117648124695,1.6307399272918701
MACS1149,MACS J1149,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-003_MACS1149/hlsp_frontier_model_macs1149_merten_v1_gamma2.fits,457e8aee624dc7187687ed58ad07725291bb71ba859ee3307928b51c7a04de86,gamma2,SaWLens Merten et al. 2014 (Frontier Fields),168,168,0.544,9.0,-0.8231671452522278,0.4584868848323822
AbellS1063,Abell S1063,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-004_AbellS1063/hlsp_frontier_model_abells1063_merten_v1_kappa.fits,622c6e43c532f66b728edb50e3fc839c88afbee2910af035eabcd9e4eb5a9cda,kappa,SaWLens Merten et al. 2014 (Frontier Fields),132,132,0.348,9.0,-0.12084609270095825,1.3968669176101685
AbellS1063,Abell S1063,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-004_AbellS1063/hlsp_frontier_model_abells1063_merten_v1_gamma.fits,92c2d5bd304a9e1f4429a2938ab91c194801deb84bd6339ced02b7bb3dc71732,gamma,SaWLens Merten et al. 2014 (Frontier Fields),132,132,0.348,9.0,0.0,0.5552192330360413
AbellS1063,Abell S1063,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-004_AbellS1063/hlsp_frontier_model_abells1063_merten_v1_gamma1.fits,9f1ead585763a19973494f71fee8fc403c9048ce77f63f6ec8b79d956b938558,gamma1,SaWLens Merten et al. 2014 (Frontier Fields),132,132,0.348,9.0,-0.2700151205062866,0.4391787648200989
AbellS1063,Abell S1063,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-004_AbellS1063/hlsp_frontier_model_abells1063_merten_v1_gamma2.fits,fa0dd5c18b4ae7d5fee45b2cc220818b47ab4f3b630d5ec8132a88c4adcb8cf7,gamma2,SaWLens Merten et al. 2014 (Frontier Fields),132,132,0.348,9.0,-0.3396916091442108,0.46854454278945923
Abell370,Abell 370,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-005_Abell370/hlsp_frontier_model_abell370_merten_v1_kappa.fits,d412143a916737e1257120b5384cd18cca31afcd330ddf410e8f1bc52d768569,kappa,SaWLens Merten et al. 2014 (Frontier Fields),240,240,0.375,9.0,-0.24823907017707825,1.2521636486053467
Abell370,Abell 370,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-005_Abell370/hlsp_frontier_model_abell370_merten_v1_gamma.fits,740d833e2960afd2a41e3201ac7081b47f7b9a4da3379c68a5264561ca348422,gamma,SaWLens Merten et al. 2014 (Frontier Fields),240,240,0.375,9.0,0.0003633333835750818,0.5116289854049683
Abell370,Abell 370,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-005_Abell370/hlsp_frontier_model_abell370_merten_v1_gamma1.fits,110d9fe7cd100aa666ce71772604e1d9f610d4fa479d23e2152d2ed6d8abe3d4,gamma1,SaWLens Merten et al. 2014 (Frontier Fields),240,240,0.375,9.0,-0.4928266704082489,0.3075925409793854
Abell370,Abell 370,observation,/home/fabian/pbuf-test/PBUF_benchmark/WL-005_Abell370/hlsp_frontier_model_abell370_merten_v1_gamma2.fits,197b7ea603c933e28e5b3f98ea267bda1c0a7cbd7ea6726583ff5ce97b66727d,gamma2,SaWLens Merten et al. 2014 (Frontier Fields),240,240,0.375,9.0,-0.32441097497940063,0.2763311266899109
