cluster_id,model,stage_id,delta_r_vs_gr,delta_nrmse_vs_gr,delta_d_q_vs_gr,delta_d_p_vs_gr,stage_loss_score
MACS1149,C10,C10-S06,-0.30754137827363315,0.0026654285451282733,-66.32947601764431,-0.7636230567294275,-16.46506703318352
AbellS1063,C10,S01,2.220446049250313e-16,0.0705879479162404,4.070144838902081e-15,1.289905858954564,0.3401234517177019
AbellS1063,C10,S02,-0.3929609137997351,-0.003206965816855853,13.289914198314902,-0.4097589756094354,3.6121979780218876
AbellS1063,C10,C10-S03,-0.39911645240062055,0.6100273565847582,229.06773133618202,-0.0540555751219457,57.80504223181183
AbellS1063,C10,C10-S04,-0.09065781883118149,-0.5907249761384863,-230.16306896147017,0.17406457097223993,-57.554274522827924
AbellS1063,C10,C10-S05,0.26634609807343435,-0.003204989326534055,321.2439916906166,0.7816363313089763,80.23925966007633
AbellS1063,C10,C10-S06,-0.26634609807343435,0.003204989326534055,-321.2439916906166,-0.7816363313089763,-80.23925966007633
Abell370,C10,S01,-1.1102230246251565e-16,0.09979113594605758,3.7810225805815794e-14,1.2899058589545649,0.3474242487251652
Abell370,C10,S02,-0.5011998742155073,-0.005704922528022446,116.73821435032436,-0.31439344648530054,29.605728869543267
Abell370,C10,C10-S03,-0.38339270975182393,0.5276048910292043,238.78914610566702,-0.3598261002996851,60.12262393385095
Abell370,C10,C10-S04,0.0399880392464719,-0.4997724063934116,-330.5383452257564,0.3258889282862576,-82.71804521521237
Abell370,C10,C10-S05,0.24962325598972052,-0.003696233079325331,57.82544983119811,0.7428137134332362,14.391518571898283
Abell370,C10,C10-S06,-0.24962325598972052,0.003696233079325331,-57.82544983119811,-0.7428137134332362,-14.391518571898283
Abell2744,A8,S01,0.0,0.0,0.0,0.0,0.0
Abell2744,A8,S02,-0.5027422315893436,0.00806988445353636,57.45733819766257,-0.9982444165642822,14.6195331479773
Abell2744,A8,A8-S03,0.4900239584355214,-0.007339709093685767,-57.12534196100239,1.07730152291282,-14.503868995231336
Abell2744,A8,A8-S04,1.268201428661353e-05,3.319618999735041e-05,-0.028007364730036732,0.005502731084436885,-0.005630541378187238
Abell2744,A8,A8-S05,0.011450952568486383,6.407040479852744e-05,-1.0451295350049825,0.03807999801673012,-0.26319731921434986
Abell2744,A8,A8-S06,-0.0007624680614417567,3.772620346711997e-05,0.014567128038032007,0.005606374225140209,0.005815275178101591
Abell2744,A8,A8-S07,-0.8732937719958799,0.01898442265177415,87.89251793505838,4.679259860763755,24.020984326614357
Abell2744,A8,A8-S08,-0.23231293745895126,3.7387101864544414e-06,0.0,1.0684672553402663,0.4994306859715645
Abell2744,A8,A8-S09,0.23231293745895126,-4.460488770133275e-06,-2.842170943040401e-14,-1.2293609952255293,-0.5396543013875332
Abell2744,A8,A8-S10,0.8692283818605595,-0.019037112454995522,-87.4093964356355,-4.539288789163377,-23.861158966174028
Abell2744,A8,A8-S11,0.0004866029239223302,-3.569603354786066e-05,0.003886389466292939,-0.005431043275980985,-0.0008816903847313068
Abell2744,A8,A8-S12,-1.538263493001354,0.020771849077686977,554.2232610125334,1.6366545560312327,140.50843534741193
MACS0416,A8,S01,0.0,0.0,0.0,0.0,0.0
MACS0416,A8,S02,-0.45053716435129487,0.015197498939991186,45.413213762439334,-0.9780601489725234,11.563124942452996
MACS0416,A8,A8-S03,0.43790290424550715,-0.014502332187825304,-38.61623985758216,1.052228854273031,-9.832531238119746
MACS0416,A8,A8-S04,0.00013005481300276678,3.1510299544401654e-05,-0.015428572838144916,0.005398167876285553,-0.002629778478581507
MACS0416,A8,A8-S05,0.01281749483260286,5.8548094163474174e-05,-7.862996288306229,0.04041600624577257,-1.9684479283241763
MACS0416,A8,A8-S06,-0.0006792639135571044,3.613132287630383e-05,0.26584978378386115,0.00537467914277534,0.0684944124759353
MACS0416,A8,A8-S07,-0.8852492552045462,0.016765700400252145,114.54112293525966,4.636904670634349,30.683947581778114
MACS0416,A8,A8-S08,-0.21006355795999715,3.635154630560189e-06,1.4210854715202004e-14,1.0682632006167143,0.4771302669028369
MACS0416,A8,A8-S09,0.21006355795999715,-4.336674648358629e-06,-2.842170943040401e-14,-1.229118513781506,-0.5173442705740429
MACS0416,A8,A8-S10,0.8805433857821104,-0.016815144914435656,-110.67452552281301,-4.497730669331361,-29.677811220046813
MACS0416,A8,A8-S11,0.0003960624869525642,-3.4086474755459784e-05,-0.1236964508484899,-0.005243013120585838,-0.03263945009791036
MACS0416,A8,A8-S12,-1.517862778992476,0.018475475501363317,92.37200381582745,1.5110929041907781,24.993255827872375
MACS1149,A8,S01,0.0,0.0,0.0,0.0,0.0
MACS1149,A8,S02,-0.440097262331016,0.0036786695095125874,62.19351678612732,-0.9688574318044674,15.747181768289106
MACS1149,A8,A8-S03,0.423339984068659,-0.0032363489287553712,-61.686349210411024,1.0171325247310523,-15.59145324272084
MACS1149,A8,A8-S04,0.0005491328522876371,1.8613278397063004e-05,-0.0581781749780399,0.005114390971072025,-0.01381042553443034
MACS1149,A8,A8-S05,0.02145031541380693,2.1228897751877918e-05,-1.556866900554048,0.062153405167936215,-0.3951233820358969
MACS1149,A8,A8-S06,-0.0007092478742802832,2.2223443023036693e-05,0.01741837899773291,0.004301449802602164,0.0061447609351198106
MACS1149,A8,A8-S07,-0.9251635767969504,0.012456256337483852,98.2678852166379,4.4273841746639935,26.602094988706796
MACS1149,A8,A8-S08,-0.12673779633802995,2.347424996079761e-06,1.4210854715202004e-14,1.0663612192763576,0.39332868801337195
MACS1149,A8,A8-S09,0.12673779633802998,-2.7989837163983067e-06,0.0,-1.2268608717487703,-0.4334537140211516
MACS1149,A8,A8-S10,0.9169809225551468,-0.012481326792072693,-97.55678458676613,-4.2986760001730815,-26.383966400987966
MACS1149,A8,A8-S11,0.00027702875711232977,-2.0781746627514253e-05,0.016516277567017124,-0.004520205607651651,0.00271679379607216
MACS1149,A8,A8-S12,-1.3748817166291731,0.013529679005419126,825.7676149669845,1.7002157247563727,208.24522180931575
AbellS1063,A8,S01,0.0,0.0,0.0,0.0,0.0
AbellS1063,A8,S02,-0.40682231193041174,0.0036597512917394964,20.715126294046605,-0.9222284811851935,5.3559617029687
AbellS1063,A8,A8-S03,0.3950237480521753,-0.003168698509141296,-20.467301041383795,0.9795411914376573,-5.267755885165995
AbellS1063,A8,A8-S04,0.00033450109551091955,2.1298872978234296e-05,-0.0464736705990334,0.005322029347439194,-0.010617086690164913
AbellS1063,A8,A8-S05,0.014403680262194185,2.502399693223023e-05,-1.2514442625121793,0.05652300359011719,-0.3131277389934767
AbellS1063,A8,A8-S06,-0.0005189102701036452,2.5566173524546598e-05,0.017093223417861236,0.004846039907100419,0.006010117644725196
AbellS1063,A8,A8-S07,-0.9279267102796043,0.014899397336201464,92.9731548527286,4.550115812326756,25.312469225877493
AbellS1063,A8,A8-S08,-0.12786981546047943,2.4213586697074962e-06,2.842170943040401e-14,1.0657306958256028,0.3943030947565547
