cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
MACS0416,S13_P0,S0,N0,0.9035596924905399,0.8066618373280927,0.18596162976388272,0.21053989922765143,0.056846952859023095,0.9423828125,0.33576397140068376,0.07618734078166872
MACS0416,S13_P0,S0,N1,0.90355969249054,0.8066618373280927,0.9118197866530056,1.0,1.0,0.827880859375,0.02864393101776625,-1.5872719805187785e-16
MACS0416,S13_P0,S0,N2,0.9035596924905399,0.8066618373280927,0.9012735346714201,0.9999999999999999,1.2824438785700523,0.9423828125,0.028956084912767622,0.08489917117978683
MACS0416,S13_P0,S1,N0,0.9675814346647518,0.9305011649169722,0.18396625295824998,0.20332992743745076,0.05625671973256617,0.998291015625,0.5083676466402806,0.07625762112891026
MACS0416,S13_P0,S1,N1,0.9675814346647515,0.9305011649169722,0.9693085323816775,1.0000000000000002,1.0000000000000002,0.890625,0.02093464779550849,-7.28583859910259e-17
MACS0416,S13_P0,S1,N2,0.9675814346647514,0.9305011649169722,0.9560370251089418,0.9999999999999999,1.3607294806013894,0.998291015625,0.024248588601525338,0.06693316568640209
MACS0416,S13_P3,S0,N0,-0.01793263975610156,-0.010321827696726632,0.003185392068257016,0.05390165277550685,0.006771039490675347,0.460693359375,0.9040832322122735,0.09353243993436532
MACS0416,S13_P3,S0,N1,-0.017932639756101543,-0.010321827696726632,0.060967493816133346,1.0,1.0,0.538818359375,0.06943610377837214,-1.249000902703301e-16
MACS0416,S13_P3,S0,N2,-0.01793263975610156,-0.010321827696726632,0.006546732302951458,1.0,2.330511136546143,0.460693359375,0.0686001115287995,0.7309060375778152
MACS0416,S13_P3,S1,N0,0.029933169404077472,-0.03763138057748634,0.001326905115371741,0.02363842953771477,0.001865387461516821,0.53173828125,2.416930251739174,0.09364438303457427
MACS0416,S13_P3,S1,N1,0.029933169404077423,-0.03763138057748634,0.08161343936858863,1.0,1.0,0.50927734375,0.07953368752378566,-5.551115123125783e-17
MACS0416,S13_P3,S1,N2,0.02993316940407745,-0.03763138057748634,0.013979301272020125,0.9999999999999999,3.338349585655016,0.53173828125,0.07811173447596705,0.776084997078065
MACS0416,S13_P4,S0,N0,0.898982632634241,0.806979559673175,0.1713355682593591,0.20340989582271343,0.057929033625946175,0.8671875,0.3309104640047931,0.07775666764240671
MACS0416,S13_P4,S0,N1,0.8989826326342412,0.806979559673175,0.9074818100545354,1.0,0.9999999999999998,0.827392578125,0.028824706650076887,-8.673617379884035e-18
MACS0416,S13_P4,S0,N2,0.8989826326342412,0.806979559673175,0.8846081184843035,0.9999999999999999,1.4000776694719939,0.8671875,0.030091335423558425,0.12361288333594522
MACS0416,S13_P4,S1,N0,0.9606117234439852,0.9126932147539834,0.16503734417508725,0.19055885730596736,0.05345820492035401,0.997314453125,0.5302087072896199,0.07782696953804638
MACS0416,S13_P4,S1,N1,0.9606117234439852,0.9126932147539834,0.9627101322356775,1.0000000000000002,1.0000000000000002,0.8779296875,0.023053843712381325,-1.734723475976807e-17
MACS0416,S13_P4,S1,N2,0.960611723443985,0.9126932147539834,0.9412396081846549,1.0,1.4721636552512363,0.997314453125,0.02770814793547,0.08881834203789762
MACS1149,S00,S0,N0,0.983999552836508,0.950823763713912,0.18604696131997633,5.5004456360322855,29.91418788528706,0.748046875,0.059168318844547714,-0.0380772584316697
MACS1149,S00,S0,N1,0.9839995528365083,0.950823763713912,0.9858949829799974,0.9999999999999999,0.9999999999999999,0.938720703125,0.0098710086756181,-5.106592232406726e-17
MACS1149,S00,S0,N2,0.9839995528365081,0.9508239767539637,0.9860042691648311,0.9999999999999999,0.9887385420232341,0.748046875,0.009911043091720277,-0.005195749649317717
MACS1149,S00,S1,N0,0.9982618100745625,0.9952922814513613,0.15125137159384133,5.547814043881872,30.80829223596865,0.97705078125,0.0961754972324283,-0.03807746207814554
