cluster_id,model,stage_id,observable,integrated_abs_radial_difference,r_centre_max,r_centre_min
MACS0416,A8,A8-P5,,1.7225008306866612,0.12076161343831313,0.007600541176233934
MACS0416,A8,A8-P6,,2.0947527717493233,0.0006335319993730137,-0.0002486093815535238
MACS0416,A8,S13_P0,,0.8058243912497781,0.6438141298236726,0.07588762313168736
MACS0416,A8,S13_P3,,2.0920244674688364,0.0020595974597098603,-0.0038078928577197726
MACS0416,A8,S13_P4,,0.7855883546835836,0.6419006630971318,0.07487519740483815
MACS0416,A8,S19,kappa,0.9581606295381192,0.6706037339707828,-0.10441684963799638
MACS0416,A8,S20,gamma1,0.6351941755518469,0.3440733466593704,-0.043844109094228756
MACS0416,A8,S20,gamma2,0.47944582949507886,0.09731594976325368,-0.06711717774519912
MACS0416,A8,S20,gamma_mag,2.027913042126621,0.4685463186949045,0.26436718372921403
MACS1149,C10,S00,,0.0,0.5278088193479549,0.029310302658761334
MACS1149,C10,S01,,1.2945315666459987,0.09500558748263188,0.00527585447857704
MACS1149,C10,S02,,1.09141096579261,0.13918110408813053,0.011310512455772793
MACS1149,C10,C10-S03,,12.99216599266911,0.8700437109549071,0.6465558581064299
MACS1149,C10,C10-S04,,1.5493852784201636,0.023168273513844977,-0.007701258477925372
MACS1149,C10,C10-S05,,1.5500221207710811,0.03241833022807188,-0.003984028642143229
MACS1149,C10,C10-S06,,1.5493852784201636,0.023168273513844977,-0.007701258477925372
MACS1149,C10,S13_P0,,1.23660657910389,0.0783621519745115,0.007987079873172948
MACS1149,C10,S13_P3,,1.5813382145360437,0.0007233237452838376,-0.0011325042529318928
MACS1149,C10,S13_P4,,1.2603470250532909,0.07069172148784131,0.007333845105308596
MACS1149,C10,S19,kappa,0.18229037016983002,0.02189434617060247,-0.0004436158786060296
MACS1149,C10,S20,gamma1,0.2259772827415208,0.010859628000831893,-0.0002806986462972616
MACS1149,C10,S20,gamma2,0.25816521395383474,0.006063005293000062,-0.0034262146257531363
MACS1149,C10,S20,gamma_mag,0.06703945478100022,0.0376424126823582,0.02259072624442673
MACS1149,A8,S00,,1.2939176849191085,0.09484294435881083,0.005530752287097334
MACS1149,A8,S01,,1.2939176849191085,0.09484294435881083,0.005530752287097334
MACS1149,A8,S02,,0.5383233525433955,0.5655440065893089,0.056976479950521366
MACS1149,A8,A8-S03,,1.2960811032329533,0.09105901072525704,0.005728627877524895
MACS1149,A8,A8-S04,,1.2962163892467673,0.0908789255285486,0.0057283076520368926
MACS1149,A8,A8-S05,,1.2970633818927495,0.0906455030166898,0.0055347806249707214
MACS1149,A8,A8-S06,,1.2971910693392388,0.09044030762437537,0.005544213313706599
MACS1149,A8,A8-S07,,1.5786726654928087,1.0965447604330615e-05,-5.968264031234352e-06
MACS1149,A8,A8-S08,,1.5787028805756755,1.4323833674962444e-06,-2.6317074250393484e-06
MACS1149,A8,A8-S09,,1.578666817412254,1.3597155029369964e-05,-7.400647398730596e-06
MACS1149,A8,A8-S10,,1.296703729293003,0.09065961657646197,0.005636260482871746
MACS1149,A8,A8-S11,,1.2965722425628514,0.09085225687097344,0.005631704251247809
MACS1149,A8,A8-S12,,1.585166649587868,0.0021570993944895834,-0.008880207522853067
MACS1149,A8,A8-P5,,1.296703729293003,0.09065961657646197,0.005636260482871746
MACS1149,A8,A8-P6,,1.577722352402649,0.00043861790417322466,-0.00023873056124937406
MACS1149,A8,S13_P0,,0.4566563987960691,0.45001541798953604,0.048796436720677426
MACS1149,A8,S13_P3,,1.58426043780279,0.0008707636381767018,-0.003764781425890964
MACS1149,A8,S13_P4,,0.47272114266976883,0.42452908173358,0.04802421941241362
MACS1149,A8,S19,kappa,0.2717828407489819,0.09212485524483553,0.058374748527028626
MACS1149,A8,S20,gamma1,0.042005877118755176,0.046574289968202995,0.028720758740833047
MACS1149,A8,S20,gamma2,0.2317459521063689,0.04875471083102789,-0.02565999189283211
MACS1149,A8,S20,gamma_mag,0.7587225965956044,0.19154541457923113,0.06472477379456354
AbellS1063,C10,S00,,0.0,0.6866320328241121,0.0
AbellS1063,C10,S01,,1.4792569830486315,0.12359376590834018,0.0
AbellS1063,C10,S02,,1.2499356368142258,0.16905234274271003,0.0
AbellS1063,C10,C10-S03,,12.25312531401505,0.8606188627167781,0.5
AbellS1063,C10,C10-S04,,1.8098209801644183,0.007167961600526074,-0.01431096414337642
AbellS1063,C10,C10-S05,,1.777331957517182,0.0331399426389405,-0.0050314696059915965
AbellS1063,C10,C10-S06,,1.8098209801644183,0.007167961600526074,-0.01431096414337642
AbellS1063,C10,S13_P0,,1.3828766905732484,0.1261353049504673,0.0
AbellS1063,C10,S13_P3,,1.7970270161228046,0.007731214282693392,-0.001582840902231551
AbellS1063,C10,S13_P4,,1.410234067264399,0.11631506325126315,0.0
AbellS1063,C10,S19,kappa,0.41457638413512166,0.021104812429708332,-0.10145244399272701
AbellS1063,C10,S20,gamma1,0.354382094368751,0.010672552802882951,-0.050501727915979844
AbellS1063,C10,S20,gamma2,0.2577142261598316,0.012796291887526734,-0.00472636884083582
AbellS1063,C10,S20,gamma_mag,0.05691259540004113,0.05690370655892451,0.04090937508227438
