cluster_id,model,stage_id,native_shape,dtype,n_finite,rms,mean
AbellS1063,A8,A8-S12,64x64,float64,4096,0.0032628179627242886,-3.8474741639944865e-06
AbellS1063,A8,A8-P5,64x64,float64,4096,0.01508820675742639,0.009452211761321844
AbellS1063,A8,A8-P6,64x64,float64,4096,0.0013417233503603386,1.6851609672179473e-05
AbellS1063,A8,S13_P0,64x64,float64,4096,0.10052235982990265,0.07286630678969934
AbellS1063,A8,S13_P3,64x64,float64,4096,0.008445663365226558,2.1380016333785644e-05
AbellS1063,A8,S13_P4,64x64,float64,4096,0.10016693863792432,0.07220981083720597
Abell370,C10,S00,64x64,float64,4096,0.12169650725128975,0.08622661821888833
Abell370,C10,S01,64x64,float64,4096,0.021905371305232155,0.015520791279399898
Abell370,C10,S02,64x64,float64,4096,0.039548399252250024,0.03223343795080082
Abell370,C10,C10-S03,64x64,float64,4096,0.7021489486378176,0.6866524886157676
Abell370,C10,C10-S04,64x64,float64,4096,0.028672962701876907,1.5810827446811697e-05
Abell370,C10,C10-S05,64x64,float64,4096,0.015140407457585662,5.5062853726288335e-05
Abell370,C10,C10-S06,64x64,float64,4096,0.028672962701876907,1.5810827446811697e-05
Abell370,C10,S13_P0,64x64,float64,4096,0.02791101229232817,0.02118391308916136
Abell370,C10,S13_P3,64x64,float64,4096,0.007372826501245269,-2.7300916840203285e-05
Abell370,C10,S13_P4,64x64,float64,4096,0.026910966088846165,0.019347399490316036
Abell370,A8,S00,64x64,float64,4096,0.021996804771543338,0.015536434991964276
Abell370,A8,S01,64x64,float64,4096,0.021996804771543338,0.015536434991964276
Abell370,A8,S02,64x64,float64,4096,0.16288077977925974,0.13399762791359004
Abell370,A8,A8-S03,64x64,float64,4096,0.021463284100748152,0.015546755313411495
Abell370,A8,A8-S04,64x64,float64,4096,0.021432243244804146,0.015546537637932185
Abell370,A8,A8-S05,64x64,float64,4096,0.02124557138535096,0.015529261101356339
Abell370,A8,A8-S06,64x64,float64,4096,0.02121897381067735,0.015529569201586563
Abell370,A8,A8-S07,64x64,float64,4096,3.3996241100462895e-05,4.2421090864052946e-07
Abell370,A8,A8-S08,64x64,float64,4096,8.159097864111096e-06,-1.0181061807372705e-07
Abell370,A8,A8-S09,64x64,float64,4096,4.215533896457399e-05,5.260215267142563e-07
Abell370,A8,A8-S10,64x64,float64,4096,0.021315033480568304,0.015538053419759376
Abell370,A8,A8-S11,64x64,float64,4096,0.021342882802792673,0.015538008207383918
Abell370,A8,A8-S12,64x64,float64,4096,0.004200182977762091,-5.635510348852469e-06
Abell370,A8,A8-P5,64x64,float64,4096,0.021315033480568304,0.015538053419759376
Abell370,A8,A8-P6,64x64,float64,4096,0.0013598496440185156,1.696843634562118e-05
Abell370,A8,S13_P0,64x64,float64,4096,0.1368700519362691,0.11217451654686209
Abell370,A8,S13_P3,64x64,float64,4096,0.01220901723900772,0.0002232150596151244
Abell370,A8,S13_P4,64x64,float64,4096,0.13632443293516613,0.11117534553251807
