cluster_id,stage_name,snapshot_index,rms,mean,var,max,min
AbellS1063,A8-fast_pre,16,0.015312854966984951,0.009461381100317492,0.00014496579491447072,0.1581632328601251,-0.007314297716421859
AbellS1063,A8-fast_pre,17,0.015285287879330789,0.009461190424224015,0.00014412590131058852,0.15789319076296238,-0.007111644104394859
AbellS1063,A8-fast_pre,18,0.015258436618591205,0.009461003009839423,0.00014330931009137436,0.15761734065127198,-0.0069146556694271765
AbellS1063,A8-fast_pre,19,0.015232266282937218,0.009460818756271926,0.00014251484457527937,0.15733599424464167,-0.006723116784983855
AbellS1063,A8-fast_post,0,0.015845053328331648,0.009464713825972533,0.00016148490717011823,0.17476692941754704,-0.011219059399956674
AbellS1063,A8-fast_post,1,0.015800419608827016,0.00946445924055227,0.00016007727109892996,0.17344567372742126,-0.010896612143754826
AbellS1063,A8-fast_post,2,0.01575744371474393,0.009464209963148843,0.00015872576219675718,0.17215236855726201,-0.010584761486428354
AbellS1063,A8-fast_post,3,0.01571602702964382,0.00946396581956312,0.00015742685656263615,0.1708864374656869,-0.01028304724350229
AbellS1063,A8-fast_post,4,0.015676077927861843,0.009463726641951768,0.0001561772972468096,0.1696473047621258,-0.009991032967351106
AbellS1063,A8-fast_post,5,0.015637511228411016,0.00946349226857704,0.00015497407150126313,0.16843439671942959,-0.0097083045810295
AbellS1063,A8-fast_post,6,0.015600247694167778,0.009463262543567191,0.00015381439015090535,0.1672471426575023,-0.009434469096659064
AbellS1063,A8-fast_post,7,0.015564213572478445,0.009463037316687002,0.0001526956688727115,0.1660849759087035,-0.009169153412860597
AbellS1063,A8-fast_post,8,0.015529340173650989,0.009462816443118019,0.00015161551119282577,0.1649473346749371,-0.008912003186095018
AbellS1063,A8-fast_post,9,0.015495563484096713,0.00946259978324802,0.00015057169303174593,0.16383366278557415,-0.008662681771122942
AbellS1063,A8-fast_post,10,0.015462823811162447,0.009462387202469358,0.00014956214864559648,0.16274341036464696,-0.008420869226116033
AbellS1063,A8-fast_post,11,0.015431065456948065,0.009462178570985717,0.0001485849578273945,0.16167603441509482,-0.008186261378253696
AbellS1063,A8-fast_post,12,0.015400236418637183,0.009461973763626987,0.00014763833424635364,0.1606309993272342,-0.007958568945918402
AbellS1063,A8-fast_post,13,0.015370288113082931,0.009461772659671824,0.0001467206148158652,0.15960777731806475,-0.0077375167138632244
AbellS1063,A8-fast_post,14,0.015341175123586421,0.00946157514267762,0.0001458302499920118,0.158605848807503,-0.007522842757967467
AbellS1063,A8-fast_post,15,0.015312854966984951,0.009461381100317492,0.00014496579491447072,0.1581632328601251,-0.007314297716421859
AbellS1063,A8-fast_post,16,0.015285287879330789,0.009461190424224015,0.00014412590131058852,0.15789319076296238,-0.007111644104394859
AbellS1063,A8-fast_post,17,0.015258436618591205,0.009461003009839423,0.00014330931009137436,0.15761734065127198,-0.0069146556694271765
AbellS1063,A8-fast_post,18,0.015232266282937218,0.009460818756271926,0.00014251484457527937,0.15733599424464167,-0.006723116784983855
AbellS1063,A8-fast_post,19,0.015206744143313272,0.009460637566157934,0.00014174140428199378,0.1570494532920236,-0.006536821879762946
AbellS1063,A8-slow_pre,0,0.015494915396247892,0.009433686475097087,0.00015109796262645025,0.18,0.0
AbellS1063,A8-slow_pre,1,0.01546122610703266,0.009434392950773852,0.00015004174238317691,0.1780291453696987,-0.00024738164400368656
AbellS1063,A8-slow_pre,2,0.015429095459538213,0.009435073668756743,0.0001490363715646759,0.17613506007505275,-0.0004773485374978078
AbellS1063,A8-slow_pre,3,0.015398356901382592,0.009435729506518175,0.00014807640394217918,0.1743137286876253,-0.0006909667582681131
AbellS1063,A8-slow_pre,4,0.015368865360940407,0.009436361309765297,0.00014715710771427844,0.17256137612206915,-0.000889238199420743
AbellS1063,A8-slow_pre,5,0.015340494404244231,0.009436969893691347,0.00014627436779221173,0.17087445208596888,-0.0010731044936922538
AbellS1063,A8-slow_pre,6,0.01531313376322426,0.009437556044173998,0.00014542460156347363,0.16924961658440021,-0.0012434506913312489
AbellS1063,A8-slow_pre,7,0.015286687188491898,0.009438120518922987,0.00014460468626908724,0.16768372640547966,-0.0014011087075121759
AbellS1063,A8-slow_pre,8,0.015261070585335101,0.009438664048579296,0.00014381189638863696,0.16617382251843718,-0.001546860554174651
AbellS1063,A8-slow_pre,9,0.015236210396530859,0.009439187337767921,0.00014304384964987675,0.16471711832062436,-0.0016814413701880507
AbellS1063,A8-slow_pre,10,0.01521204220001251,0.009439691066106346,0.0001422984604714335,0.16331098867439695,-0.001805542262815865
AbellS1063,A8-slow_pre,11,0.015188509493384919,0.009440175889170604,0.00014157389981216579,0.16195295967901016,-0.0019198129725925806
AbellS1063,A8-slow_pre,12,0.01516556264079338,0.009440642439420846,0.0001408685605428339,0.1606406991265608,-0.002024864372923185
AbellS1063,A8-slow_pre,13,0.015143157960759423,0.00944109132708814,0.0001401810275780926,0.15937200759462544,-0.002121270814967575
AbellS1063,A8-slow_pre,14,0.015121256936335894,0.00944152314102425,0.00013951005211219002,0.15876149810926063,-0.0022095723276753646
AbellS1063,A8-slow_pre,15,0.015099825531341645,0.00944193844951602,0.00013885452939250802,0.1584332846890409,-0.0022902766821872294
AbellS1063,A8-slow_pre,16,0.015078833598547668,0.00944233780106591,0.00013821347954325183,0.15809756586874502,-0.0023638613292136738
AbellS1063,A8-slow_pre,17,0.0150582543675345,0.009442721725140175,0.00013758603101893756,0.1577550837423119,-0.002430775217437879
AbellS1063,A8-slow_pre,18,0.015038064001554998,0.009443090732886142,0.0001369714063253442,0.15740652458555449,-0.0024914405004632196
AbellS1063,A8-slow_pre,19,0.015018241214144887,0.0094434453178199,0.00013636890969558545,0.15705252300916206,-0.002546254139335458
AbellS1063,A8-slow_post,0,0.01546122610703266,0.009434392950773852,0.00015004174238317691,0.1780291453696987,-0.00024738164400368656
AbellS1063,A8-slow_post,1,0.015429095459538213,0.009435073668756743,0.0001490363715646759,0.17613506007505275,-0.0004773485374978078
AbellS1063,A8-slow_post,2,0.015398356901382592,0.009435729506518175,0.00014807640394217918,0.1743137286876253,-0.0006909667582681131
AbellS1063,A8-slow_post,3,0.015368865360940407,0.009436361309765297,0.00014715710771427844,0.17256137612206915,-0.000889238199420743
AbellS1063,A8-slow_post,4,0.015340494404244231,0.009436969893691347,0.00014627436779221173,0.17087445208596888,-0.0010731044936922538
AbellS1063,A8-slow_post,5,0.01531313376322426,0.009437556044173998,0.00014542460156347363,0.16924961658440021,-0.0012434506913312489
AbellS1063,A8-slow_post,6,0.015286687188491898,0.009438120518922987,0.00014460468626908724,0.16768372640547966,-0.0014011087075121759
AbellS1063,A8-slow_post,7,0.015261070585335101,0.009438664048579296,0.00014381189638863696,0.16617382251843718,-0.001546860554174651
AbellS1063,A8-slow_post,8,0.015236210396530859,0.009439187337767921,0.00014304384964987675,0.16471711832062436,-0.0016814413701880507
AbellS1063,A8-slow_post,9,0.01521204220001251,0.009439691066106346,0.0001422984604714335,0.16331098867439695,-0.001805542262815865
AbellS1063,A8-slow_post,10,0.015188509493384919,0.009440175889170604,0.00014157389981216579,0.16195295967901016,-0.0019198129725925806
AbellS1063,A8-slow_post,11,0.01516556264079338,0.009440642439420846,0.0001408685605428339,0.1606406991265608,-0.002024864372923185
AbellS1063,A8-slow_post,12,0.015143157960759423,0.00944109132708814,0.0001401810275780926,0.15937200759462544,-0.002121270814967575
AbellS1063,A8-slow_post,13,0.015121256936335894,0.00944152314102425,0.00013951005211219002,0.15876149810926063,-0.0022095723276753646
AbellS1063,A8-slow_post,14,0.015099825531341645,0.00944193844951602,0.00013885452939250802,0.1584332846890409,-0.0022902766821872294
AbellS1063,A8-slow_post,15,0.015078833598547668,0.00944233780106591,0.00013821347954325183,0.15809756586874502,-0.0023638613292136738
AbellS1063,A8-slow_post,16,0.0150582543675345,0.009442721725140175,0.00013758603101893756,0.1577550837423119,-0.002430775217437879
AbellS1063,A8-slow_post,17,0.015038064001554998,0.009443090732886142,0.0001369714063253442,0.15740652458555449,-0.0024914405004632196
AbellS1063,A8-slow_post,18,0.015018241214144887,0.0094434453178199,0.00013636890969558545,0.15705252300916206,-0.002546254139335458
AbellS1063,A8-slow_post,19,0.014998766937450338,0.009443785956485755,0.0001357779164520358,0.15669366580016292,-0.002595589407212093
AbellS1063,A8-J_FS,0,8.524157771279231e-05,7.580218799670042e-07,7.265551973795503e-09,0.00033479208347985735,-0.00032019156437201337
AbellS1063,A8-J_FS,1,8.087283954567732e-05,7.346392948881818e-07,6.539876481287276e-09,0.0003171696074773071,-0.0003042225140486915
AbellS1063,A8-J_FS,2,7.675750690139217e-05,7.120114157666839e-07,5.891207905461085e-09,0.00030054614565652043,-0.00028912167162545153
AbellS1063,A8-J_FS,3,7.287967233778967e-05,6.901127449455732e-07,5.310970384462849e-09,0.00028486177442403393,-0.00027483905117560263
AbellS1063,A8-J_FS,4,6.922449349578578e-05,6.689187065105014e-07,4.791583047512168e-09,0.00027006033364562423,-0.0002613276840686467
AbellS1063,A8-J_FS,5,6.577811857734317e-05,6.484056100761155e-07,4.32634045373984e-09,0.00025608918137512746,-0.00024854342911689734
AbellS1063,A8-J_FS,6,6.252761719027326e-05,6.285506161050839e-07,3.909307835616351e-09,0.00024289896504906428,-0.00023644479511324325
AbellS1063,A8-J_FS,7,5.946091616573839e-05,6.093317026926456e-07,3.5352292661450623e-09,0.00023044340801501784,-0.00022499277492526125
AbellS1063,A8-J_FS,8,5.6566739983611415e-05,5.907276337524199e-07,3.199447113236223e-09,0.0002186791103410601,-0.0002141506903686573
AbellS1063,A8-J_FS,9,5.383455546793445e-05,5.727179285419216e-07,2.897831356604438e-09,0.00020756536292721364,-0.00020388404713669734
AbellS1063,A8-J_FS,10,5.125452043977537e-05,5.552828324688484e-07,2.626717526487316e-09,0.00019706397400839323,-0.00019416039911218224
AbellS1063,A8-J_FS,11,4.881743603796519e-05,5.384032891217552e-07,2.382852183219085e-09,0.0001871391072018587,-0.00018494922143488866
AbellS1063,A8-J_FS,12,4.651470243965166e-05,5.220609134711433e-07,2.1633449954519617e-09,0.0001777571303112867,-0.00017622179174050262
AbellS1063,A8-J_FS,13,4.433827773245477e-05,5.062379661893716e-07,1.965626595401883e-09,0.0001688864741544567,-0.00016795107902713984
AbellS1063,A8-J_FS,14,4.2280639708380406e-05,4.909173290400181e-07,1.7874114943259221e-09,0.00016049750073254273,-0.00016011163964280208
AbellS1063,A8-J_FS,15,4.033475036664896e-05,4.7608248128951736e-07,1.6266654326108976e-09,0.00015256238010639465,-0.0001526795199217588
AbellS1063,A8-J_FS,16,3.849402292833093e-05,4.617174770959702e-07,1.4815766181782112e-09,0.0001450549753892304,-0.0001456321650300578
AbellS1063,A8-J_FS,17,3.6752291180245554e-05,4.4780692383202775e-07,1.3505303759565231e-09,0.00013795073530609254,-0.0001389483336103284
AbellS1063,A8-J_FS,18,3.5103780979060216e-05,4.343359613006604e-07,1.2320867912985511e-09,0.0001312265938084642,-0.00013260801784390925
AbellS1063,A8-J_FS,19,3.3543083759008464e-05,4.2129024180448676e-07,1.1249609825960179e-09,0.0001248608762678036,-0.00012659236857425846
AbellS1063,A8-J_SF,0,2.0457978651070157e-05,-1.81925251192081e-07,4.1849579369062105e-10,7.684597544928322e-05,-8.035010003516577e-05
AbellS1063,A8-J_SF,1,1.940948149096256e-05,-1.7631343077316354e-07,3.766968853221472e-10,7.301340337168597e-05,-7.61207057945537e-05
AbellS1063,A8-J_SF,2,1.8421801656334124e-05,-1.7088273978400413e-07,3.3933357535455857e-10,6.938920119010838e-05,-7.213107495756491e-05
