cluster_id,model,component,pearson_J0_vs_J1,nrmse_J0_vs_J1,max_abs_diff
MACS0416,A8,kappa,0.9014383919630091,0.10938656484363445,1.5652759821702351
MACS0416,A8,gamma1,0.9007097547512024,0.10805483209360668,0.7767272762204089
MACS0416,A8,gamma2,0.8755860189114627,0.08942954781668631,0.48312708213516287
MACS1149,C10,A11,0.961898986515365,0.03987288051001313,0.00020636278369412508
MACS1149,C10,A12,0.8927879366920509,0.07320258387319652,0.0011263349310306507
MACS1149,C10,A21,0.9791496423518774,0.03987370856758193,0.02766567219031662
MACS1149,C10,A22,0.8725336097829379,0.09202917292720958,0.1633402549922387
MACS1149,C10,kappa,0.8677053604223465,0.09231612385742995,0.16336569189248573
MACS1149,C10,gamma1,0.867663203457838,0.09234415287779196,0.08165878622749362
MACS1149,C10,gamma2,0.9789377198690263,0.040207235472238895,0.013900237574456683
MACS1149,A8,A11,0.9365744403183811,0.05369938841705741,0.006218927524575202
MACS1149,A8,A12,0.7931246560708958,0.08974339478567026,0.033043467022650604
MACS1149,A8,A21,0.9479006617960005,0.06343559782456033,0.20031228132139087
MACS1149,A8,A22,0.8362147574740864,0.1265960384931161,0.6835877809606
MACS1149,A8,kappa,0.8282640484910658,0.13105053076144,0.6828898370945881
MACS1149,A8,gamma1,0.8283456833370717,0.1318472566562155,0.34207785074712355
MACS1149,A8,gamma2,0.9470891297245748,0.06400690347158876,0.1003212419439216
AbellS1063,C10,A11,0.950432464874912,0.048213519042464445,0.0005836109598118533
AbellS1063,C10,A12,0.7595645913922645,0.09990680253909291,0.002378013329066226
AbellS1063,C10,A21,0.9745537901844644,0.04036456110056367,0.04019526863396322
AbellS1063,C10,A22,0.8829361709975069,0.10588017335937913,0.2600108186491078
AbellS1063,C10,kappa,0.8841310315724367,0.11419443056763766,0.2146362738545724
AbellS1063,C10,gamma1,0.8841128790338459,0.11414420547076029,0.10715243994834134
AbellS1063,C10,gamma2,0.9738638858041287,0.04049463031429729,0.019811218299999017
AbellS1063,A8,A11,0.9099259880781756,0.05465776027077032,0.023575909775131576
AbellS1063,A8,A12,0.6812014108875771,0.10655379977446236,0.053103756446600314
AbellS1063,A8,A21,0.9479747093857338,0.05878399979198168,0.3691812149015588
AbellS1063,A8,A22,0.8214641178630954,0.12231346831412787,1.1346279131818429
AbellS1063,A8,kappa,0.8080240790196095,0.1267752584223175,1.1344023131765204
AbellS1063,A8,gamma1,0.8091503631306232,0.12706799326133864,0.5683516465296465
AbellS1063,A8,gamma2,0.9427052419601318,0.060680176785749426,0.1865712797256141
Abell370,C10,A11,0.8370305675019453,0.08295934516578887,0.0017835724898316307
Abell370,C10,A12,0.6916595311682397,0.11354818467214242,0.004462349680726873
Abell370,C10,A21,0.9025562127161005,0.07226962955875695,0.1849298423565664
Abell370,C10,A22,0.8735608055527873,0.12001415774666165,0.3710339138365055
Abell370,C10,kappa,0.868300657676481,0.12187015061037287,0.37327663990031823
Abell370,C10,gamma1,0.868246013879054,0.12213201991041059,0.18462517067333695
Abell370,C10,gamma2,0.9056154660129689,0.06960449030256774,0.09279830858291403
Abell370,A8,A11,0.8757775863418347,0.050362921355371494,0.03578974958566472
Abell370,A8,A12,0.5190653775792179,0.11865262544013433,0.09938515943162358
Abell370,A8,A21,0.912154557410664,0.076937546787162,0.6754409214937973
Abell370,A8,A22,0.8110628940491399,0.11425705792117266,2.168959787693158
Abell370,A8,kappa,0.8019947490448104,0.11557757934871433,2.1852653248677107
Abell370,A8,gamma1,0.8017488432965644,0.11519381456738982,1.0882771664233113
Abell370,A8,gamma2,0.9085038318863959,0.07790421428195511,0.3383567760293261
