native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,13,1,0,14,1,xp,0,1,13,0,1,14,False,1,1.6423829471527e-06,3.993363193424475e-06,2.350980246271775e-06
yp,0,14,1,0,15,1,xp,0,1,14,0,1,15,False,1,-4.397846237315974e-06,-5.732639799545597e-06,1.3347935622296226e-06
yp,0,15,1,0,16,1,xp,0,1,15,0,1,16,False,1,-3.1118971658734117e-06,-8.489696560755723e-06,5.3777993948823116e-06
yp,0,16,1,0,17,1,xp,0,1,16,0,1,17,False,1,-3.7573038998296716e-06,-5.872429332944212e-06,2.1151254331145406e-06
yp,0,17,1,0,18,1,xp,0,1,17,0,1,18,False,1,-3.2426815803775734e-06,4.269596203563342e-06,7.512277783940915e-06
yp,0,18,1,0,19,1,xp,0,1,18,0,1,19,False,1,5.5256993429199725e-06,8.082752300474064e-06,2.5570529575540917e-06
yp,0,19,1,0,20,1,xp,0,1,19,0,1,20,False,1,7.938192738655645e-06,9.600682868151954e-06,1.6624901294963086e-06
yp,0,20,1,0,21,1,xp,0,1,20,0,1,21,False,1,4.402581465755737e-06,-2.0121400043367967e-07,4.603795466189417e-06
yp,0,21,1,0,22,1,xp,0,1,21,0,1,22,False,1,-8.054840992863985e-06,-7.990368058760959e-06,6.447293410302573e-08
yp,0,22,1,0,23,1,xp,0,1,22,0,1,23,False,1,-4.59833263778679e-06,-3.815526074854012e-06,7.828065629327775e-07
yp,0,23,1,0,24,1,xp,0,1,23,0,1,24,False,1,1.2015984711860253e-06,-3.1154643128688146e-07,1.5131449024729068e-06
yp,0,24,1,0,25,1,xp,0,1,24,0,1,25,False,1,8.194805620794169e-06,9.26701702932817e-06,1.0722114085340004e-06
