launch,launch_label,nphotons,method,method_label,runtime_seconds,kappa_min,kappa_max,kappa_mean,kappa_std,kappa_dynamic_range,kappa_n_finite,gamma_min,gamma_max,gamma_mean,gamma_std,gamma_dynamic_range,gamma_n_finite,deflection_x_max,deflection_y_max,max_conservation_error,method_metadata_json
A,1D edge launch (control),10000,divergence,Displacement divergence (∇·d),0.0010443429928272963,-9.545509792709376,-9.357564765220898,-9.479308726110013,0.04156515040471011,0.1879450274884782,25,9.414298460509409,10.607930750982828,9.569745970672072,0.3047595306301947,1.1936322904734187,25,4.739951228959464,0.08216387663044476,2.220446049250313e-16,"{""formula"": ""kappa = 0.5 * div(x_final - x_initial)""}"
A,1D edge launch (control),10000,knn,Adaptive k-nearest-neighbour density,0.01306873990688473,-2.4103437090681843,0.01701544965617542,-0.5837307368719696,0.6711948631399788,2.42735915872436,25,0.0,10.607930750982828,0.08965353821737658,0.836411857546825,10.607930750982828,4096,4.739951228959464,0.08216387663044476,2.220446049250313e-16,"{""k_neighbours"": 8}"
A,1D edge launch (control),10000,voronoi,Voronoi area method,0.3972392389550805,-20.741902707251974,1.0,-13.650889864544315,4.055587813838657,21.741902707251974,25,0.0,10.607930750982828,0.08965353821737658,0.836411857546825,10.607930750982828,4096,4.739951228959464,0.08216387663044476,2.220446049250313e-16,"{""method"": ""Voronoi (final positions) vs uniform initial 1D spacing"", ""A_init_uniform"": 0.0006000600060006001, ""A_fin_mean"": 0.009157502784568543, ""A_fin_std"": 0.0337903309568378}"
A,1D edge launch (control),10000,triangulation,Delaunay triangulation area method,0.0484242009697482,-21096613676.91682,-978845048.1299767,-5164187483.310337,5027732494.963759,20117768628.786842,24,6700168901.763391,184445244251.56335,42724084238.850044,38962706115.094055,177745075349.79996,24,4.739951228959455,0.08216387663044455,2.220446049250313e-16,"{""formula"": ""kappa = 1 - sqrt(det(C_f)/det(C_i))""}"
A,1D edge launch (control),20000,histogram,Histogram occupancy (current control),0.0019905950175598264,-0.5,-0.5,-0.5,0.0,0.0,25,0.0,4.739952540105249,0.06265015888220193,0.5406249200925549,4.739952540105249,4096,4.739946914873496,0.08274840137847005,2.220446049250313e-16,"{""bins"": 64, ""edges_extent"": 8.0}"
A,1D edge launch (control),20000,kernel,Gaussian KDE (Scott bandwidth),2.50217219395563,-0.5,-0.5,-0.5,0.0,0.0,382,0.0,10.609780834285504,0.08965404374394771,0.8364177779753017,10.609780834285504,4096,4.739954012416113,0.08216327481983031,2.220446049250313e-16,"{""h_init"": [0.3324635282348124, 0.3324635282348124], ""h_final"": [4.659436386174619e-05, 0.3329665489310797], ""n_photons"": 20000}"
A,1D edge launch (control),20000,jacobian,Ray-bundle Jacobian (linear fit per bin),0.07558320998214185,1.0,1.0,1.0,0.0,0.0,24,0.35844061175582764,0.7399138406064726,0.5006029877485642,0.07476541696853972,0.38147322885064494,24,4.739951099256176,0.08216327482044072,2.220446049250313e-16,"{""fit_per_bin"": [{""bin"": [20, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [21, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [22, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [23, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [24, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [25, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [26, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [27, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [28, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [29, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [30, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [31, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [32, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [33, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [34, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [35, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [36, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [37, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [38, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [39, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [40, 0], ""n_photons"": 834, ""det_J"": 0.0}, {""bin"": [41, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [42, 0], ""n_photons"": 833, ""det_J"": 0.0}, {""bin"": [43, 0], ""n_photons"": 833, ""det_J"": 0.0}]}"
A,1D edge launch (control),20000,area,Finite area distortion (initial vs final spread),0.07473092898726463,-21007745590.03845,-894064272.3806188,-5153552732.549861,5018836409.911531,20113681317.65783,24,6118645990.811823,184078045536.30576,42692588708.436485,38942086459.96885,177959399545.49393,24,4.739951099256176,0.08216327482044072,2.220446049250313e-16,"{""formula"": ""kappa = 1 - sqrt(det(C_f)/det(C_i))""}"
A,1D edge launch (control),20000,divergence,Displacement divergence (∇·d),0.0015181290218606591,-9.545522681242344,-9.35756455081705,-9.479307275704903,0.041574063624066314,0.18795813042529375,25,9.414284998059362,10.607970635891574,9.569748342864143,0.30477006997088507,1.1936856378322123,25,4.739951099256147,0.08216327482044014,2.220446049250313e-16,"{""formula"": ""kappa = 0.5 * div(x_final - x_initial)""}"
A,1D edge launch (control),20000,knn,Adaptive k-nearest-neighbour density,0.02610296697821468,-2.203122707798058,0.0,-0.6802167291483212,0.6763660287741083,2.203122707798058,25,0.0,10.607970635891574,0.08965355273000788,0.8364120452795132,10.607970635891574,4096,4.739951099256147,0.08216327482044014,2.220446049250313e-16,"{""k_neighbours"": 8}"
A,1D edge launch (control),20000,voronoi,Voronoi area method,0.7929483118932694,-20.746794267412596,1.0,-13.975315088554252,3.701234617130526,21.746794267412596,25,0.0,10.607970635891574,0.08965355273000788,0.8364120452795132,10.607970635891574,4096,4.739951099256147,0.08216327482044014,2.220446049250313e-16,"{""method"": ""Voronoi (final positions) vs uniform initial 1D spacing"", ""A_init_uniform"": 0.0003000150007500375, ""A_fin_mean"": 0.004679782097471865, ""A_fin_std"": 0.0222474246766967}"
