launch,launch_label,nphotons,phase,n_cells,area_mean,area_std,area_cv,area_min,area_max,perimeter_mean,vertices_mean,A_mean,A_std,A_init_mean,A_fin_mean,A_ratio,n_triangles,quality_mean,quality_min,quality_max,quality_std,tri_area_mean,tri_area_std,cond_mean,cond_min,cond_max,cond_std,d_mean,d_std,degenerate
B,Uniform Cartesian 2D grid,5000,initial,5000,0.0036005958511525146,0.00020193691624210915,0.056084305095633315,0.0035707200952191554,0.005132910136877661,0.25404157065872135,4.050201228553273,0.0036005958511525146,0.00020193691624210915,0.024682742602749566,nan,nan,9719,0.25335361965216796,0.2527028071799434,0.33079226912480414,0.007099157619667429,0.0018002395788223166,0.00016230810240167132,1.1971667292533672,1.1547005383792446,2.0469251045667627,0.11382472648203146,0.09593247980141603,0.006133991650520246,False
B,Uniform Cartesian 2D grid,5000,final,5000,0.021932809452150336,0.11245910650395831,5.127437355861978,0.0013293102714305985,1.9740720306051638,0.6443241857996976,5.968887996788438,0.021932809452150336,0.11245910650395831,0.024682742602749566,0.1146142044279792,4.6434955090935315,9980,0.2636806177826985,4.4914654749601465e-08,0.33323767240448277,0.04727870960986808,0.001781786301238424,0.0007414772931838904,1.2539516149320027,1.014809922021175,2.8898334556885867,0.1914707949736525,0.09627640017795545,0.011093416020267113,False
B,Uniform Cartesian 2D grid,10000,initial,10000,0.0017999999999999995,2.1641316481931102e-17,1.2022953601072837e-14,0.0017999999999999499,0.0018000000000000698,0.17999999999999997,4.0,0.0017999999999999995,2.1641316481931102e-17,0.04306776513222395,nan,nan,19602,0.25270280717994514,0.25270280717994187,0.2527028071799502,2.055279801230502e-15,0.0008999999999999997,1.6376667269106215e-17,1.218988880731875,1.1547005383792444,2.0469251045667494,0.09982551021227684,0.06780187974092833,0.0036145682448486495,False
B,Uniform Cartesian 2D grid,10000,final,10000,0.01080567902251558,0.06593485204047371,6.101870313109113,0.0006264072133751195,1.8170035574363144,0.45260537773598825,5.977739897723854,0.01080567902251558,0.06593485204047371,0.04306776513222395,0.11040744355430342,2.563574943239739,19971,0.26889891896631923,4.523483368397431e-08,0.3333322478155919,0.04819382797426824,0.0008965747883082016,0.0007059441940813284,1.3303338179876607,1.021167491086952,15.811032124193797,1.0443302153664722,0.06728471925845986,0.008468916599739975,False
B,Uniform Cartesian 2D grid,20000,initial,19881,0.0009053870529651428,1.9268324773537737e-17,2.1281864712372426e-14,0.0009053870529651169,0.0009053870529652113,0.12765957446808512,4.0,0.0009053870529651428,1.9268324773537737e-17,0.052135710904491754,nan,nan,39200,0.25270280717994514,0.25270280717994287,0.25270280717995464,2.5635378657598815e-15,0.00045269352648257135,1.0234338388442434e-17,1.1707978008845958,1.1547005383792253,1.5376184886170414,0.058537105302034695,0.0479366712429736,0.0021486681928999697,False
B,Uniform Cartesian 2D grid,20000,final,19881,0.005493672989899336,0.043048170218653925,7.835954250972394,0.00010974341820715037,1.510667081828518,0.30742631775961016,5.984689766317486,0.005493672989899336,0.043048170218653925,0.052135710904491754,0.08662345109804843,1.66149937528876,39735,0.2742998702571001,8.86728794428721e-08,0.3333254495883594,0.04346128519705752,0.0004534187531416316,0.0003961730806419384,1.2442710660057477,1.0085032834667473,1.9450672266589308,0.17179007726153211,0.04724838289271203,0.005200993164137155,False
C,Hexagonal packing,2000,initial,2000,0.009194370339555585,0.0018283505751920475,0.19885544171809177,0.007692307692307653,0.025622063897458493,0.3873285678982264,5.944212721584984,0.009194370339555585,0.0018283505751920475,0.02861006192328908,nan,nan,3916,0.2749040127312149,0.04970571125636769,0.3333332648434865,0.033963568036427326,0.004499783923941227,0.0014396401402864572,1.2259169329503337,1.0007404665953474,1.6360091929963236,0.15437986146419094,0.1536689448758255,0.024691602542338067,False
C,Hexagonal packing,2000,final,2000,0.04764475407164373,0.2578826423631028,5.412613568648565,0.003996741321464413,3.0864242828020836,0.7100062539058958,5.961654894046418,0.04764475407164373,0.2578826423631028,0.02861006192328908,0.11157932435866769,3.9000028961083864,3980,0.26551515770625256,1.529877127343916e-05,0.3333324801216097,0.05661390009164875,0.004482709466019923,0.0020000197368716223,1.2667983920878603,1.0205095792118692,1.9363333715076974,0.14834449736002803,0.15428297558175064,0.020133917966648807,False
C,Hexagonal packing,5000,initial,5000,0.007729307872413423,0.05179546086303503,6.701177093475286,0.0030917210580555746,0.9550841635176865,0.3653435019487109,5.9685831622176595,0.007729307872413423,0.05179546086303503,0.0727917678043944,nan,nan,9868,0.2781119540085021,0.0009181655659022329,0.3333333284163679,0.05995560777947016,0.0017979166286635948,0.0009729641590720205,1.35351593200585,1.0593204617153742,1.920979300716405,0.20737971867615337,0.10389364296601354,0.013788530830919472,False
C,Hexagonal packing,5000,final,5000,0.020178865504065505,0.13388820122910797,6.635070797321735,0.0009492696362481728,3.6320709607526913,0.5693067065190784,5.971904475215734,0.020178865504065505,0.13388820122910797,0.0727917678043944,0.09754435344379629,1.3400464968225099,9981,0.26963176324621135,3.8667417746618424e-07,0.33333332909510544,0.06440697520932369,0.0018012163402254249,0.0011827727693627397,1.28844667575668,1.0243360409519748,2.273155401577478,0.1759016635360387,0.09867309204849233,0.012248128015348251,False
C,Hexagonal packing,10000,initial,10000,0.0018196542188565878,0.0004041617629171536,0.22210910112972776,0.001558441545342712,0.009022119080331086,0.1719787305625546,5.973198817894629,0.0018196542188565878,0.0004041617629171536,0.05571135244149901,nan,nan,19811,0.2767247103945524,9.49748684492546e-15,0.33333332492845164,0.028515322129752246,0.0009000509358896113,0.0002863122488400508,1.2566195847979975,1.0002593413710297,2.0383812150496743,0.14362887508853298,0.06656178810028646,0.009906428834668933,False
C,Hexagonal packing,10000,final,10000,0.010529079391162289,0.08525069307163227,8.096690119288917,0.0004992442537387194,1.8066720107839551,0.32320171973984896,5.984163576225318,0.010529079391162289,0.08525069307163227,0.05571135244149901,0.09922342257274838,1.7810269940393249,19975,0.2675784442771066,5.839484399375876e-07,0.3333324742965999,0.05366539760830685,0.0009056411636838979,0.0007107756673708339,1.3477032521657282,1.032483218146756,2.6734118822166026,0.21995387051644957,0.06953647311177896,0.008590304793289701,False
C,Hexagonal packing,20000,initial,20000,0.0009092201048754358,0.00019034862571411197,0.20935373590335418,0.0007831874441164282,0.004527382743612857,0.12214100562158456,5.982367247669234,0.0009092201048754358,0.00019034862571411197,0.05363209901279457,nan,nan,39734,0.27676303978633543,0.08191564142124086,0.33333316824530695,0.039542850020973346,0.0004500017138510976,0.0001758900475059766,1.3039648627807503,1.0841021243547604,2.171158337374894,0.19266924284444653,0.04842034606472879,0.007053128940008412,False
C,Hexagonal packing,20000,final,20000,0.005564056645145481,0.059955636101948644,10.775525830467352,0.0001064031463669318,2.5741055429298805,0.22199252257850882,5.990490966418097,0.005564056645145481,0.059955636101948644,0.05363209901279457,0.09491249874031125,1.7696957696484854,39979,0.26223164190158005,1.01238316720404e-06,0.33333322952872285,0.05750261052657694,0.0004538383676780004,0.00044563801347963163,1.413505715266638,1.027288571255877,2.485179710076073,0.272502618294094,0.04885245346563581,0.005627864777734526,False
D,Jittered Cartesian grid (seed=123456),2000,initial,2000,0.0407890468752919,0.4313199265955845,10.574405622036194,0.0026208055256816956,10.461272988909899,0.5822500882297045,5.951059535822401,0.0407890468752919,0.4313199265955845,0.09579805778577453,nan,nan,3980,0.2611093073768054,6.894772082648341e-05,0.33327402706134,0.06389107036002492,0.00448818205025532,0.002440614259044391,1.3526086645859396,1.0212753671237607,2.3754655116750523,0.2622397186496026,0.15988351643683432,0.018470741046784738,False
D,Jittered Cartesian grid (seed=123456),2000,final,2000,0.042283174615145226,0.2957509268315981,6.9945298460552285,0.0025602204950939136,6.302760288544484,0.6432532849676589,5.9631870902672715,0.042283174615145226,0.2957509268315981,0.09579805778577453,0.10502992765465638,1.0963680275181187,3981,0.25989416923304165,9.044064344538586e-05,0.33332039356123644,0.06475479778429975,0.004527821388944378,0.002783471276757773,1.342903227185355,1.0289143656292181,2.1736323792101513,0.22977801975783912,0.1596473099923293,0.020360633291218306,False
D,Jittered Cartesian grid (seed=123456),5000,initial,5000,0.014771745641760576,0.19547430451798456,13.232986084282919,0.0005582668764840505,7.097333531057124,0.35334625256953506,5.969063881076738,0.014771745641760576,0.19547430451798456,0.07252599746149227,nan,nan,9976,0.26266347134111107,0.00013618401178651756,0.33332974484317196,0.06214639141881653,0.0017973990934617204,0.0009931648016113627,1.364211527069141,1.026760191094666,2.261474976334304,0.22337722772483065,0.10028428413822205,0.010010004624484543,False
D,Jittered Cartesian grid (seed=123456),5000,final,5000,0.0190845740762731,0.16958641191826743,8.886046460376905,0.0006492933634147523,4.623286003776309,0.39467797456998244,5.98333667938165,0.0190845740762731,0.16958641191826743,0.07252599746149227,0.0977935932774916,1.3483936340126197,9979,0.2602278202765014,6.353082826080606e-05,0.3333212693369924,0.06411940271309402,0.0018146044597674143,0.0012240420856546145,1.3966869574972267,1.0179902867670894,2.303991809636365,0.26799525535787533,0.10004497544030685,0.012329460623765741,False
