architecture_family,attenuation_log,attenuation_score,closest_ratio_value,closest_stable_ratio,cluster,cluster_id,coherence_length,dispersion_class,energy_final,energy_initial,group_velocity_normalized,helicity,laboratory_id,longitudinal_energy_fraction,longitudinal_score,mode_conversion_fraction,mode_stability,model,number_of_wave_modes,perturbation,phase_velocity_normalized,polarization_axis,polarization_like,propagating_score,relative_distance_to_3alpha,relative_distance_to_alpha,spatial_dimension,standing_score,transverse_1_energy_fraction,transverse_2_energy_fraction,transverse_score
D7 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4961869150235466,,0.9689972745702786,,1,,0.0,,0.014886285031779911,0.0,inf,inf,,0.0,,,0.2537340175177048
D7 (coupling_direction),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4948005006455114,,0.9675290686964926,,1,,0.0,,0.023803759121393542,0.0,inf,inf,,0.0,,,0.214418828565852
D7 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4917269202869583,,0.9655839532656003,,1,,0.0,,0.04096345148543845,0.0,inf,inf,,0.0,,,0.14385960878137155
D7 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4957329172720687,,0.9660721155726812,,1,,0.0,,0.02164356440299453,0.0,inf,inf,,0.0,,,0.15234666140965908
D7 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49708326022805044,,0.9699373612443541,,2,,0.0,,0.012042549325734231,0.0,inf,inf,,0.0,,,0.30182601890762945
D8 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49579063199780476,,0.9739234566586455,,1,,0.0,,0.01646874845860724,0.0,inf,inf,,0.0,,,0.29779227241651973
D8 (coupling_direction),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49426945638416137,,0.9726537571570897,,1,,0.0,,0.026296589785610114,0.0,inf,inf,,0.0,,,0.251341897069065
D8 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4909153941722584,,0.9709523729984532,,1,,0.0,,0.04512908366219581,0.0,inf,inf,,0.0,,,0.17239106394527143
D8 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4952925037184078,,0.9714720443005914,,1,,0.0,,0.023916484244409286,0.0,inf,inf,,0.0,,,0.18122988565307377
D8 (coupling_direction),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49677654030843604,,0.9743928593644472,,2,,0.0,,0.013329156581938673,0.0,inf,inf,,0.0,,,0.3518305330370505
D9 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4978117082238715,,0.9835202933688492,,2,,0.0,,0.008547911772710748,0.0,inf,inf,,0.0,,,0.6980774426609425
D9 (coupling_form),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49701559311096355,,0.9834284044761716,,2,,0.0,,0.013676506311475878,0.0,inf,inf,,0.0,,,0.7566376726973187
D9 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4952500952495251,,0.983354707069806,,2,,0.0,,0.0235622005295818,0.0,inf,inf,,0.0,,,0.8247505451430898
D9 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4975509959538044,,0.9836947580669071,,2,,0.0,,0.01243363698196942,0.0,inf,inf,,0.0,,,0.8173415988438424
D9 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4983262607408855,,0.9827123569912662,,2,,0.0,,0.006913652086659061,0.0,inf,inf,,0.0,,,0.6276310055929943
D10 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4962648308470094,,0.9751897891031764,,2,,0.0,,0.01520874314056575,0.0,inf,inf,,0.0,,,0.8458622342558271
D10 (coupling_form),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.666666666666667,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4949838717651213,,0.9727471087266029,,2,,0.0,,0.023918696077722124,0.0,inf,inf,,0.0,,,0.8343205890017522
D10 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4922509937938419,,0.9573764756442192,,2,,0.0,,0.040195773946450686,0.0,inf,inf,,0.0,,,0.8515436026366547
D10 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4958919733922728,,0.9698633936381368,,2,,0.0,,0.021594036922703452,0.0,inf,inf,,0.0,,,0.8687140597865369
D10 (coupling_form),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4971205473804885,,0.978226131616615,,2,,0.0,,0.01232992512569031,0.0,inf,inf,,0.0,,,0.8605475690215986
D11 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4975008654289584,,0.9914179455286348,,2,,0.0,,0.009803476381791354,0.0,inf,inf,,0.0,,,0.8628384129454942
D11 (neighbour_assignment),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4966138922220945,,0.9900508671315199,,2,,0.0,,0.015594240763579625,0.0,inf,inf,,0.0,,,0.8784473600058307
