laboratory_id,candidate_a,candidate_b,cluster,normalization,representation_transform,trajectory_correlation,derivative_correlation,normalized_rms_distance,sign_agreement,turning_point_agreement,wave_mode_equivalence,exchange_cycle_difference,state_space_geometry_difference,equivalence_level,nearest_alpha_ratio,nearest_inverse_alpha_ratio
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R5,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R6,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R1,0.9999908142656542,0.9999857548852696,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R2,0.9999908142656542,0.9999857548852696,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R3,0.9999989882997501,0.9999857548852696,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R4,0.9999908142656542,0.9999857548852696,0.007276294796535042,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R5,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R6,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R1,0.9999735277670171,0.9999857548852696,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R2,0.9999735277670171,0.9999857548852696,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R3,0.9999867638835086,0.9999857548852696,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R4,0.9999735277670171,0.9999857548852696,0.007276294796535041,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R5,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R6,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R1,0.9999858702051464,0.9999857548852696,0.007276294796535039,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R2,0.9999858702051464,0.9999857548852696,0.007276294796535039,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R3,0.999999999999939,0.9999857548852694,0.00727629479653902,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R4,0.9999858702051464,0.9999857548852696,0.007276294796535039,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R5,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R6,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R1,0.9999859294897625,0.9999859414380857,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R2,0.9999859294897625,0.9999859414380857,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R3,0.9999999858014551,0.9999859414380856,0.007324230193461775,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R4,0.9999859294897625,0.9999859414380857,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R5,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R6,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R1,0.9999859294897625,0.9999859414380857,0.007324230193461771,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R2,0.9999859294897625,0.9999859414380857,0.007324230193461771,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R3,0.9999989675594037,0.9999859414380857,0.007324230193461777,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R4,0.9999859294897625,0.9999859414380857,0.007324230193461771,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R5,-1.0,-1.0,2.0000000000000004,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R6,-1.0,-1.0,2.0000000000000004,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R1,0.9999881562046264,0.9999859414380858,0.007324230193461772,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R2,0.9999881562046264,0.9999859414380858,0.007324230193461772,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R3,0.9999996498774777,0.9999859414380855,0.007324230193461781,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R4,0.9999881562046264,0.9999859414380858,0.007324230193461772,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R5,-1.0,-1.0,2.0,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R6,-1.0,-1.0,2.0,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R1,0.9999731778260365,0.9999859414380855,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R2,0.9999731778260365,0.9999859414380855,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R3,0.9999865889130183,0.9999859414380855,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R4,0.9999731778260365,0.9999859414380855,0.00732423019346177,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R5,-1.0,-1.0,1.9999999999999998,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R6,-1.0,-1.0,1.9999999999999998,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R1,0.9999859294897627,0.9999859414380857,0.007324230193461769,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R2,0.9999859294897627,0.9999859414380857,0.007324230193461769,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R3,0.9999999999999366,0.9999859414380855,0.007324230193455478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R4,0.9999859294897627,0.9999859414380857,0.007324230193461769,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R5,-1.0,-1.0,2.0,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R6,-1.0,-1.0,2.0,0.003859747023809524,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R1,0.9999861290171527,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R2,0.9999861290171527,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R3,0.999999999770667,0.9999861400874285,0.00527084985477486,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R4,0.9999861290171527,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R5,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R6,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R1,0.9999861290171527,0.9999861400874288,0.005270849854774777,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R2,0.9999861290171527,0.9999861400874288,0.005270849854774777,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R3,0.9999981137074362,0.9999861400874288,0.005270849854774776,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R4,0.9999861290171527,0.9999861400874288,0.005270849854774777,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R5,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R6,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R1,0.9999981813541146,0.9999861400874286,0.005270849854774776,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R2,0.9999981813541146,0.9999861400874286,0.005270849854774776,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R3,0.9999981137074363,0.9999861400874286,0.0052708498547747755,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R4,0.9999981813541146,0.9999861400874286,0.005270849854774776,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R5,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N2,R6,-1.0,-1.0,1.9999999999999998,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R1,0.9999861090709046,0.9999861400874288,0.0052708498547747815,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R2,0.9999861090709046,0.9999861400874288,0.0052708498547747815,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R3,0.9999930545354522,0.9999861400874286,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R4,0.9999861090709046,0.9999861400874288,0.0052708498547747815,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R5,-1.0,-1.0,1.9999999999999998,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N3,R6,-1.0,-1.0,1.9999999999999998,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R1,0.9999861290171524,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R2,0.9999861290171524,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R3,0.9999999999999452,0.9999861400874286,0.005270849854766202,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R4,0.9999861290171524,0.9999861400874285,0.00527084985477478,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R5,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N4,R6,-1.0,-1.0,2.0,0.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R1,0.9999859175375955,0.9999859072901958,0.00730887689581303,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R2,0.9999859175375955,0.9999859072901958,0.00730887689581303,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R3,0.9999999855975884,0.9999859072901957,0.007308876895813034,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R4,0.9999859175375955,0.9999859072901958,0.00730887689581303,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R5,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N0,R6,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R1,0.9999859175375954,0.9999859072901955,0.007308876895813032,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R2,0.9999859175375954,0.9999859072901955,0.007308876895813032,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R3,0.9999989823028749,0.9999859072901955,0.0073088768958130285,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R4,0.9999859175375954,0.9999859072901955,0.007308876895813032,1.0,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R5,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
PBUF MICROSCOPIC-TRANSPORT-EQUIVALENCE-LAB-001,T1,T4,Abell2744,N1,R6,-1.0,-1.0,2.0,0.047572544642857144,0.0,True,0.0,0.0002696990092954671,Level 4 (representation equivalence),0.0072973525692838015,137.035999084
