decomposition_number,decomposition_code,decomposition_name,family,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,neighbour_coherence_gain,neighbour_coherence_final,elastic_persistence_index,elastic_persistence_activity,phase_field_coherence,phase_change_from_init,theta_change_from_init,relaxation_time,spatial_correlation_length,temporal_persistence_length,clusters_with_emergent_coherence
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,MACS0416,MACS J0416,0.005276495181907914,0.06233849838614946,-0.0011266390085213631,0.07645495575904382,0.19719610318286376,0.06374543143784467,-0.10380596047727453,0.004276426308300029,0.24306708597578108,2.220446049250313e-16,0.006120220088162711,0.9976680138351561,0.041121930354328505,0.3151247571765168,0.976926097448594,0.9976680138351561,0.00038139059761485946,0.00018311344376721112,0.5933216624945651,0.38879890604728734,6.0,7.0,4.0,
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,MACS0416,MACS J0416,0.003711051510862725,0.06445032229651637,-0.000985484403344295,0.07857054044267285,0.19700005934682494,0.06359084953714025,-0.10363792170832059,0.004104884269534815,0.24381026800256222,2.220446049250313e-16,0.00588402782502286,0.997768899654442,0.041153319293380695,0.3152406940310676,0.9770420343031448,0.997768899654442,0.0003816301268627759,0.0001326242053739402,0.3431527200034453,0.4088990418738237,6.0,7.0,4.0,
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,MACS0416,MACS J0416,0.004853112223018255,0.06520497921006715,-0.001097475783687764,0.07941222237647907,0.19641360422206253,0.06340792711580959,-0.10381515288085219,0.004057764097045998,0.2434559779940173,2.220446049250313e-16,0.004810324075567131,0.9981471240665494,0.04143665935511279,0.3170208710509692,0.9788222113230465,0.9981471240665494,0.00038396549813795244,0.0001975231090148369,0.5933216624945651,0.4088990418738237,6.0,7.0,4.0,
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,MACS0416,MACS J0416,0.004605474397690873,0.06840597139522452,-0.0010338640152508566,0.0824649084742964,0.19665955526227274,0.06340798879935879,-0.10362787901117826,0.004214329144564798,0.24785294791217893,2.220446049250313e-16,0.005195898368301218,0.9975726794233042,0.0413803190375389,0.31674674764691946,0.9785480879189967,0.9975726794233042,0.0003839501183420312,0.00032721276280295205,0.55754524704998,0.4088990418738237,6.0,7.0,4.0,
11,D11,Orientation update delayed (one-step lag),orient,theta uses target_t and theta from previous step,MACS0416,MACS J0416,0.003687991538417529,0.06636019054527653,-0.001004380688280127,0.08051891743481178,0.19666335582652647,0.06340151731051986,-0.10376150606426654,0.00425385844386767,0.24501617101486772,2.220446049250313e-16,0.005237321080379437,0.9974901779771336,0.041366081113850435,0.316666233094995,0.9784675733670722,0.9974901779771336,0.0003838454162329706,0.0005334714321206975,0.5933216624945651,0.3940605759517468,6.0,7.0,4.0,
12,D12,Neighbour phase ignored / local only,phase,phi evolves with OMEGA drift only; no neighbour phase alignment,MACS0416,MACS J0416,0.005053903601771248,0.06959921744434369,-0.001135984020348018,0.0837966321824331,0.1961674367079498,0.06312146371479363,-0.10388205922338023,0.003923490106992142,0.24552067299373448,2.220446049250313e-16,0.004865942536549655,0.9977282978211385,0.041501516753687996,0.31694485545342066,0.9787461957254979,0.9977282978211385,0.0003866238588235337,0.00024186224673073678,0.40000000000000036,0.4088990418738237,6.0,7.0,4.0,
13,D13,Neighbour orientation ignored / local only,orient,theta held at initial value; no neighbour alignment,MACS0416,MACS J0416,0.0009819679770894177,0.05642573587450446,-0.0009173453976367483,0.07096813263290432,0.19626572042327775,0.06349871690836123,-0.10418081410913388,0.003552907818365957,0.24247367505449802,2.220446049250313e-16,0.004437783297308384,0.9978925093761075,0.04102258114748627,0.31466596236773436,0.9764673026398116,0.9978925093761075,0.0003810903061822341,0.0007506987008580717,0.5933216624945651,0.0,6.0,7.0,4.0,
14,D14,Pure self-evolution (control vs WR4),control-wr4,"no neighbour contribution to theta, phi, or u relaxation",MACS0416,MACS J0416,0.004433484345726472,0.12300004332703673,-9.99661751061535e-05,0.13292631920076609,0.18484930183092005,0.06403326854987546,-0.09965929406077849,-0.013677469391705135,0.2449852420249954,2.220446049250313e-16,-0.0002964437683740888,1.0,0.04400521832054349,0.3154473091197948,0.9772486493918721,1.0,0.0003960469648848915,0.0007721793994788693,0.40000000000000036,0.0,6.0,7.0,5.0,
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,MACS1149,MACS J1149,0.11334116065064097,-0.045207470489848245,0.04606950573994151,-0.011834656996870873,0.12135854463161654,0.09491845458071958,-0.03366830434589335,-0.059756372029546014,0.2445171900326386,2.220446049250313e-16,0.005234879763434527,0.9980122136993469,0.04108848471338288,0.44015479421269466,0.970085287664209,0.9980122136993469,0.00038089385377341914,0.0012228998417498857,0.6188402532060202,0.4533807215119778,6.0,4.0,4.0,
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,MACS1149,MACS J1149,0.10535310644615957,-0.06023227617279175,0.04327852806869634,-0.021179925912799828,0.12251810597580526,0.09492822602843262,-0.03356306553686217,-0.05943765418475909,0.2438550889492035,2.220446049250313e-16,0.004097162498613168,0.997684153997963,0.040507423310028295,0.43369155588697406,0.9636220493384884,0.997684153997963,0.0003766465291558204,0.0006636091790454308,0.0,0.4533807215119778,6.0,4.0,4.0,
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,MACS1149,MACS J1149,0.10563534266052017,-0.0608875628746181,0.04431344415120119,-0.021557620464539434,0.1224094847245339,0.09495060833150684,-0.03335438866365605,-0.05947136508602337,0.24505385209340602,2.220446049250313e-16,0.004130603506445604,0.9976542617511239,0.04049678250791536,0.43366424943014337,0.9635947428816577,0.9976542617511239,0.0003766134921176957,0.000473967001960075,0.6188402532060202,0.0,6.0,4.0,4.0,
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,MACS1149,MACS J1149,0.11290505420506174,-0.04347607815774042,0.04756479055657251,-0.010689561313620128,0.1212554051042454,0.09486870305783433,-0.03329053340640314,-0.05977310165771431,0.24532576301135123,2.220446049250313e-16,0.0050702181043577495,0.9973637462709747,0.04115059942324564,0.4400572219744935,0.9699877154260078,0.9973637462709747,0.0003842782403302061,0.0006922176501286399,0.9571779470744496,0.4533807215119778,6.0,4.0,4.0,
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,MACS1149,MACS J1149,0.11147229819255557,-0.04356656411758696,0.04755613274482978,-0.010641881035429741,0.121185758699901,0.09482430614458456,-0.03317599923295727,-0.059787051934017836,0.24389329995028675,2.220446049250313e-16,0.005103166735786839,0.9973262939715963,0.04114020776124863,0.44002672042255253,0.9699572138740669,0.9973262939715963,0.0003842507957215657,0.0006745764361628147,0.6188402532060202,0.9571779470744496,6.0,4.0,4.0,
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),MACS1149,MACS J1149,0.11134261525014041,-0.04348831335287841,0.0469338050940284,-0.010672631227426458,0.12129925553412345,0.09485876255115866,-0.03329813741583239,-0.0597774549278486,0.24640709592495114,2.220446049250313e-16,0.005064893975821586,0.9975360144105174,0.041146377368416,0.4400801476654762,0.9700106411169905,0.9975360144105174,0.0003841458684043701,0.0006694034484882412,0.6188402532060202,0.4533807215119778,6.0,4.0,4.0,
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,MACS1149,MACS J1149,0.10379986045289441,-0.05303071616999081,0.04281367723972887,-0.01647369816855385,0.12172955875347262,0.0951043814332565,-0.0335813980120895,-0.05999973477159959,0.2506423759041354,2.220446049250313e-16,0.006155939251445485,0.9973302938784294,0.040669752874302016,0.43608206693871876,0.9660125603902331,0.9973302938784294,0.0003777071110656888,0.0016279409752078288,0.6188402532060202,0.41863878906351126,6.0,4.0,4.0,
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,MACS1149,MACS J1149,0.1058381254390853,-0.050758609052309174,0.04404454285604062,-0.015087951487496247,0.12163711124231526,0.09514508925516749,-0.033474555172999375,-0.06009598327285822,0.24683218693826348,2.220446049250313e-16,0.006025297794018407,0.9973725853184859,0.04068853869630862,0.43620379222696437,0.9661342856784787,0.9973725853184859,0.0003778465809200154,0.0016578078867422494,0.37488493891585417,0.4533807215119778,6.0,4.0,4.0,
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,MACS1149,MACS J1149,0.11334116065064097,-0.045207470489848245,0.04606950573994151,-0.011834656996870873,0.12135854463161654,0.09491845458071958,-0.03366830434589335,-0.059756372029546014,0.2460168459219858,2.220446049250313e-16,0.005234879763434527,0.9980122136993469,0.04108848471338288,0.44015479421269466,0.970085287664209,0.9980122136993469,0.00038089385377341914,0.0012228998417498857,0.6188402532060202,0.4533807215119778,6.0,4.0,4.0,
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,MACS1149,MACS J1149,0.11534474142361383,-0.04587013061017695,0.046811049428799205,-0.012450772227306502,0.12186491168967611,0.09475155941339436,-0.03363436053662534,-0.05934755626038157,0.24848240101709962,2.220446049250313e-16,0.005269642292651839,0.9970943453678454,0.04102182100478355,0.4396469263450723,0.9695774197965866,0.9970943453678454,0.0003812226527352203,0.0011871357961825268,0.5798440046388365,0.4533807215119778,6.0,4.0,4.0,
11,D11,Orientation update delayed (one-step lag),orient,theta uses target_t and theta from previous step,MACS1149,MACS J1149,0.11395550411540048,-0.04596223651802714,0.047371913449505296,-0.012447891090215164,0.12167626431476793,0.094785139290525,-0.03341203695130314,-0.05943999111731963,0.2454078240552917,2.220446049250313e-16,0.005353932954678835,0.9970500591273305,0.04100769688348031,0.4395499716488811,0.9694804651003954,0.9970500591273305,0.0003810991511303865,0.001688830784856382,0.6188402532060202,0.4377930350564678,6.0,4.0,4.0,
12,D12,Neighbour phase ignored / local only,phase,phi evolves with OMEGA drift only; no neighbour phase alignment,MACS1149,MACS J1149,0.11290505420506174,-0.04347607815774042,0.04756479055657251,-0.010689561313620128,0.1212554051042454,0.09486870305783433,-0.03329053340640314,-0.05977310165771431,0.24499861302319914,2.220446049250313e-16,0.0050702181043577495,0.9973637462709747,0.04115059942324564,0.4400572219744935,0.9699877154260078,0.9973637462709747,0.0003842782403302061,0.0006922176501286399,0.40000000000000036,0.4533807215119778,6.0,4.0,4.0,
13,D13,Neighbour orientation ignored / local only,orient,theta held at initial value; no neighbour alignment,MACS1149,MACS J1149,0.10563534266052017,-0.0608875628746181,0.04431344415120119,-0.021557620464539434,0.1224094847245339,0.09495060833150684,-0.03335438866365605,-0.05947136508602337,0.2474541199626401,2.220446049250313e-16,0.004130603506445604,0.9976542617511239,0.04049678250791536,0.43366424943014337,0.9635947428816577,0.9976542617511239,0.0003766134921176957,0.000473967001960075,0.6188402532060202,0.0,6.0,4.0,4.0,
14,D14,Pure self-evolution (control vs WR4),control-wr4,"no neighbour contribution to theta, phi, or u relaxation",MACS1149,MACS J1149,0.22437468635202812,0.012180100689122515,0.09996132793928712,0.014296642756179185,0.08713332002908285,0.11351590455142736,-0.032683759114532536,-0.09076286122223515,0.2464050870621577,2.220446049250313e-16,0.0038791553645770075,1.0,0.04400521832054349,0.44373406444171326,0.9736645578932276,1.0,0.0003960469648848915,0.0004404170180948638,0.40000000000000036,0.0,6.0,4.0,5.0,
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,AbellS1063,Abell S1063,0.10494564177366811,0.09399620573787398,-0.038029439434395094,0.10577598054984859,0.1460912075481977,0.06360586362812297,-0.053939024853907544,-0.005352986793793887,0.24326162901706994,2.220446049250313e-16,0.00127968574418645,0.9980359705156546,0.04120851260519979,0.29466007293894614,0.9817266661365637,0.9980359705156546,0.00038189485755895725,0.0022244200043170827,0.5837074388236095,0.39703298417336447,6.0,3.0,4.0,
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,AbellS1063,Abell S1063,0.09433297991610266,0.09404163675628067,-0.03350697863149305,0.10590123728498113,0.14639720840804735,0.06346248833261536,-0.053577796474954476,-0.00516417773639861,0.24166126595810056,2.220446049250313e-16,0.0012184336195361482,0.9977693841206211,0.040822802159396675,0.29242332194955256,0.9794899151471701,0.9977693841206211,0.0003794170012886242,0.002426348316365794,0.0,0.39703298417336447,6.0,3.0,4.0,
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,AbellS1063,Abell S1063,0.09399181384635043,0.09639778409024705,-0.03375609640246936,0.10822384344530281,0.14630289963351795,0.06335459260892656,-0.05368419462896238,-0.00530859760631185,0.2434032999444753,2.220446049250313e-16,0.0012468555914331068,0.99774701835743,0.040808398093980125,0.2923877520758035,0.979454345273421,0.99774701835743,0.0003793704702265805,0.0023481062325898124,0.5837074388236095,0.0,6.0,3.0,4.0,
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,AbellS1063,Abell S1063,0.09809070974046341,0.08579003144034694,-0.03568754171355038,0.09782872427193588,0.1469073482152473,0.06388554187146478,-0.05395126781724674,-0.005040158371886447,0.2438880210975185,2.220446049250313e-16,0.0013154272816148977,0.9975323396003628,0.04126218292131908,0.2946044633728597,0.9816710565704773,0.9975323396003628,0.0003846047665207939,0.0026594947457807072,0.8396341734762496,0.39703298417336447,6.0,3.0,4.0,
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,AbellS1063,Abell S1063,0.09755127817385806,0.08778909841763533,-0.035405606138251444,0.0997181279838233,0.1465224319874491,0.06373954309895323,-0.05386596280941531,-0.00524421146167851,0.24400709196925163,2.220446049250313e-16,0.0013679944527124608,0.9975099370714582,0.04124838010979713,0.2945716961723214,0.9816382893699389,0.9975099370714582,0.00038457077751873146,0.0024426091175331205,0.5837074388236095,0.8396341734762496,6.0,3.0,4.0,
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),AbellS1063,Abell S1063,0.09756944752384189,0.08693335263985891,-0.03552787668114894,0.09893791271742072,0.14673883821586187,0.0638176463270504,-0.05392875348458442,-0.0051527126481568574,0.2428842190420255,2.220446049250313e-16,0.0013357932718454,0.997720526490577,0.041256322318552224,0.29460808396311955,0.9816746771607371,0.997720526490577,0.00038446889089284144,0.0024848454975773798,0.5837074388236095,0.39703298417336447,6.0,3.0,4.0,
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,AbellS1063,Abell S1063,0.09549593434161932,0.09007724857190344,-0.036114598517298,0.10211259657587507,0.14468316830687736,0.06315543929617463,-0.054188146064480476,-0.006850255955201862,0.24180971703026444,2.220446049250313e-16,0.0025014986781966915,0.9975697025361743,0.04085768738465447,0.2926873297069559,0.9797539229045734,0.9975697025361743,0.00037909945175831704,0.0027804248079784616,0.5837074388236095,0.39014532381815403,6.0,3.0,4.0,
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,AbellS1063,Abell S1063,0.09725106826193627,0.0880716532158478,-0.036741955186333504,0.10015504516268434,0.14478472698024034,0.06322615132370392,-0.054230500647624136,-0.006654091678089834,0.24226735800039023,2.220446049250313e-16,0.0024483924089512004,0.9975904801692878,0.04087890837371962,0.29275242782284694,0.9798190210204645,0.9975904801692878,0.0003792618417267937,0.002766321910769131,0.34370175406935366,0.39703298417336447,6.0,3.0,4.0,
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,AbellS1063,Abell S1063,0.10494564177366811,0.09399620573787398,-0.038029439434395094,0.10577598054984859,0.1460912075481977,0.06360586362812297,-0.053939024853907544,-0.005352986793793887,0.2420698079513386,2.220446049250313e-16,0.00127968574418645,0.9980359705156546,0.04120851260519979,0.29466007293894614,0.9817266661365637,0.9980359705156546,0.00038189485755895725,0.0022244200043170827,0.5837074388236095,0.39703298417336447,6.0,3.0,4.0,
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,AbellS1063,Abell S1063,0.10342169746773451,0.09280095487967484,-0.03791866291053609,0.1047074324555773,0.1457681208356289,0.06340763122167532,-0.05404253088297284,-0.005571909883157437,0.24384284194093198,2.220446049250313e-16,0.0013911281471413483,0.9973916955564762,0.041143466889316416,0.29437471045889485,0.9814413036565124,0.9973916955564762,0.00038195530986400415,0.0025635619064556577,0.5444811188397713,0.39703298417336447,6.0,3.0,4.0,
11,D11,Orientation update delayed (one-step lag),orient,theta uses target_t and theta from previous step,AbellS1063,Abell S1063,0.10397388705555127,0.09487516806961872,-0.03747688662647243,0.10673918400184887,0.14541334163678832,0.06333601593456561,-0.05381069676924982,-0.005705237281002588,0.24306769005488604,2.220446049250313e-16,0.0014629937357151256,0.997311431989251,0.041133681851908584,0.294335918191976,0.9814025113895936,0.997311431989251,0.00038196076225639476,0.0026849631283657094,0.5837074388236095,0.3803194645974646,6.0,3.0,4.0,
