candidate_a_code,candidate_b_code,cluster_id,field,normalization,trajectory_correlation,transform
T1,T4,Abell2744,J_slow_to_fast,N1,0.9999651156231125,R3
T1,T4,Abell2744,J_slow_to_fast,N1,0.9999651156231094,R4
T1,T4,Abell2744,J_slow_to_fast,N1,-1.0,R5
T1,T4,Abell2744,J_slow_to_fast,N1,-1.0,R6
T1,T4,Abell2744,J_slow_to_fast,N2,0.9999994608577467,R1
T1,T4,Abell2744,J_slow_to_fast,N2,0.9999994608577467,R2
T1,T4,Abell2744,J_slow_to_fast,N2,0.9999651156231093,R3
T1,T4,Abell2744,J_slow_to_fast,N2,0.9999994608577467,R4
T1,T4,Abell2744,J_slow_to_fast,N2,-1.0,R5
T1,T4,Abell2744,J_slow_to_fast,N2,-1.0,R6
T1,T4,Abell2744,J_slow_to_fast,N3,0.9999571824558373,R1
T1,T4,Abell2744,J_slow_to_fast,N3,0.9999571824558373,R2
T1,T4,Abell2744,J_slow_to_fast,N3,0.9999785912279187,R3
T1,T4,Abell2744,J_slow_to_fast,N3,0.9999571824558373,R4
T1,T4,Abell2744,J_slow_to_fast,N3,-1.0,R5
T1,T4,Abell2744,J_slow_to_fast,N3,-1.0,R6
T1,T4,Abell2744,J_slow_to_fast,N4,0.9999651156231096,R1
T1,T4,Abell2744,J_slow_to_fast,N4,0.9999651156231096,R2
T1,T4,Abell2744,J_slow_to_fast,N4,0.9999999999996305,R3
T1,T4,Abell2744,J_slow_to_fast,N4,0.9999651156231096,R4
T1,T4,Abell2744,J_slow_to_fast,N4,-1.0,R5
T1,T4,Abell2744,J_slow_to_fast,N4,-1.0,R6
T1,T4,Abell2744,J_net,N0,0.0,R1
T1,T4,Abell2744,J_net,N0,0.0,R2
T1,T4,Abell2744,J_net,N0,0.0,R3
T1,T4,Abell2744,J_net,N0,0.0,R4
T1,T4,Abell2744,J_net,N0,0.0,R5
T1,T4,Abell2744,J_net,N0,0.0,R6
T1,T4,Abell2744,J_net,N1,0.0,R1
T1,T4,Abell2744,J_net,N1,0.0,R2
T1,T4,Abell2744,J_net,N1,0.0,R3
T1,T4,Abell2744,J_net,N1,0.0,R4
T1,T4,Abell2744,J_net,N1,0.0,R5
T1,T4,Abell2744,J_net,N1,0.0,R6
T1,T4,Abell2744,J_net,N2,0.0,R1
T1,T4,Abell2744,J_net,N2,0.0,R2
T1,T4,Abell2744,J_net,N2,0.0,R3
T1,T4,Abell2744,J_net,N2,0.0,R4
T1,T4,Abell2744,J_net,N2,0.0,R5
T1,T4,Abell2744,J_net,N2,0.0,R6
T1,T4,Abell2744,J_net,N3,0.0,R1
T1,T4,Abell2744,J_net,N3,0.0,R2
T1,T4,Abell2744,J_net,N3,0.0,R3
T1,T4,Abell2744,J_net,N3,0.0,R4
T1,T4,Abell2744,J_net,N3,0.0,R5
T1,T4,Abell2744,J_net,N3,0.0,R6
T1,T4,Abell2744,J_net,N4,0.0,R1
T1,T4,Abell2744,J_net,N4,0.0,R2
T1,T4,Abell2744,J_net,N4,0.0,R3
T1,T4,Abell2744,J_net,N4,0.0,R4
T1,T4,Abell2744,J_net,N4,0.0,R5
