candidate_a_code,candidate_b_code,cluster_id,long_amp_a,long_amp_b,long_freq_a,long_freq_b,long_mode_correlation,long_stab_a,long_stab_b,trans_amp_a,trans_amp_b,trans_freq_a,trans_freq_b,trans_mode_correlation,trans_stab_a,trans_stab_b
T4,T10,AbellS1063,4.41355098952278e-05,5.7890018864288844e-05,1.0,1.0,0.9738516443205345,0.9370647343605588,0.8829808358128529,6.107626502995575e-05,6.374840079490463e-05,1.0,1.0,0.9999999489528895,0.9985360694312277,0.9984732181616726
T4,T10,Abell370,2.332220890331732e-05,3.027421491917651e-05,1.0,1.0,0.9863549162921298,0.9454032197228439,0.9085077674870567,6.347638451411993e-05,6.525163988736254e-05,1.0,1.0,0.9999999880684199,0.9990140057230987,0.998986946780586
T5,T6,Abell2744,2.0062990177243677e-05,7.511190132277239e-06,1.0,1.0,0.9880433490439674,0.9623042264078605,0.987819997703124,3.93697944396956e-05,2.937962865789025e-06,1.0,1.0,0.9999949133893337,0.9993555263593273,0.999951595728266
T5,T6,MACS0416,8.6050371858286e-06,4.642078746955928e-05,1.0,1.0,-0.050122462080643644,0.9451130037794389,0.863482252635176,5.207194038635916e-05,2.4229559809279707e-05,1.0,1.0,0.9999948609268694,0.9988638629631157,0.999467485557124
T5,T6,MACS1149,2.137797700127158e-06,3.545951464011151e-05,1.0,1.0,0.8725124052224645,0.9863217138478181,0.9050895248478916,4.882405568640008e-05,1.841664181297251e-05,1.0,1.0,0.9999883905662061,0.9985491477187745,0.9994466699573484
T5,T6,AbellS1063,3.474313273394662e-05,0.00010013357453456451,1.0,1.0,0.7701588623144772,0.9570751546433217,0.8738857852182381,4.915484026098845e-05,4.8476342761630285e-05,1.0,1.0,0.9999989943874366,0.9988176615221058,0.9988303863440826
T5,T6,Abell370,1.6634242504766377e-05,1.7275451384548682e-05,1.0,1.0,0.961601799363363,0.9666042544794118,0.9751512075505762,4.452548881087351e-05,1.954194267966123e-05,1.0,1.0,0.9999979037620857,0.9993060122297216,0.9996940242725447
T5,T9,Abell2744,2.0062990177243677e-05,2.6043609916151548e-05,1.0,1.0,0.9962255453904078,0.9623042264078605,0.944068251927517,3.93697944396956e-05,3.862553502076535e-05,1.0,1.0,0.9999999959442896,0.9993555263593273,0.999367741160539
T5,T9,MACS0416,8.6050371858286e-06,1.0003409470281665e-05,1.0,1.0,0.9967463309181324,0.9451130037794389,0.9276986578394757,5.207194038635916e-05,4.509015261850947e-05,1.0,1.0,0.9999997146053241,0.9988638629631157,0.9990148563062541
T5,T9,MACS1149,2.137797700127158e-06,4.337960568089659e-06,1.0,1.0,0.9958164715823751,0.9863217138478181,0.9678958571077145,4.882405568640008e-05,4.2896854521888996e-05,1.0,1.0,0.9999996158668906,0.9985491477187745,0.9987234426086532
