group,method,nphotons,grid_n,step,domain_L,rms_kappa,rms_gamma,mean_kappa,mean_gamma,peak_kappa,peak_gamma,n_finite_kappa,n_finite_gamma
A,triangulation,50000,128,0.06,8.0,0.09797114507270678,0.7258991046720495,-0.03364184979372595,0.11245808408337984,0.193407253590175,6.7136307566355065,288,4096
A,jacobian,100000,128,0.06,8.0,0.13440232188157536,0.08419219590619309,-0.0028669502861827017,0.07048652389794108,0.3877479253268087,0.24833596342236414,288,288
A,area,100000,128,0.06,8.0,0.1312558242945521,0.06616161570347545,-0.018562990245756344,0.05081824367539353,0.3019652059785688,0.2620388983580604,288,288
A,triangulation,100000,128,0.06,8.0,0.1058040712785726,0.7258868855630048,-0.056106583428982164,0.11246111669800282,0.18093109785494135,6.71423893660405,288,4096
B,jacobian,10000,64,0.06,8.0,0.20710629279157608,0.11305166460691746,0.005423216501260754,0.08966120946578582,0.6422901255908988,0.4587195041372765,288,288
B,area,10000,64,0.06,8.0,0.19996492331469257,0.09961755231361735,-0.010602837431529,0.07184576334212628,0.48988646157746685,0.4886671309908497,288,288
B,triangulation,10000,64,0.06,8.0,0.12261998771057793,0.7261303515548582,-0.01125454720047566,0.11257572974669686,0.24912822576272625,6.7133210057539605,288,4096
B,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
B,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
B,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
B,jacobian,10000,256,0.06,8.0,0.1406600434744626,0.09564820815563273,-0.0006488224942090651,0.0778146591883642,0.503342576940569,0.29280627976451523,288,288
B,area,10000,256,0.06,8.0,0.13954339186311057,0.0709019906095121,-0.014525536868833717,0.05295472816436683,0.45405417104926815,0.27670398841457344,288,288
B,triangulation,10000,256,0.06,8.0,0.11678208479507136,0.7259085182566324,-0.00310141093606215,0.11248838676884612,0.32610349087760737,6.711450805367161,288,4096
B,jacobian,10000,512,0.06,8.0,0.137064575100905,0.09248462968866523,-0.006762228881223652,0.07555035411699923,0.3914842945268998,0.2780290429328844,288,288
B,area,10000,512,0.06,8.0,0.1368213422575365,0.0691624691861533,-0.014536193845577632,0.05201157147850567,0.36985334031824013,0.28357211798436455,288,288
B,triangulation,10000,512,0.06,8.0,0.11760841608280294,0.7258850345218578,-0.0019232260535959943,0.11250982446599794,0.2701375063247695,6.717861068013704,288,4096
B,jacobian,10000,1024,0.06,8.0,0.13689730825148527,0.09547965055360144,-0.008199093140470261,0.07739232214507731,0.3892737559409558,0.2992872673702672,288,288
B,area,10000,1024,0.06,8.0,0.13952887067466455,0.07135929547565187,-0.028630003429951208,0.05208210022148279,0.3649018682894296,0.3085318326551132,288,288
B,triangulation,10000,1024,0.06,8.0,0.11117795568058687,0.7258826937189138,-0.002229279364394105,0.11241760809955703,0.3248328033514815,6.719475468647195,288,4096
C,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
C,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
C,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
C,jacobian,10000,128,0.03,8.0,0.14779748456249805,0.09030191845313504,0.005003897031957781,0.07659136506411397,0.40275270323813506,0.2691988570835502,288,288
C,area,10000,128,0.03,8.0,0.1419927283439398,0.0709853817958955,-0.0033982364558111785,0.05658290127043367,0.33874827789950446,0.2776478050734815,288,288
C,triangulation,10000,128,0.03,8.0,0.11589465969648018,0.7304783433646308,-0.004731089373276785,0.11328700396599276,0.30767246949029964,6.758579321822849,288,4096
C,jacobian,10000,128,0.015,8.0,0.14623895899447117,0.0896901166952107,0.004220006014440666,0.07600848025668229,0.3921415061967518,0.266206481240822,288,288
C,area,10000,128,0.015,8.0,0.1407940166615439,0.0703588346689938,-0.0040783680797455545,0.055708535991218194,0.3335793212024981,0.27472722394476856,288,288
C,triangulation,10000,128,0.015,8.0,0.1147642540925489,0.7327704264885331,-0.004640164949150326,0.11362067477134075,0.2984093585084067,6.781938217128243,288,4096
C,jacobian,10000,128,0.0075,8.0,0.14628124579449442,0.08973312914983253,0.003678494151893419,0.07611253933719847,0.3961762065460033,0.2669612092498508,288,288
C,area,10000,128,0.0075,8.0,0.14086375194207265,0.07037423622696355,-0.0046476822185123985,0.05558131090134006,0.32774302572146496,0.27546335024214863,288,288
C,triangulation,10000,128,0.0075,8.0,0.11476324735754505,0.7339201237642052,-0.004854584363611199,0.11379630511637547,0.2973769881269357,6.792719186813877,288,4096
D,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
D,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
D,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
D,jacobian,10000,128,0.06,12.0,0.0840943320857153,0.05616678140153602,-0.005879692502348182,0.04700245654118883,0.20600514863363717,0.14220811754768176,128,128
D,area,10000,128,0.06,12.0,0.08413522564917372,0.042015255984392375,-0.009841212772524902,0.031251836916342056,0.20087561175669166,0.1434758105614674,128,128
D,triangulation,10000,128,0.06,12.0,0.07625912369515411,0.3950301533325921,-0.00523116676676336,0.04924671202280536,0.17331519144077243,4.455435973792886,128,4096
D,jacobian,10000,128,0.06,16.0,0.06005962751798387,0.04090040835803763,0.005118538909094381,0.03330615071841827,0.1495826093332009,0.11283182447144306,72,72
D,area,10000,128,0.06,16.0,0.0600007415997198,0.029818481110949764,0.0036465984340259255,0.02125223507509428,0.147602575616532,0.11479518558507851,72,72
D,triangulation,10000,128,0.06,16.0,0.0518853805014319,0.2563699358954037,0.002750296426292667,0.02739413401317621,0.14149865462147931,3.3465879985846594,72,4096
D,jacobian,10000,128,0.06,24.0,0.04220804185318933,0.02794160534022037,0.0006865661483466678,0.02249241307115384,0.08486284973425418,0.06912740900039524,32,32
D,area,10000,128,0.06,24.0,0.04216625795407241,0.021014109785171698,-0.00013346076607975016,0.016510673625732393,0.08184117727763907,0.04831887892023423,32,32
D,triangulation,10000,128,0.06,24.0,0.03859891404687228,0.13942386995738093,0.0003301662684072398,0.01194243677196093,0.07491358412287649,2.234399036942056,32,4096
E,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
E,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
E,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
E,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
E,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
E,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
E,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
E,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
E,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
E,jacobian,10000,128,0.06,8.0,0.14681383796632913,0.09136041534277976,0.004331292821167819,0.07798031484252224,0.3973314964983484,0.2719365474233478,288,288
E,area,10000,128,0.06,8.0,0.14056998457209494,0.07060094871179297,-0.010318222483749397,0.05595746393865418,0.33717260496218127,0.28811564144152857,288,288
E,triangulation,10000,128,0.06,8.0,0.1155597475363138,0.7258847803330649,-0.004815704874034504,0.11256754541577915,0.30767933675718595,6.713513934976523,288,4096
