cluster_id,model,channel_id,channel_name,decomposition_type,response_energy,energy_fraction,E_native,closure_residual_norm
AbellS1063,C10,CH2,Transverse (local-gradient),local_transverse,1.7150833937701977,0.936481334266976,1.8314122567244406,0.34107017306449317
AbellS1063,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.04744113326224553,0.025904125675720893,1.8314122567244406,1.3276801912360063
AbellS1063,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,1.7627346902004781,0.9625002146448473,1.8314122567244406,0.2178098557509405
AbellS1063,A8,CH0,Native full response,native,2.526306484374593,1.0,2.526306484374593,0.0
AbellS1063,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.08573400974724286,0.033936503855535566,2.526306484374593,1.562233169097158
AbellS1063,A8,CH2,Transverse (local-gradient),local_transverse,2.416164495180114,0.9564019686939349,2.526306484374593,0.33187646676810156
AbellS1063,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.08247355858255569,0.032645903849220684,2.526306484374593,1.5522905892749885
AbellS1063,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,2.409606073551691,0.9538059172373965,2.526306484374593,0.2871821000385569
Abell370,C10,CH0,Native full response,native,3.1908847910194966,1.0,3.1908847910194966,0.0
Abell370,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.2226527052491348,0.06977773245708337,3.1908847910194966,1.7228557936665396
Abell370,C10,CH2,Transverse (local-gradient),local_transverse,2.9663235925402756,0.929624159696636,3.1908847910194966,0.47387888587614985
Abell370,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.15998006775562137,0.050136585377783975,3.1908847910194966,1.718667970172367
Abell370,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,2.953819591696404,0.9257054971115553,3.1908847910194966,0.39997508391851283
Abell370,A8,CH0,Native full response,native,4.6835757651908825,1.0,4.6835757651908825,0.0
Abell370,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.11462087265038778,0.024472940846237454,4.6835757651908825,2.137511378341761
Abell370,A8,CH2,Transverse (local-gradient),local_transverse,4.563931180891757,0.9744544360340354,4.6835757651908825,0.3458967827244503
Abell370,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.20861059109202956,0.0445408810598215,4.6835757651908825,2.092131412316617
Abell370,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,4.377013846401923,0.9345453272972801,4.6835757651908825,0.45673908426149556
