cluster_id,model,channel_id,channel_name,decomposition_type,divergence_rms,curl_rms,pearson_div_vs_kappa_gr,pearson_div_vs_gamma1_gr,pearson_div_vs_gamma2_gr,pearson_div_vs_gamma_mag_gr,pearson_curl_vs_kappa_gr,pearson_curl_vs_gamma1_gr,pearson_curl_vs_gamma2_gr,pearson_curl_vs_gamma_mag_gr,spearman_div_vs_kappa_gr,spearman_div_vs_gamma_mag_gr,spearman_curl_vs_kappa_gr,spearman_curl_vs_gamma_mag_gr
MACS0416,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0024649293163706374,0.021649542810435445,0.039933883118865796,-0.011472665124743453,0.04518336194505105,0.010231498438249597,-0.631436065005159,0.06017227219028264,-0.16030642520696142,-0.04503135506970593,0.012263417451045212,0.013652331718475772,-0.5783313254483089,0.0011472473954072533
MACS0416,A8,CH0,Native full response,native,5.391741397050291e-17,0.026766831428983943,-0.009651723653367871,0.01529649599345965,-0.02570074215100803,-0.010941629218942891,-0.6879238925799759,0.01849949785672565,-0.1525990233385716,-0.048541020104408285,4.7372773319350084e-05,0.038014034736341074,-0.6403873714593162,0.002648436913266743
MACS0416,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.0026279379310149647,0.004672251516386469,-0.013648063228029,-0.00988823401547933,0.0234410743154116,0.03516987513239585,-0.009673329293242626,0.003083439827003446,-0.025638871787202977,0.0008425713618119149,-0.006488411550185028,0.01182917075424169,0.0007443748625367798,0.024374640311558712
MACS0416,A8,CH2,Transverse (local-gradient),local_transverse,0.0026223818856207838,0.026788152655334876,0.01216236032530052,0.006176153621396674,-0.028344189726272343,-0.035355989893012155,-0.6869620898480707,0.017975156800804266,-0.14847833260336174,-0.048156303063931746,0.001355552195343506,-0.0045693621318220875,-0.650303024851618,-0.0022651369985833467
MACS0416,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0032410351235498402,0.002038500454904618,-0.02419549132195112,0.007900401629356162,-0.009195276277156349,-0.007309531636489761,-0.12751446894354596,-0.00034074635378285133,-0.006284311402342258,0.0013615254409239357,0.00656129621893443,-0.00032826311281774123,-0.12952940908948163,0.0028736878269501227
MACS0416,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0032410351235498424,0.02630658521297841,0.02419549132195093,-0.007900401629355881,0.00919527627715591,0.007309531636489574,-0.6900831959524463,0.018849721359883845,-0.15478310167480422,-0.04949620072930372,-0.00656129621893443,0.00032826311281774123,-0.6419606886552498,0.0031077975396989308
MACS1149,C10,CH0,Native full response,native,0.0014418670139430686,0.013455245707643951,-0.008551553539840877,-0.022101606508906534,-0.015183849644185411,-0.0021765642933599554,-0.647705375225942,-0.022982740943189264,0.07075681482199886,-0.016867064067352115,0.0012001267301925559,-0.011513805644943902,-0.6098822488868273,-0.017916962058921876
MACS1149,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.0024435829378520167,0.003699414361493802,0.0031443665228813667,0.03657457479430409,0.006109726720105085,0.01505920548185967,0.021359563262759274,0.053263896112263606,0.0015998759136494152,-0.005518589687157965,0.012448619978233872,-0.0008745762109503872,0.01594891412717337,0.003709560597699022
MACS1149,C10,CH2,Transverse (local-gradient),local_transverse,0.0027698424897811976,0.01312387657783606,-0.0066960526059392095,-0.043958902072466007,-0.012376058854171798,-0.01455089010967955,-0.6705436839616575,-0.03852027732252853,0.07223780036241716,-0.015760849840250075,-0.01640384753686026,-0.004099128953967479,-0.6303021739836215,-0.01677702944607463
MACS1149,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0018484774876393194,0.0010576830582474039,-0.009133729753441575,-0.016384429998665347,-0.02083282422740677,0.016297537365863136,-0.111482037713678,-0.007396430983432919,-0.00436358964761605,0.008610483076816021,0.006951962255337819,0.012924558438520636,-0.08988339849984041,0.003934020643846431
