laboratory_id,cluster_id,model,channel_id,channel_name,decomposition_type,smoothing_state,timestep,response_energy,energy_fraction,divergence_rms,curl_rms,pearson_preprop_vs_kappa_gr,pearson_preprop_vs_gamma_gr,pearson_postprop_kappa_vs_gr,pearson_postprop_gamma_vs_gr,kappa_specialization,shear_specialization,rotation_specialization,displacement_divergence_rms,displacement_curl_rms,jacobian_trace_rms,jacobian_shear_rms,image_rotation_rms,lag_dx,lag_dy,lag_improvement,interface_assignment,wave_mode_id,nearest_alpha_multiple,alpha_input_dependency
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,C10,CH0,Native full response,native,SM0_native,20,2.790779101921781,1.0,0.0026848990262510262,0.02192648008251227,0.013559614588511288,-0.04445276682722991,0.2528293435030616,0.1170678102526186,0.135761533250443,-0.135761533250443,nan,0.2582039234065475,0.25790062986882145,0.9695943831788431,0.09065980899123195,0.0,0,1,0.26950842308033446,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,C10,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.18291983665972178,0.06554436233729853,0.0036983429424894965,0.00586500001407692,-0.010384128813918772,-0.011099725296300975,-0.1143522771108951,0.037709200754464337,-0.15206147786535945,0.15206147786535945,nan,0.25820105413439265,0.2581443391469502,0.9841883715637593,0.04460578043510506,0.0,0,1,-0.05026875285209599,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,C10,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,2.6049584198303393,0.933416198378624,0.004203906574772144,0.021202370170215572,0.018239480592294865,-0.04272192758427036,0.31937524452996374,0.05775956814702056,0.2616156763829432,-0.2616156763829432,nan,0.25818309956155355,0.2579504213560942,0.9676293814614573,0.08962679257786149,0.0,0,1,0.3205709586898373,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.1606894696536227,0.057578713249991385,0.00356136918717656,0.0014405902298198412,-0.017416821315453267,0.00014120387939757953,0.08818460499036973,0.007530029399129164,0.08065457559124056,-0.08065457559124056,nan,0.2581985062387371,0.25801331075062367,0.9870814759910469,0.04124368155332206,0.0,0,1,0.022249543460404517,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,2.5398319258203657,0.9100798856030531,0.0024649293163706374,0.021649542810435445,0.039933883118865796,-0.04503135506970593,0.2865199373154176,0.1833113693279294,0.10320856798748818,-0.10320856798748818,nan,0.25818304578766027,0.25806456850458315,0.9749638007140905,0.06908279229990615,0.0,0,1,0.3179870756519705,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,A8,CH0,Native full response,native,SM0_native,20,3.8428849166634107,1.0,5.391741397050291e-17,0.026766831428983943,-0.009651723653367871,-0.048541020104408285,0.3644889864202237,0.12184251279945961,0.24264647362076408,-0.24264647362076408,nan,0.25817199690191983,0.2579466665557209,0.9650626690940763,0.1048997414388288,0.0,0,1,0.3540840885618136,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,A8,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.10397119644251962,0.027055506135945578,0.0026279379310149647,0.004672251516386469,-0.013648063228029,0.0008425713618119149,-0.02387140770438947,0.06586782354952796,-0.08973923125391743,0.08973923125391743,nan,0.2581659514780042,0.25816697554641127,0.9876294606148082,0.031144097507980584,0.0,0,1,-0.04262860296313401,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,A8,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,3.7216794109337337,0.968459761778421,0.0026223818856207838,0.026788152655334876,0.01216236032530052,-0.048156303063931746,0.36795085650515386,0.08628205032135636,0.2816688061837975,-0.2816688061837975,nan,0.25818657376783233,0.2579620750463042,0.9645141282328269,0.1061105932424432,0.0,0,1,0.3600754406263249,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.1715352139254497,0.04463709365368801,0.0032410351235498402,0.002038500454904618,-0.02419549132195112,0.0013615254409239357,0.2902092096251786,0.054095486910599115,0.23611372271457948,-0.23611372271457948,nan,0.25818206630288315,0.2580307556170384,0.9880146198158841,0.03783587532298682,0.0,0,1,0.24958691185145168,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS0416,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,3.5809700271245117,0.931844201630085,0.0032410351235498424,0.02630658521297841,0.02419549132195093,-0.04949620072930372,0.33642784289793815,0.12599456966241815,0.21043327323552,-0.21043327323552,nan,0.2581616908756154,0.25809198159582986,0.9697802979608765,0.08221744399173163,0.0,0,1,0.3345208951691761,IC0_native,W2,6alpha,indirect
