cluster_id,model,channel_id,channel_name,n_photons,n_steps,mean_displacement_x,mean_displacement_y,max_deviation_mean,bending_angle_mean,conservation_max,kappa_rms,kappa_pearson_vs_gr,gamma1_rms,gamma2_rms,gamma_mag_rms,gamma_mag_pearson_vs_gr,rotation_rms,rotation_pearson_vs_gr
MACS0416,C10,CH0,Native full response,19881,160,2.384918284632775,-0.004561877432077701,0.029468185035744474,0.049635540405597554,2.220446049250313e-16,0.16849500647811597,0.2528293435030616,0.08424396202904892,0.033498594417898014,0.09065980899123195,0.1170678102526186,0.0,nan
MACS0416,C10,CH1,Longitudinal (local-gradient),19881,160,2.3849937489721715,-0.0009834221764234612,0.008938227955342876,0.013198440311340801,2.220446049250313e-16,0.08796945977773896,-0.1143522771108951,0.043983655648702734,0.007423859104343333,0.04460578043510506,0.037709200754464337,0.0,nan
MACS0416,C10,CH2,Transverse (local-gradient),19881,160,2.384927989560046,-0.003478876594077736,0.028428750196394587,0.04704736187876461,2.220446049250313e-16,0.1670983016863236,0.31937524452996374,0.08358422154852721,0.03235181379647402,0.08962679257786149,0.05775956814702056,0.0,nan
MACS0416,C10,CH3,Irrotational (Helmholtz),19881,160,2.3849870252273675,0.001039150764891259,0.010676007516591412,0.009035160598023458,2.220446049250313e-16,0.07864042429429811,0.08818460499036973,0.03928896498318709,0.012546652885201596,0.04124368155332206,0.007530029399129164,0.0,nan
MACS0416,C10,CH4,Solenoidal (Helmholtz),19881,160,2.384934288129636,-0.005599464256332955,0.026395185404877564,0.048608057109187336,2.220446049250313e-16,0.12688672409458168,0.2865199373154176,0.06352745060123914,0.027142129836457075,0.06908279229990615,0.1833113693279294,0.0,nan
MACS0416,A8,CH0,Native full response,19881,160,2.3848858698997217,-0.005796530937417447,0.034528391921891693,0.07066519406183146,2.220446049250313e-16,0.19466963260051376,0.3644889864202237,0.0973784591326996,0.03900501827809196,0.1048997414388288,0.12184251279945961,0.0,nan
MACS0416,A8,CH1,Longitudinal (local-gradient),19881,160,2.3849960173565607,-0.0004193332663478107,0.006706043926770073,0.011550647724251238,2.220446049250313e-16,0.061081259155600774,-0.02387140770438947,0.030540651546172873,0.006101099304375476,0.031144097507980584,0.06586782354952796,0.0,nan
MACS0416,A8,CH2,Transverse (local-gradient),19881,160,2.384895248526178,-0.005347788679918969,0.03358653444954943,0.06727309957006296,2.220446049250313e-16,0.19762017678663263,0.36795085650515386,0.09883970531161915,0.038602728558685045,0.1061105932424432,0.08628205032135636,0.0,nan
MACS0416,A8,CH3,Irrotational (Helmholtz),19881,160,2.3849919982805075,0.00028622519577811126,0.008359416637354488,0.010389714588908429,2.220446049250313e-16,0.07301062559575565,0.2902092096251786,0.03648271941854226,0.010028192523307628,0.03783587532298682,0.054095486910599115,0.0,nan
MACS0416,A8,CH4,Solenoidal (Helmholtz),19881,160,2.384904546038421,-0.006098827831155902,0.031218134110037973,0.0694080959170545,2.220446049250313e-16,0.147677713867539,0.33642784289793815,0.07398102419930823,0.03586803806949719,0.08221744399173163,0.12599456966241815,0.0,nan
MACS1149,C10,CH0,Native full response,19881,160,2.3849666755011203,0.0019150086859638384,0.02138324867312859,0.028595249849678733,2.220446049250313e-16,0.071929639470636,0.21088311696503098,0.03593301040548776,0.013613081255262756,0.03842521591433519,0.22042227089541075,0.0,nan
MACS1149,C10,CH1,Longitudinal (local-gradient),19881,160,2.3849983227689875,0.0006686866778189526,0.004526179371621205,0.006694220934696737,2.220446049250313e-16,0.037570845535110524,-0.05125011548619496,0.018785275883799774,0.0035948971813024736,0.019126156848008065,0.27848129011272993,0.0,nan
