cluster_id,model,stage,r_00,r_0p1,r_0m1,r_p10,r_m10,best_dx,best_dy,delta_r_0p1,best_lag_value,best_lag_correspondence
MACS0416,C10,final_convergence,0.2528293435030616,-0.43182728640269535,0.4460936119815622,0.30147132220367084,0.05804582931347405,0,0,-0.6846566299057569,0.4460936119815622,False
MACS0416,C10,final_shear,0.1170678102526186,0.2197257067298057,0.10387054966740286,-0.09056483811959425,0.2605270578268863,0,0,0.10265789647718711,0.2605270578268863,False
MACS0416,A8,native_response_rx,0.010404897858410082,0.445664360061237,-0.4479346229552725,0.07970879378852604,-0.061858318691507715,0,1,0.4352594622028269,0.445664360061237,True
MACS0416,A8,longitudinal_amplitude,0.011300060255876569,0.016459766115832285,0.01418015333294487,-0.014619399784702487,0.018942809556554002,0,0,0.0051597058599557166,0.018942809556554002,False
MACS0416,A8,transverse_amplitude,0.3821521666078381,0.383337664635741,0.4163517472801506,0.3877392925774397,0.40277653475954467,0,0,0.0011854980279029093,0.4163517472801506,False
MACS0416,A8,divergence_native,-0.009651723653367871,0.020254603534902393,-0.006619054943661301,-0.030747701579348575,-0.0036369028195083627,0,1,0.029906327188270264,0.020254603534902393,True
MACS0416,A8,curl_native,-0.048541020104408285,-0.03613620649090142,-0.03372439524509309,-0.04533821478440691,-0.0488018204397072,0,0,0.012404813613506864,-0.03372439524509309,False
MACS0416,A8,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
MACS0416,A8,accumulated_displacement_x,-0.517426575333594,-0.4745414022388561,-0.2553342477224202,-0.3218206313552337,-0.4038840744836081,0,0,0.04288517309473794,-0.2553342477224202,False
MACS0416,A8,jacobian_trace,-0.3644889864202237,0.4384769804791089,-0.5060794411241792,-0.34410369953523967,-0.19100770749018434,0,1,0.8029659668993325,0.4384769804791089,True
MACS0416,A8,final_convergence,0.3644889864202237,-0.43847698047910877,0.5060794411241794,0.34410369953523967,0.19100770749018434,0,0,-0.8029659668993325,0.5060794411241794,False
MACS0416,A8,final_shear,0.12184251279945961,0.17602623206711793,0.1223755195524775,-0.0067227435498722725,0.23991638185522834,0,0,0.05418371926765832,0.23991638185522834,False
MACS1149,C10,native_response_rx,-0.00682602257489561,0.3599881465996384,-0.3563480097543231,-0.021029497453635915,0.024956616107882298,0,1,0.366814169174534,0.3599881465996384,True
MACS1149,C10,longitudinal_amplitude,-0.04858248010827505,-0.13137988516817772,0.021370402566145624,-0.038147950104573065,-0.004951748120310717,0,0,-0.08279740505990267,0.021370402566145624,False
MACS1149,C10,transverse_amplitude,0.36379855807694994,0.38071953438455985,0.3939961393550311,0.36158883185693014,0.40218188458642246,0,0,0.016920976307609914,0.40218188458642246,False
MACS1149,C10,divergence_native,-0.008551553539840877,0.07645098683068992,-0.08730159653834663,0.017054890718568586,-0.033741264347622556,0,1,0.08500254037053079,0.07645098683068992,True
MACS1149,C10,curl_native,-0.016867064067352115,-0.042726169323740196,-0.04300923646286072,-0.0037570021739340054,-0.04256672603663227,0,0,-0.02585910525638808,-0.0037570021739340054,False
MACS1149,C10,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
MACS1149,C10,accumulated_displacement_x,0.08743547265969437,0.040748529951266696,0.09281662061467283,0.05830439002518845,0.06540017412442467,0,0,-0.04668694270842767,0.09281662061467283,False
MACS1149,C10,jacobian_trace,-0.21088311696503095,0.24221932525207904,-0.3824518923896579,-0.2599158675485254,-0.10551245262960106,0,1,0.45310244221711,0.24221932525207904,True
MACS1149,C10,final_convergence,0.21088311696503098,-0.24221932525207904,0.38245189238965793,0.2599158675485254,0.10551245262960103,0,0,-0.45310244221711005,0.38245189238965793,False
