cluster_id,model,channel_id,quantity,value,sign,reciprocal,nearest_target,log_distance,relative_distance_to_alpha,relative_distance_to_3alpha,relative_distance_to_6alpha,alpha_input_dependency
Abell2744,A8,CH3,irrotational_to_solenoidal,0.04185813416801614,+,23.89021918621737,6alpha,0.01953671424496711,0.7586145361386765,0.2814932814190141,0.01953671424496711,indirect
Abell2744,A8,CH4,channel_fraction_CH4,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH4,channel_fraction_CH1_longitudinal,0.027569392575417836,+,36.27210854444602,3alpha,0.10014061330753243,0.5772618680271948,0.10014061330753243,0.20088938235644876,indirect
Abell2744,A8,CH4,channel_fraction_CH2_transverse,0.9716243832308955,+,1.029204306992326,6alpha,1.346181825087669,2.124333075471313,1.6472118207516502,1.346181825087669,indirect
Abell2744,A8,CH4,channel_fraction_CH3_irrotational,0.03928774890056228,+,25.45322722691521,6alpha,0.047059434513910266,0.7310918158697334,0.2539705611500709,0.047059434513910266,indirect
Abell2744,A8,CH4,channel_fraction_CH4_solenoidal,0.9385929325675034,+,1.0654246002732182,6alpha,1.3311606997871621,2.109311950170806,1.6321906954511431,1.3311606997871621,indirect
Abell2744,A8,CH4,longitudinal_to_transverse,0.028374537579782293,+,35.24286509298146,3alpha,0.1126422082759686,0.5897634629956311,0.1126422082759686,0.18838778738801257,indirect
Abell2744,A8,CH4,irrotational_to_solenoidal,0.04185813416801614,+,23.89021918621737,6alpha,0.01953671424496711,0.7586145361386765,0.2814932814190141,0.01953671424496711,indirect
MACS0416,C10,CH0,channel_fraction_CH0,1.0,+,1.0,6alpha,1.358683420056105,2.136834670439749,1.6597134157200863,1.358683420056105,indirect
MACS0416,C10,CH0,channel_fraction_CH1_longitudinal,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH0,channel_fraction_CH2_transverse,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH0,channel_fraction_CH3_irrotational,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH0,channel_fraction_CH4_solenoidal,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
MACS0416,C10,CH0,longitudinal_to_transverse,0.07021986810508682,+,14.240983741289009,6alpha,0.20514342944509606,0.9832946798287396,0.5061734251090773,0.20514342944509606,indirect
MACS0416,C10,CH0,irrotational_to_solenoidal,0.06326775721654102,+,15.805839245690148,6alpha,0.1598658594505418,0.9380171098341855,0.460895855114523,0.1598658594505418,indirect
MACS0416,C10,CH1,channel_fraction_CH1,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH1,channel_fraction_CH1_longitudinal,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH1,channel_fraction_CH2_transverse,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH1,channel_fraction_CH3_irrotational,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH1,channel_fraction_CH4_solenoidal,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
