cluster_id,model,channel_id,channel_name,observable,pearson_vs_gr,spearman_vs_gr,ssim_vs_gr,normalized_rms_difference,amplitude_ratio,sign_agreement
Abell2744,A8,CH2,Transverse (local-gradient),gamma2_gr,-0.19753300986534603,-0.16547307588745686,0.0002830298283172899,0.15674819793836126,48.08311272545753,0.4722222222222222
Abell2744,A8,CH2,Transverse (local-gradient),gamma_mag_gr,0.3260855129137137,0.3983322884390485,0.007275806059768098,0.4298856779684814,26.04815888486,1.0
Abell2744,A8,CH2,Transverse (local-gradient),displacement_divergence,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
Abell2744,A8,CH2,Transverse (local-gradient),displacement_curl,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
Abell2744,A8,CH2,Transverse (local-gradient),jacobian_trace,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
Abell2744,A8,CH2,Transverse (local-gradient),jacobian_shear,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
Abell2744,A8,CH2,Transverse (local-gradient),image_rotation,nan,1.0,1.0,nan,nan,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),kappa_gr,0.24560856478519813,0.13221328703647886,0.006777705014199032,0.3398448978098286,1.821879873595302,0.3888888888888889
Abell2744,A8,CH3,Irrotational (Helmholtz),gamma1_gr,-0.008327038941614762,0.022149247073291297,6.556401305111252e-06,0.22910919402301422,58.412087949797595,0.53125
Abell2744,A8,CH3,Irrotational (Helmholtz),gamma2_gr,-0.1396320609585215,-0.19562430424106514,0.00031343532870392994,0.15516871867354842,202.67152898022945,0.4826388888888889
Abell2744,A8,CH3,Irrotational (Helmholtz),gamma_mag_gr,0.09846270127142477,0.12376873274417372,0.0007715445320166127,0.44566319965438145,79.85215742849176,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),displacement_divergence,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),displacement_curl,1.0,1.0,1.0000000000000004,0.0,1.0,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),jacobian_trace,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH3,Irrotational (Helmholtz),image_rotation,nan,1.0,1.0,nan,nan,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),kappa_gr,0.20700153317102057,0.1985464917674387,-0.0025291662241571384,0.5243752152620724,0.8965885070673713,0.4513888888888889
Abell2744,A8,CH4,Solenoidal (Helmholtz),gamma1_gr,-0.05046856345021156,-0.060819880319416146,5.0819818336886525e-06,0.22963346313409727,28.777636877354677,0.4201388888888889
Abell2744,A8,CH4,Solenoidal (Helmholtz),gamma2_gr,-0.17364771632312562,-0.1287651358965394,0.0001609840393824485,0.15644884791911218,51.46107333071933,0.4652777777777778
Abell2744,A8,CH4,Solenoidal (Helmholtz),gamma_mag_gr,0.25637188729024446,0.28267906875806276,0.003632320237723732,0.43584626364588525,35.65220065814223,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),displacement_divergence,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),displacement_curl,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),jacobian_trace,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
Abell2744,A8,CH4,Solenoidal (Helmholtz),image_rotation,nan,1.0,1.0,nan,nan,1.0
MACS0416,C10,CH0,Native full response,kappa_gr,0.2528293435030616,0.25735545294157836,-0.010797925543634694,0.7396923530669417,0.5806412040918671,0.4791666666666667
MACS0416,C10,CH0,Native full response,gamma1_gr,-0.1495998966650945,-0.13240669294977675,-0.00013501107942513749,0.19463822637324396,20.58765737310268,0.4861111111111111
MACS0416,C10,CH0,Native full response,gamma2_gr,-0.09356232944401541,-0.08863667418186787,1.9747201369365375e-05,0.18061785120116164,50.79213457745087,0.4444444444444444
MACS0416,C10,CH0,Native full response,gamma_mag_gr,0.1170678102526186,0.10647723938929948,0.004767480825182813,0.36965339531037295,26.799361770300987,1.0
MACS0416,C10,CH0,Native full response,displacement_divergence,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH0,Native full response,displacement_curl,1.0,1.0,0.9999999999999998,0.0,1.0,1.0
MACS0416,C10,CH0,Native full response,jacobian_trace,1.0,1.0,0.9999999999999999,0.0,1.0,1.0
MACS0416,C10,CH0,Native full response,jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH0,Native full response,image_rotation,nan,1.0,1.0,nan,nan,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),kappa_gr,-0.1143522771108951,-0.09457297983755912,0.0036973033387069816,0.5500762341032102,1.1121489627435202,0.4791666666666667
MACS0416,C10,CH1,Longitudinal (local-gradient),gamma1_gr,0.01698056115308676,0.029821684771469563,0.00015528810858385063,0.1921789192017306,39.43250738090675,0.5104166666666666
MACS0416,C10,CH1,Longitudinal (local-gradient),gamma2_gr,0.21369817525857696,0.22534350899613792,0.00018238977090952071,0.17966714920000412,229.18876717822906,0.5763888888888888
MACS0416,C10,CH1,Longitudinal (local-gradient),gamma_mag_gr,0.037709200754464337,0.0011689754811537241,0.0015724134810725975,0.3783246085368176,54.468837793728625,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),displacement_divergence,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),displacement_curl,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),jacobian_trace,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),jacobian_shear,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH1,Longitudinal (local-gradient),image_rotation,nan,1.0,1.0,nan,nan,1.0
MACS0416,C10,CH2,Transverse (local-gradient),kappa_gr,0.31937524452996374,0.32583169566248305,-0.0033257709480336984,0.7180964621779862,0.585494540983283,0.5
MACS0416,C10,CH2,Transverse (local-gradient),gamma1_gr,-0.1610022691362121,-0.16661442195242515,-9.981130848888141e-05,0.1948531249973545,20.750158270000565,0.4618055555555556
MACS0416,C10,CH2,Transverse (local-gradient),gamma2_gr,-0.14556486130448923,-0.15933884314127372,-3.838703466585263e-06,0.1808636632682478,52.592572599894254,0.4027777777777778
MACS0416,C10,CH2,Transverse (local-gradient),gamma_mag_gr,0.05775956814702056,0.0639319572879367,0.003801390981479949,0.3697328446632757,27.108244636465407,1.0
MACS0416,C10,CH2,Transverse (local-gradient),displacement_divergence,1.0,1.0,1.0000000000000004,0.0,1.0,1.0
MACS0416,C10,CH2,Transverse (local-gradient),displacement_curl,1.0,1.0,1.0,0.0,1.0,1.0
MACS0416,C10,CH2,Transverse (local-gradient),jacobian_trace,1.0,1.0,0.9999999999999999,0.0,1.0,1.0
MACS0416,C10,CH2,Transverse (local-gradient),jacobian_shear,1.0,1.0,1.0000000000000002,0.0,1.0,1.0
MACS0416,C10,CH2,Transverse (local-gradient),image_rotation,nan,1.0,1.0,nan,nan,1.0
MACS0416,C10,CH3,Irrotational (Helmholtz),kappa_gr,0.08818460499036973,0.07272363751813495,-0.004607819743875602,0.5011120588028456,1.2440820903863539,0.4409722222222222
MACS0416,C10,CH3,Irrotational (Helmholtz),gamma1_gr,0.09845717446313937,0.05766711275614981,0.00022992238938918311,0.19164112834493255,44.14435011838379,0.5243055555555556
