transport_number,transport_code,transport_name,invariant_name,invariant_kind,is_wrong,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,invariant_drift_relative,fast_slow_exchange,n_families,wave_modes,wave_families,propagating,standing,travelling,transverse,longitudinal,mixed,polarization_like,attenuation,dispersion,coherence_length,mode_stability,fast_to_slow_total,returned_total,stored_total,lost_total,fast_to_slow_net,wave_emerged
11,WR1,Wrong: Random Transport,no invariant,wrong,True,Abell2744,Abell 2744,0.03525230722780493,-0.10407317289258672,0.007396715052388067,-0.011804517257881533,0.47138752126296124,0.24976793545953022,-0.039284851734403485,0.195503921972482,0.25946511200163513,2.220446049250313e-16,-0.004931561408386911,-0.5104522333499807,0.7117204420855936,0.5,-0.000993434614019205,0.0,0.0,-0.5104522333499807,10,1,10,0.0,0.0,0.0,0.0012651967170262887,0.35366990837367807,0.0004474620069853658,0.9993338238075108,0.0,0.0,86.33333333333333,0.9872582268306508,37.33497958177054,1088.219733703332,2101.980083849641,-1051.0953297280794,1125.5547132851025,True
12,WR2,Wrong: Non-conserved Transport,deliberately violated,wrong,True,Abell2744,Abell 2744,0.013835887007964807,0.11024764828080191,-0.009910824154777514,0.12020468914413694,0.1584863468953303,0.05960478990532864,-0.05924354970767281,0.0042008306493245984,0.23969611700158566,2.220446049250313e-16,-0.0010110017625578334,0.9999318434354807,0.009871315812251567,0.0,0.002927125031809873,0.0,0.0,0.9999318434354807,20,2,20,0.0,0.0,0.0,0.31192870037570375,0.4973222788668219,0.15512909211481107,0.010521414394416229,0.0,0.0,3.0,0.9934646027227049,1.9851164624018587,0.0,-3.6693371785900197,1.684220716188161,1.9851164624018587,True
13,WR3,Wrong: Pure Diffusion,linear,wrong,True,Abell2744,Abell 2744,0.009120100874781364,0.11290270262437868,-0.008157045228251237,0.12313342209887218,0.15671294560971277,0.05913042817821523,-0.0586428325086597,0.0029398904321229647,0.23524526599794626,2.220446049250313e-16,-0.0003791278182459939,0.9999414442201858,0.011221877268434079,0.0,0.0035589989761217124,0.0,0.0,0.9999414442201858,20,2,20,0.0,0.0,0.0,0.7948645714044518,0.4961448930793554,0.39436799779202936,0.015023229626784373,0.0,0.0,3.0,0.9983409105966293,0.0,1.5898286248593045,3.908332934568122,-2.3185043097088176,1.5898286248593045,True
14,WR4,Wrong: Frozen Transport,frozen,wrong,True,Abell2744,Abell 2744,0.020996896360788192,0.10336835315121069,-0.01395368258885238,0.11411293989180593,0.1581537465285674,0.06000254733847354,-0.06085324831849596,0.0033208454796944797,0.23740337195340544,2.220446049250313e-16,-0.0014075281086127402,0.0,0.0,0.0,0.002530598685754966,0.0,0.0,0.0,20,1,20,0.0,0.0,0.0,0.0,0.4941830346902953,0.0,0.023087868035380765,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,0.0,True
1,T1,Scalar Density,density (no strict conservation),scalar,False,MACS0416,MACS J0416,-0.002946887921364814,0.1249028234788144,-0.00014962203111732204,0.1364030806667839,0.18481835256557375,0.062343115015924704,-0.10034952818071946,-0.011807431668746217,0.23372287198435515,2.220446049250313e-16,0.00026113575775362955,0.9992950630164824,0.0030138398149757058,0.0,-0.00025032199405782294,0.0,11.397457917374776,0.9992950630164824,20,2,20,0.0,0.0,0.0,0.6924864560809377,0.49646362631782104,0.3437943371619189,0.01628914385961644,0.0,0.0,7.0,0.9980887922650928,0.3202331880064815,0.0,-0.3641345221837575,0.04390133417727604,0.3202331880064815,True
2,T2,Conserved Phase,|z|² (rotation-invariant),phase,False,MACS0416,MACS J0416,0.006068694073372822,0.11927541409640219,-0.00028325538165823984,0.13007514931203917,0.18700078069046727,0.06365584242988563,-0.10026766206988544,-0.010688892504235622,0.23533046699594706,2.220446049250313e-16,0.0005611334976424554,0.9998697709402495,0.0047806699999311435,0.0,4.967574583100291e-05,1.0,22.79997600743779,0.9998697709402495,20,2,20,0.0,0.0,0.0,0.6334286326592775,0.49336092762203815,0.3125089377911404,0.03077319172192261,0.0,0.0,7.0,0.9645997497900244,0.3599215527596389,0.0,-0.3951903866213371,0.03526883386169821,0.3599215527596389,True
3,T3,Conserved Orientation,|v̂|² = 1 (orientation unit),orientation,False,MACS0416,MACS J0416,0.025658192708136938,0.11740167385562016,-0.002787622834571257,0.1302738653253097,0.17793403136300248,0.05976297351762682,-0.10381857648627034,-0.016975501549186464,0.23459773499052972,2.220446049250313e-16,0.0013515850909780428,0.9845859205466352,0.016170541292136693,0.0,0.0008401273391665903,0.0,4.724330507357305,0.9845859205466352,20,2,20,0.0,0.0,0.0,0.6283500784259268,0.4932397018099545,0.3099272053150657,0.03223598279325557,0.0,0.0,7.0,0.7806832150801628,1.0616839540709702,0.0,-1.3151456938967332,0.25346173982576303,1.0616839540709702,True
4,T4,Conserved Action,A = ∑K/2·u² + V,action,False,MACS0416,MACS J0416,-0.0029468879213649327,0.12490282347881453,-0.00014962203111731993,0.13640308066678403,0.18481835256557377,0.06234311501592471,-0.10034952818071946,-0.011807431668746208,0.23132618702948093,2.220446049250313e-16,0.0002611357577536296,0.9987564631731513,0.0032570585236893473,0.0,-0.0002503219940578229,0.0,6.082060539222691e-16,0.9987564631731513,20,2,20,0.0,0.0,0.0,0.6000094854549181,0.49649393733554215,0.29790107187218495,0.016148846112312376,0.0,0.0,7.0,0.9817301567500701,0.02998909841603492,0.0047546372786877455,0.21782510887914341,-0.2430595700164906,0.034743735694722666,True
5,T5,Conserved Internal Energy,E_fast + E_slow,energy,False,MACS0416,MACS J0416,0.001891775433600409,0.12625397723340265,-0.00018817831931121977,0.13720940066826492,0.18500289272227555,0.06282909838799865,-0.1001358801412062,-0.012143467022932073,0.23822236305568367,2.220446049250313e-16,-0.00012333213068355456,0.9999173154229377,0.00393169104530354,0.0,-0.000634789882495007,0.0,6.218202562270193e-16,0.9999173154229377,20,2,20,0.0,0.0,0.0,0.35100765053158794,0.4954228331297086,0.17389720467656197,0.02099454810262469,0.0,0.0,7.0,0.9757880839417741,0.12466104003014156,0.0,0.0,-0.12466104003014156,0.12466104003014156,True
6,T6,Conserved Information,H = -∑p·log(p),information,False,MACS0416,MACS J0416,0.002791700252454653,0.12523233082544596,-0.00018330781506447656,0.13634084145961284,0.18527403428348463,0.06279354385931678,-0.10005258793147281,-0.011581821743094474,0.23536003602202982,2.220446049250313e-16,-0.0001760345856120346,0.9998441174420291,0.004614846067352694,0.0,-0.0006874923374234871,0.0,245.1342859703658,0.9998441174420291,20,2,20,0.0,0.0,0.0,0.31100722295471317,0.49559334907852315,0.15413311121173723,0.020150809865294383,0.0,0.0,7.0,0.9664170847830755,0.21772616145787005,0.0044572672645522005,-0.27854000430331993,0.06527111011000208,0.22218342872242225,True
