decomposition_number,decomposition_code,decomposition_name,family,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,fast_slow_exchange_mean,fast_slow_exchange_var,state_persistence_mean,state_persistence_var,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating,standing,transverse,longitudinal,polarization_like,phase_velocity,group_velocity,attenuation,dispersion,coherence_length,mode_stability,wave_modes,wave_emerged
13,D13,Neighbour interaction equally on both,neighbour_assignment,Abell2744,Abell 2744,0.01701783103303101,0.10867407315260962,-0.011627164800366421,0.11877313868290915,0.15904177762339844,0.05979371218268944,-0.06004962461686615,0.0045118053885329955,0.2386892349459231,2.220446049250313e-16,-0.0016615449499195255,0.9984078633956507,0.0017671222353049672,0.0,0.002276581844448181,0.0,0.001922420629139472,0.23339479644366962,0.999994646763839,2.5521740074799693e-06,10.0,3.0,4.0,0.0,0.0,0.8227461966548568,0.4970871766121972,0.011513133435617329,0.0,0.0,0.0,0.0,3.0,0.9730201741007606,2,True
14,D14,Layer update order reversed,ordering,Abell2744,Abell 2744,0.014143196965253747,0.1101327335976664,-0.009997621959158359,0.12011165799970172,0.15847613531746504,0.05959582280327845,-0.05923200089272873,0.004194670530612839,0.23666253604460508,2.220446049250313e-16,-0.0010151876439965226,0.999393874329634,0.003317906630727115,0.0,0.0029229391503711837,0.0,0.0017723913872747233,0.2803461301264047,0.9999920222850983,4.001257764171135e-06,11.0,3.0,4.0,0.0,0.0,0.6274939268271771,0.49739369998083194,0.010227680767744607,0.0,0.0,0.0,0.0,3.0,0.9963849398198551,2,True
15,D15,Timescales forced equal,timescale,Abell2744,Abell 2744,0.014338899039626792,0.10909930636831087,-0.010095494989365397,0.11923340804754196,0.15814937170370788,0.05959289734163178,-0.059218956476673176,0.003973347942433126,0.2360711720539257,2.220446049250313e-16,-0.0010085795693813384,0.99978341366407,0.003631981222959367,0.0,0.002929547224986368,0.0,0.001751117108943863,0.28940652131991407,0.9999914612529048,4.209814572409618e-06,10.0,3.0,5.0,0.0,0.0,0.6301163028353378,0.49742642122278696,0.010075149363091174,0.0,0.0,0.0,0.0,3.0,0.991636494378927,2,True
1,D1,Full A8 (control),control,MACS0416,MACS J0416,-0.002946887921364814,0.1249028234788144,-0.00014962203111732204,0.1364030806667839,0.18481835256557375,0.062343115015924704,-0.10034952818071946,-0.011807431668746217,0.23796113999560475,2.220446049250313e-16,0.00026113575775362955,0.9992950630164824,0.0030138398149757058,0.0,-0.00025032199405782294,0.0,0.001770353271900524,0.2810142426095623,0.9999877902308857,6.2613963763545e-06,11.0,7.0,3.0,0.0,0.0,0.6924864560809377,0.49646362631782104,0.01628914385961644,0.0,0.0,0.0,0.0,7.0,0.9980887922650928,2,True
2,D2,Fast removed (slow only),single_layer,MACS0416,MACS J0416,0.020210274709237364,0.11775267517195254,0.00026024921560753475,0.1274658464801936,0.18674038559070708,0.06489716900874332,-0.0987355056602914,-0.011401230766849223,0.23775922902859747,2.220446049250313e-16,-0.00016374852307458497,0.9999711137927736,0.0022152353164873726,0.0,-0.0006752062748860375,0.0,0.0,0.0,1.0,8.233634315563857e-17,10.0,7.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,7.0,0.9834396501854269,1,True
3,D3,Slow removed (fast only),single_layer,MACS0416,MACS J0416,-0.011189937957801762,0.11961069154240668,-1.614932257718673e-05,0.13267670892302566,0.1857155815945718,0.06100629798425814,-0.10117166162817172,-0.009880666797447082,0.2370096950326115,2.220446049250313e-16,-2.7697028629317046e-05,0.9999596389253291,0.007233923134068214,0.0,-0.0005391547804407695,0.0,0.0,0.0,1.0,1.2899625854847775e-16,9.0,7.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,7.0,0.9697077068527519,1,True
4,D4,Fast frozen (slow evolves),frozen,MACS0416,MACS J0416,-0.007193869003281781,0.12825825603291344,-6.413485448008273e-05,0.14018503434266125,0.1841486090700769,0.061576357108825,-0.10024287548145061,-0.011944628551712416,0.2378023889614269,2.220446049250313e-16,-0.00013659448322774132,0.9999169295434551,0.003367262567948381,0.0,-0.0006480522350391938,0.0,0.002322066577347873,0.1092046218702437,0.9999940745036946,3.1921067905877906e-06,8.0,7.0,5.0,0.0,0.0,0.0,0.49479336413041886,0.024475553233833658,0.0,0.0,0.0,0.0,7.0,0.9450981777175065,1,True
5,D5,Slow frozen (fast evolves),frozen,MACS0416,MACS J0416,0.004102747535565616,0.12520074191008573,-0.00013726435041442123,0.13555608737249855,0.1848874926389181,0.06349067335140754,-0.09981429419774455,-0.012865175400754564,0.23617736995220184,2.220446049250313e-16,-0.0002797202700528927,0.9999567254422506,0.004272632922324999,0.0,-0.0007911780218643452,0.0,0.0022414536177534027,0.13778646856205368,0.9999918383108655,2.692607733621003e-06,9.0,7.0,5.0,0.0,0.0,0.0,0.494785362144733,0.023877855351306265,0.0,0.0,0.0,0.0,7.0,0.9639037492525464,1,True
6,D6,Fast->Slow coupling removed,coupling_direction,MACS0416,MACS J0416,-0.004379116194402854,0.12438242051621266,-0.0001312588672390632,0.13615650163770907,0.1848385038898144,0.06209366725733713,-0.1003689707589412,-0.011508929600502113,0.23636664100922644,2.220446049250313e-16,0.0003203521434388283,0.9987494465752629,0.002850711803350124,0.0,-0.0001911056083726242,0.0,0.001872804695384108,0.2456663531688449,0.9999894483748542,4.996219106377318e-06,11.0,7.0,3.0,0.0,0.0,0.6346099885607832,0.496175089558348,0.017665289121023497,0.0,0.0,0.0,0.0,7.0,0.9945006525523772,2,True
7,D7,Slow->Fast coupling removed,coupling_direction,MACS0416,MACS J0416,0.0039072855713991215,0.12592112385430654,-0.00018898834032085875,0.13660025894535718,0.18510196370251356,0.06314656139566073,-0.10002221827340789,-0.01227996053739165,0.23563214601017535,2.220446049250313e-16,-0.0005427648908407423,0.9999337978679669,0.004654188226174026,0.0,-0.0010542226426521948,0.0,0.0022364249121286733,0.1399887725145125,0.9999912275716601,2.7636376672989883e-06,9.0,7.0,5.0,0.0,0.0,0.214418828565852,0.4948005006455114,0.023803759121393542,0.0,0.0,0.0,0.0,7.0,0.9675290686964926,1,True
