decomposition_code,decomposition_name,quantity_name,value,log_abs,nearest_constant,nearest_constant_value,log10_distance_to_constant,factor_to_constant,is_alpha_or_3alpha
D3,Slow removed (fast only),corr_len/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),coherence/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),max_cons_err_Abell2744,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D3,Slow removed (fast only),corr_len/grid_n_MACS0416,0.02734375,-1.5631419252975927,3*alpha_fs,0.021892057707851405,0.0965714904224936,1.2490260333177081,True
D3,Slow removed (fast only),coherence/grid_n_MACS0416,0.02734375,-1.5631419252975927,3*alpha_fs,0.021892057707851405,0.0965714904224936,1.2490260333177081,True
D3,Slow removed (fast only),max_cons_err_MACS0416,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D3,Slow removed (fast only),corr_len/grid_n_MACS1149,0.015625,-1.806179973983887,2*alpha_fs,0.014594705138567603,0.029624700791880468,1.07059374284375,False
D3,Slow removed (fast only),coherence/grid_n_MACS1149,0.015625,-1.806179973983887,2*alpha_fs,0.014594705138567603,0.029624700791880468,1.07059374284375,False
D3,Slow removed (fast only),max_cons_err_MACS1149,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D3,Slow removed (fast only),corr_len/grid_n_AbellS1063,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),coherence/grid_n_AbellS1063,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),max_cons_err_AbellS1063,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D3,Slow removed (fast only),corr_len/grid_n_Abell370,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),coherence/grid_n_Abell370,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D3,Slow removed (fast only),max_cons_err_Abell370,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D4,Fast frozen (slow evolves),median_pearson_kappa_over_rms_kappa,0.7624259657132785,-0.1178023214804742,1/e,0.36787944117144233,0.3164921604227776,2.072488648143744,False
D4,Fast frozen (slow evolves),median_coherence_gain_over_memory,0.00013660583113650054,-3.8645307620281675,alpha_fs/2,0.0036486762846419008,1.4266660959244373,0.03743983310098109,False
D4,Fast frozen (slow evolves),median_wave_mode_stability,0.9450981777175065,-0.024523074214290855,1/e,0.36787944117144233,0.409771407688961,2.5690432025992553,False
D4,Fast frozen (slow evolves),median_wave_coherence_over_grid,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D4,Fast frozen (slow evolves),DT_over_relaxation_time,0.0125,-1.9030899869919435,2*alpha_fs,0.014594705138567603,0.06728531221617595,0.856474994275,False
D4,Fast frozen (slow evolves),K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
D4,Fast frozen (slow evolves),K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
D4,Fast frozen (slow evolves),omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
D4,Fast frozen (slow evolves),FAST_over_SLOW_timescale,0.8,-0.09691001300805639,1/e,0.36787944117144233,0.33738446889519547,2.1746254627672363,False
D4,Fast frozen (slow evolves),FAST_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
D4,Fast frozen (slow evolves),SLOW_times_DT,0.025,-1.6020599913279623,3*alpha_fs,0.021892057707851405,0.057653424392123995,1.1419666590333333,True
D4,Fast frozen (slow evolves),corr_len/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D4,Fast frozen (slow evolves),coherence/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
D4,Fast frozen (slow evolves),max_cons_err_Abell2744,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
D4,Fast frozen (slow evolves),corr_len/grid_n_MACS0416,0.02734375,-1.5631419252975927,3*alpha_fs,0.021892057707851405,0.0965714904224936,1.2490260333177081,True
D4,Fast frozen (slow evolves),coherence/grid_n_MACS0416,0.02734375,-1.5631419252975927,3*alpha_fs,0.021892057707851405,0.0965714904224936,1.2490260333177081,True
D4,Fast frozen (slow evolves),max_cons_err_MACS0416,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
