cluster_id,lane,depth,depth_profile,orientation_rule,metric,raw_value,reciprocal,d_alpha,d_3alpha,d_6alpha,d_inv_alpha,nearest_target,log_distance,input_dependency
MACS1149,L1,9,gaussian,O3,kappa_sign_agreement,0.4270833333333333,2.3414634146341466,1.767347294119916,1.2902260394002534,0.9891960437362722,1.767347294119916,6alpha,0.9891960437362722,False
MACS1149,L1,9,gaussian,O3,kappa_rms_x,0.08586934120134214,11.645600001230358,1.0706728013981028,0.5935515466784403,0.29252155101445915,1.0706728013981028,6alpha,0.29252155101445915,True
MACS1149,L1,9,gaussian,O3,kappa_rms_y,0.04676667627607923,21.38274685369274,0.8067711759853904,0.329649921265728,0.028619925601746823,0.8067711759853904,6alpha,0.028619925601746823,True
MACS1149,L1,9,gaussian,O3,gamma_mag_pearson,0.15293366355291071,6.538782742584521,1.3213377626937723,0.8442165079741097,0.5431865123101286,1.3213377626937723,6alpha,0.5431865123101286,True
MACS1149,L1,9,gaussian,O3,gamma_mag_spearman,0.176578594134928,5.663200598572416,1.3837727252161645,0.9066514704965021,0.6056214748325208,1.3837727252161645,6alpha,0.6056214748325208,False
MACS1149,L1,9,gaussian,O3,gamma_mag_ssim,0.0026121205344852394,382.83072576398786,0.44617211627802983,0.9232933709976923,1.2243233666616735,0.44617211627802983,alpha,0.44617211627802983,False
MACS1149,L1,9,gaussian,O3,gamma_mag_mean_difference,-0.9440240296569029,-1.0592950693886902,2.1118177196261367,1.6346964649064741,1.3336664692424929,2.1118177196261367,6alpha,1.3336664692424929,False
MACS1149,L1,9,gaussian,O3,gamma_mag_rms_difference,1.1446163705628456,0.8736551614304338,2.1954946234346835,1.718373368715021,1.41734337305104,2.1954946234346835,6alpha,1.41734337305104,True
MACS1149,L1,9,gaussian,O3,gamma_mag_normalized_rms_difference,0.37174952480621765,2.6899832636538576,1.7070850924913885,1.2299638377717261,0.9289338421077449,1.7070850924913885,6alpha,0.9289338421077449,True
MACS1149,L1,9,gaussian,O3,gamma_mag_rms_amplitude_ratio,25.074797366385162,0.03988068120305461,3.536072102540326,3.0589508478206637,2.7579208521566825,3.536072102540326,1/alpha,0.7375972383391716,True
MACS1149,L1,9,gaussian,O3,gamma_mag_variance_ratio,633.0600583858053,0.0015796289574007065,4.938279583914071,4.461158329194409,4.1601283335304275,4.938279583914071,1/alpha,0.6646102430345735,True
MACS1149,L1,9,gaussian,O3,gamma_mag_sign_agreement,1.0,1.0,2.136834670439749,1.6597134157200863,1.358683420056105,2.136834670439749,6alpha,1.358683420056105,False
MACS1149,L1,9,gaussian,O3,gamma_mag_rms_x,0.047023993032190736,21.265739796181073,0.8091541748164374,0.33203292009677493,0.031002924432793715,0.8091541748164374,6alpha,0.031002924432793715,True
MACS1149,L1,9,gaussian,O3,gamma_mag_rms_y,1.1791170966404905,0.8480921893586089,2.2083916069170146,1.731270352197352,1.430240356533371,2.2083916069170146,6alpha,1.430240356533371,True
MACS1149,L1,9,gaussian,O3,gamma1_pearson,-0.2660623499882612,-3.7585175055550715,1.5618180930963563,1.084696838376694,0.7836668427127127,1.5618180930963563,6alpha,0.7836668427127127,True
MACS1149,L1,9,gaussian,O3,gamma1_spearman,-0.2447378520992328,-4.0860046430191534,1.525535814644433,1.0484145599247707,0.7473845642607895,1.525535814644433,6alpha,0.7473845642607895,False
MACS1149,L1,9,gaussian,O3,gamma1_ssim,0.001694235289261344,590.2367908037036,0.6341916061322721,1.1113128608519345,1.4123428565159157,0.6341916061322721,alpha,0.6341916061322721,False
MACS1149,L1,9,gaussian,O3,gamma1_mean_difference,0.39644447702313623,2.5224213173781727,1.7350170423936095,1.2578957876739472,0.9568657920099659,1.7350170423936095,6alpha,0.9568657920099659,False
MACS1149,L1,9,gaussian,O3,gamma1_rms_difference,0.6216091345070897,1.6087279682480191,1.9303520582095628,1.4532308034899002,1.1522008078259192,1.9303520582095628,6alpha,1.1522008078259192,True
MACS1149,L1,9,gaussian,O3,gamma1_normalized_rms_difference,0.26561599497081795,3.764833515051929,1.5610888944429797,1.0839676397233171,0.782937644059336,1.5610888944429797,6alpha,0.782937644059336,True
MACS1149,L1,9,gaussian,O3,gamma1_rms_amplitude_ratio,14.131601790029986,0.07076338654727109,3.2870260615271243,2.809904806807462,2.508874811143481,3.2870260615271243,1/alpha,0.9866432793523733,True
MACS1149,L1,9,gaussian,O3,gamma1_variance_ratio,123.33495500393936,0.008108001498586185,4.227920850148964,3.750799595429301,3.4497695997653204,4.227920850148964,1/alpha,0.045748490730533754,True
