family_code,family_name,is_wrong,quantity_name,value,log_abs,nearest_constant,nearest_constant_value,log10_distance_to_constant,factor_to_constant,is_alpha_or_3alpha
E3,Orientation Alignment,False,median_coherence_gain_over_memory,0.011426879204330578,-1.9420723636030226,2*alpha_fs,0.014594705138567603,0.10626768882725496,0.7829469040888117,False
E3,Orientation Alignment,False,median_correlation_length_over_grid,0.03125,-1.505149978319906,3*alpha_fs,0.021892057707851405,0.1545634374001804,1.4274583237916665,True
E3,Orientation Alignment,False,median_relaxation_time_over_steps,0.4,-0.3979400086720376,1/e,0.36787944117144233,0.03635447323121425,1.0873127313836182,False
E3,Orientation Alignment,False,DT_over_relaxation_time,0.0125,-1.9030899869919435,2*alpha_fs,0.014594705138567603,0.06728531221617595,0.856474994275,False
E3,Orientation Alignment,False,K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
E3,Orientation Alignment,False,K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
E3,Orientation Alignment,False,gamma_over_omega,2.5,0.3979400086720376,1/e,0.36787944117144233,0.8322344905752894,6.7957045711476125,False
E3,Orientation Alignment,False,gamma_times_DT,0.05,-1.3010299956639813,3*alpha_fs,0.021892057707851405,0.3586834200561052,2.2839333180666666,True
E3,Orientation Alignment,False,omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
E3,Orientation Alignment,False,K_over_gamma,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E3,Orientation Alignment,False,ST_over_grid,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E3,Orientation Alignment,False,median_activity_over_DT,37.64632641383301,1.5757226034838572,1/e,0.36787944117144233,2.010017085387109,102.33332499896004,False
E3,Orientation Alignment,False,corr_len/grid_n_Abell2744,0.1171875,-0.9311187105921871,1/pi,0.3183098861837907,0.4339688378980533,0.36815538909255385,False
E3,Orientation Alignment,False,max_cons_err_Abell2744,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E3,Orientation Alignment,False,corr_len/grid_n_MACS0416,0.01953125,-1.7092699609758308,3*alpha_fs,0.021892057707851405,0.04955654525574438,0.8921614523697916,True
E3,Orientation Alignment,False,max_cons_err_MACS0416,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E3,Orientation Alignment,False,corr_len/grid_n_MACS1149,0.03125,-1.505149978319906,3*alpha_fs,0.021892057707851405,0.1545634374001804,1.4274583237916665,True
E3,Orientation Alignment,False,max_cons_err_MACS1149,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E3,Orientation Alignment,False,corr_len/grid_n_AbellS1063,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
E3,Orientation Alignment,False,max_cons_err_AbellS1063,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E3,Orientation Alignment,False,corr_len/grid_n_Abell370,0.04296875,-1.3668472801536244,3*alpha_fs,0.021892057707851405,0.2928661355664618,1.9627551952135414,True
E3,Orientation Alignment,False,max_cons_err_Abell370,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E4,Coupled Oscillator,False,median_pearson_kappa_over_rms_kappa,0.03528298925699523,-1.4524346275418492,3*alpha_fs,0.021892057707851405,0.20727878817823722,1.6116798945007933,True
E4,Coupled Oscillator,False,median_coherence_gain_over_memory,0.0025903924139169567,-2.586634440440157,alpha_fs/2,0.0036486762846419008,0.14876977433642682,0.7099540249214492,False
E4,Coupled Oscillator,False,median_correlation_length_over_grid,0.01953125,-1.7092699609758308,3*alpha_fs,0.021892057707851405,0.04955654525574438,0.8921614523697916,True
E4,Coupled Oscillator,False,median_relaxation_time_over_steps,0.35,-0.4559319556497244,1/e,0.36787944117144233,0.02163747374647257,0.9513986399606658,False
E4,Coupled Oscillator,False,DT_over_relaxation_time,0.014285714285714287,-1.8450980400142567,2*alpha_fs,0.014594705138567603,0.009293365238489153,0.9788285648857143,False
E4,Coupled Oscillator,False,K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
E4,Coupled Oscillator,False,K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
E4,Coupled Oscillator,False,gamma_over_omega,2.5,0.3979400086720376,1/e,0.36787944117144233,0.8322344905752894,6.7957045711476125,False
E4,Coupled Oscillator,False,gamma_times_DT,0.05,-1.3010299956639813,3*alpha_fs,0.021892057707851405,0.3586834200561052,2.2839333180666666,True
E4,Coupled Oscillator,False,omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
E4,Coupled Oscillator,False,K_over_gamma,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E4,Coupled Oscillator,False,ST_over_grid,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E4,Coupled Oscillator,False,median_activity_over_DT,20.778681801983197,1.3176179924856626,1/e,0.36787944117144233,1.7519124743889143,56.48231316166357,False
E4,Coupled Oscillator,False,corr_len/grid_n_Abell2744,0.01953125,-1.7092699609758308,3*alpha_fs,0.021892057707851405,0.04955654525574438,0.8921614523697916,True
E4,Coupled Oscillator,False,max_cons_err_Abell2744,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E4,Coupled Oscillator,False,corr_len/grid_n_MACS0416,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
E4,Coupled Oscillator,False,max_cons_err_MACS0416,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E4,Coupled Oscillator,False,corr_len/grid_n_MACS1149,0.07421875,-1.1294863643590205,3*alpha_fs,0.021892057707851405,0.5302270513610657,3.390213519005208,True
E4,Coupled Oscillator,False,max_cons_err_MACS1149,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E4,Coupled Oscillator,False,corr_len/grid_n_AbellS1063,0.03125,-1.505149978319906,3*alpha_fs,0.021892057707851405,0.1545634374001804,1.4274583237916665,True
E4,Coupled Oscillator,False,max_cons_err_AbellS1063,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E4,Coupled Oscillator,False,corr_len/grid_n_Abell370,0.01953125,-1.7092699609758308,3*alpha_fs,0.021892057707851405,0.04955654525574438,0.8921614523697916,True
