family_number,family_code,family_name,cluster_id,cluster_label,coherence_initial,emergent_coherence_index,coherence_gain,emergent_memory_index,evolution_activity,coherence_emerged,memory_emerged,constitutive_nonadditivity_index,nonlinear_synergy_emerged
7,F7,Variational Constitutive Law,MACS0416,MACS J0416,0.8593717975187566,0.9064416813561154,0.04706988383735877,0.9999563737169868,0.060959151837199146,True,True,0.0,False
1,F1,Instantaneous Constitutive Response,MACS1149,MACS J1149,0.876631592386703,0.876631592386703,0.0,0.0,0.0,False,False,0.0,False
2,F2,Relaxation Constitutive Law,MACS1149,MACS J1149,0.876631592386703,0.876631664105157,7.171845406439559e-08,1.0,0.04868046683978433,False,True,0.0,False
3,F3,Local Constitutive Evolution,MACS1149,MACS J1149,0.876631592386703,0.953418482794253,0.07678689040755005,0.9982232430356526,0.0039753709784519165,True,True,0.0,False
4,F4,Constitutive Energy Functional,MACS1149,MACS J1149,0.876631592386703,0.9440092687512966,0.06737767636459369,0.955188520979787,0.002360666433454484,True,True,0.0,False
5,F5,Gradient-Driven Constitutive Evolution,MACS1149,MACS J1149,0.876631592386703,0.890104626273095,0.013473033886391983,0.9983658171965509,0.0002723027186544313,True,True,0.0,False
6,F6,Relaxation + Neighbour Evolution,MACS1149,MACS J1149,0.876631592386703,0.9348753908538993,0.058243798467196295,0.9999534536909543,0.04842710536522551,True,True,0.0028526521770527048,True
7,F7,Variational Constitutive Law,MACS1149,MACS J1149,0.876631592386703,0.9327251489998767,0.05609355661317372,0.9999515413639848,0.045864988865306676,True,True,0.0,False
1,F1,Instantaneous Constitutive Response,AbellS1063,Abell S1063,0.8984406755367481,0.8984406755367481,0.0,0.0,0.0,False,False,0.0,False
2,F2,Relaxation Constitutive Law,AbellS1063,Abell S1063,0.8984406755367481,0.8984407374570252,6.19202771279248e-08,1.0,0.06790217685098289,False,True,0.0,False
3,F3,Local Constitutive Evolution,AbellS1063,Abell S1063,0.8984406755367481,0.9571622380164327,0.05872156247968463,0.9985003979474444,0.00433859180038254,True,True,0.0,False
4,F4,Constitutive Energy Functional,AbellS1063,Abell S1063,0.8984406755367481,0.9497284419412266,0.05128776640447852,0.966475741462012,0.0025798375308942042,True,True,0.0,False
5,F5,Gradient-Driven Constitutive Evolution,AbellS1063,Abell S1063,0.8984406755367481,0.9061573383304296,0.007716662793681439,0.998298856791534,0.00027421343012831874,True,True,0.0,False
6,F6,Relaxation + Neighbour Evolution,AbellS1063,Abell S1063,0.8984406755367481,0.9416590646451897,0.04321838910844156,0.9999721922491924,0.06763196624283788,True,True,0.003138054752440797,True
7,F7,Variational Constitutive Law,AbellS1063,Abell S1063,0.8984406755367481,0.9397591439699908,0.04131846843324272,0.9999382903280197,0.06379883126398264,True,True,0.0,False
1,F1,Instantaneous Constitutive Response,Abell370,Abell 370,0.8302991575515157,0.8302991575515157,0.0,0.0,0.0,False,False,0.0,False
2,F2,Relaxation Constitutive Law,Abell370,Abell 370,0.8302991575515157,0.8302988600967205,-2.9745479523946017e-07,0.9999999999999999,0.09186437907313849,False,True,0.0,False
3,F3,Local Constitutive Evolution,Abell370,Abell 370,0.8302991575515157,0.9375734467819665,0.10727428923045079,0.9977673024102952,0.007897891538489531,True,True,0.0,False
4,F4,Constitutive Energy Functional,Abell370,Abell 370,0.8302991575515157,0.9211034139840983,0.09080425643258261,0.8656880788882191,0.004688753115413495,True,False,0.0,False
5,F5,Gradient-Driven Constitutive Evolution,Abell370,Abell 370,0.8302991575515157,0.8409218737132756,0.010622716161759915,0.9982379403198773,0.0006486036479061072,True,True,0.0,False
6,F6,Relaxation + Neighbour Evolution,Abell370,Abell 370,0.8302991575515157,0.9049742705179945,0.07467511296647877,0.9999453595289508,0.09140821583609408,True,True,0.005563465576422878,True
7,F7,Variational Constitutive Law,Abell370,Abell 370,0.8302991575515157,0.9000430123850754,0.06974385483355972,0.9999446857163368,0.08637117574785136,True,True,0.0,False
