candidate_id,candidate_label,family,cluster_id,cluster_label,metric_group,cmp_finite_pixels,cmp_rms_error,cmp_mean_abs_error,cmp_median_abs_error,cmp_max_abs_error,cmp_mean_relative_error_percent,cmp_median_relative_error_percent,cmp_pearson_correlation,cmp_predicted_min,cmp_predicted_max,cmp_predicted_mean,cmp_observed_min,cmp_observed_max,cmp_observed_mean,cmp_predicted_dynamic_range,cmp_observed_dynamic_range,cmp_predicted_peak_index,cmp_observed_peak_index,cmp_peak_location_distance_pixels,cmp_ssim,pipeline_runtime_seconds,max_conservation_error
3,raw kappa,direct,MACS1149,MACS J1149,comparison_gamma,4096,0.534647018442551,0.16309501586632985,0.09425466773765453,4.698484146739937,151.32103183480564,100.0,0.03128645949341372,0.0,4.739978529018239,0.060287072428562676,0.003379303263500333,1.5389487716346064,0.10618757622865749,4.739978529018239,1.535569468371106,"[33, 17]","[32, 33]",16.0312195418814,0.0641988343758848,0.009495345992036164,2.220446049250313e-16
3,raw kappa,direct,AbellS1063,Abell S1063,comparison_kappa,25,0.5454082918500109,0.539740184038759,0.545792244374752,0.722885474562645,1661.0089090055544,802.2219894889561,nan,-0.5,-0.5,-0.5,-0.08533000200986862,0.22288547456264496,0.03974018403875906,0.0,0.3082154765725136,"[20, 0]","[33, 31]",33.61547262794322,-0.005570453705823736,0.00948150607291609,2.220446049250313e-16
3,raw kappa,direct,AbellS1063,Abell S1063,comparison_gamma1,4096,0.517062977474252,0.0958982820344829,0.03112164824934939,4.83604014413682,284.97735479845454,100.0,-0.01606907097072285,-4.73992814601989,4.73992814601989,1.3552527156068805e-20,-0.25548869371414185,0.30773400255702005,-0.0028520251225155105,9.47985629203978,0.563222696271162,"[24, 17]","[33, 32]",17.4928556845359,0.06707133759499015,0.00948150607291609,2.220446049250313e-16
3,raw kappa,direct,AbellS1063,Abell S1063,comparison_gamma2,4096,0.15906655620506532,0.04638775373546253,0.03326393706753605,4.806303184273544,112.822051539526,100.0,-0.008851106755246432,-4.7392329296335305,4.739734955460628,0.0,-0.20429740846157074,0.31596895910444694,0.013527305282462342,9.478967885094159,0.5202663675660177,"[19, 18]","[30, 33]",18.601075237738275,0.4107319291334599,0.00948150607291609,2.220446049250313e-16
3,raw kappa,direct,AbellS1063,Abell S1063,comparison_gamma,4096,0.5321009194136099,0.12543311817538627,0.06311127723800765,4.728281929336592,193.55206006712768,100.0,0.013561747185436492,0.0,4.739965840448742,0.06035827837029888,0.0,0.3626261450130663,0.0672595968597144,4.739965840448742,0.3626261450130663,"[24, 17]","[33, 32]",17.4928556845359,0.06841063194871802,0.00948150607291609,2.220446049250313e-16
3,raw kappa,direct,Abell370,Abell 370,comparison_kappa,25,0.5612759749148191,0.5589670360285329,0.5511489696800709,0.7142609357833862,8293.128235899705,1077.5367971777828,nan,-0.5,-0.5,-0.5,-0.010179196913091037,0.21426093578338623,0.058967036028533,0.0,0.22444013269647728,"[20, 0]","[32, 32]",34.17601498127012,-0.018607017276945234,0.009477465064264834,2.220446049250313e-16
3,raw kappa,direct,Abell370,Abell 370,comparison_gamma1,4096,0.5301566891995414,0.11738735929352673,0.04963335953652859,4.927832371553113,582.4984064728064,100.0,-0.009592622875208132,-4.73987482118577,4.73987482118577,-2.0328790734103208e-19,-0.4928266704082489,0.3075925409793854,-0.011296329791970056,9.47974964237154,0.8004192113876343,"[40, 17]","[29, 0]",20.248456731316587,0.061257261596742545,0.009477465064264834,2.220446049250313e-16
3,raw kappa,direct,Abell370,Abell 370,comparison_gamma2,4096,0.16755646614830044,0.06397064215143669,0.04855253236989244,4.7993497645164656,115.56188808242757,100.0,-0.017243845292350037,-4.739740230601161,4.739844865640333,4.336808689942018e-19,-0.32441097497940063,0.2763311266899109,0.0182991790713386,9.479585096241493,0.6007421016693115,"[19, 18]","[31, 0]",21.633307652783937,0.3629284345281954,0.009477465064264834,2.220446049250313e-16
3,raw kappa,direct,Abell370,Abell 370,comparison_gamma,4096,0.5446642964551237,0.15694014331509387,0.08936316147446632,4.703545411823113,173.46529799118917,100.0,-0.0077725941292673085,0.0,4.7398901399017594,0.06270592974731723,0.0014949318720027804,0.5116289854049683,0.09705151540649613,4.7398901399017594,0.5101340535329655,"[33, 17]","[29, 0]",17.46424919657298,0.057987015395614724,0.009477465064264834,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell2744,Abell 2744,comparison_kappa,25,0.5567551329841356,0.5512439729208275,0.5431494581557457,0.7083742767572403,1837.9839668269924,921.5588760259058,nan,-0.5,-0.5,-0.5,-0.13970666074208693,0.2083742767572403,0.051243972920827476,0.0,0.3480809374993272,"[20, 0]","[33, 32]",34.539832078341085,-0.007204360225312317,0.009484275011345744,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell2744,Abell 2744,comparison_gamma1,4096,0.5163590752937695,0.10357636964623437,0.04028659461746183,4.858804385606225,551.3439743538127,100.0,0.0074420578801913505,-4.739875187411046,4.739875187411046,3.3881317890172014e-21,-0.3198103600506129,0.3131638814442414,-0.013846408134187567,9.479750374822093,0.6329742414948543,"[20, 17]","[32, 33]",20.0,0.06637110775332532,0.009484275011345744,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell2744,Abell 2744,comparison_gamma2,4096,0.15975134250631834,0.04884111848458449,0.03761414775536172,4.8115208158463885,169.35722769494578,100.0,-0.024799993946452673,-4.739134673259727,4.739875187411046,-4.336808689942018e-19,-0.3903151304543438,0.1792275607585907,-0.005067061197881819,9.479009860670773,0.5695426912129344,"[19, 18]","[33, 33]",20.518284528683193,0.43232675533997095,0.009484275011345744,2.220446049250313e-16
