cluster_id,transform,E_cov,delta_f_irr,delta_f_sol,delta_r_kappa_los,f_irr_3d_rc,f_sol_3d_rc,response_energy_rc,div_rms_rc,curl_rms_rc,f_z_rc,helicity_total_rc,passes_covariance,passes_f_irr,passes_f_sol,passes_r_kappa
MACS1149,RC2,0.8545877243002693,0.0,0.0,nan,0.5130057246236769,0.4869942753763231,6.667714415370117e-05,3.210039245189763e-05,4.730152923413246e-05,0.38735929122572077,-1.6917546201156876e-07,False,True,True,False
MACS1149,RC3,0.8567513751637383,0.0,0.0,nan,0.5130057246236769,0.4869942753763231,6.667714415370117e-05,3.210039245189763e-05,4.730152923413246e-05,0.3961400216548369,-1.6917546201156874e-07,False,True,True,False
MACS1149,RC4,0.9699149975393268,0.0061140598414064495,0.0061140598414064495,nan,0.5068916647822704,0.49310833521772957,6.749307940081426e-05,3.2034798670798013e-05,4.7753912869282636e-05,0.39417773788854965,1.6472674180805646e-07,False,True,True,False
MACS1149,RC5,1.4212459676995848,0.0014233172271919114,0.0014233172271919114,nan,0.511582407396485,0.488417592603515,6.804680217294228e-05,3.254784687704963e-05,4.778933042740763e-05,0.21603383439756893,-7.129827606363129e-08,False,True,True,False
MACS1149,RC6,0.9972717268905309,0.0014233172271919114,0.0014233172271919114,nan,0.511582407396485,0.488417592603515,6.804680217294227e-05,3.2547846877049626e-05,4.778933042740763e-05,0.21603383439756893,7.129827606363129e-08,False,True,True,False
AbellS1063,RC0,0.0,0.0,0.0,nan,0.5161704500258545,0.4838295499741455,6.831660535582503e-05,3.270590533977905e-05,4.759261953889856e-05,0.2289106626324399,-2.082371668666599e-08,True,True,True,False
AbellS1063,RC1,0.9148049471659958,0.0,0.0,nan,0.5161704500258545,0.4838295499741455,6.831660535582503e-05,3.270590533977905e-05,4.7592619538898564e-05,0.2289106626324399,2.0823716686666e-08,False,True,True,False
AbellS1063,RC2,0.8598485657507992,0.0,0.0,nan,0.5161704500258545,0.4838295499741455,6.831660535582503e-05,3.270590533977905e-05,4.7592619538898564e-05,0.38993743130679265,2.0823716686665937e-08,False,True,True,False
AbellS1063,RC3,0.8521426178927948,0.0,0.0,nan,0.5161704500258545,0.4838295499741455,6.831660535582503e-05,3.270590533977905e-05,4.7592619538898564e-05,0.3811519060607675,2.0823716686665884e-08,False,True,True,False
AbellS1063,RC4,0.9641447411732675,0.0004582498454506201,0.0004582498454506756,nan,0.5157122001804039,0.4842877998195962,6.883564928611825e-05,3.271970322343635e-05,4.7801852496518905e-05,0.38115372022287025,8.359750483993112e-08,False,True,True,False
AbellS1063,RC5,1.4179057526794385,0.000882343810240438,0.0008823438102404935,nan,0.5170527938360949,0.482947206163905,6.885740471886494e-05,3.3019437270609136e-05,4.771984045732068e-05,0.2270443538366248,-1.6150402440027325e-07,False,True,True,False
AbellS1063,RC6,0.985096477353201,0.000882343810240438,0.0008823438102404935,nan,0.5170527938360949,0.482947206163905,6.885740471886496e-05,3.3019437270609136e-05,4.771984045732068e-05,0.2270443538366248,1.6150402440027325e-07,False,True,True,False
Abell370,RC0,0.0,0.0,0.0,nan,0.5178973458879766,0.4821026541120234,7.310396672367269e-05,3.400863764273049e-05,4.870463424477874e-05,0.21320143497521235,3.451526439330819e-08,True,True,True,False
Abell370,RC1,0.9412446466341677,0.0,5.551115123125783e-17,nan,0.5178973458879766,0.48210265411202335,7.310396672367269e-05,3.400863764273049e-05,4.870463424477874e-05,0.21320143497521235,-3.451526439330806e-08,False,True,True,False
Abell370,RC2,0.8774588573833704,0.0,5.551115123125783e-17,nan,0.5178973458879766,0.48210265411202335,7.310396672367269e-05,3.400863764273049e-05,4.870463424477874e-05,0.3932996344788051,-3.4515264393308036e-08,False,True,True,False
Abell370,RC3,0.8744630174982568,0.0,5.551115123125783e-17,nan,0.5178973458879766,0.48210265411202335,7.310396672367269e-05,3.400863764273049e-05,4.870463424477874e-05,0.39349893054598245,-3.4515264393308016e-08,False,True,True,False
Abell370,RC4,1.0013537247637592,0.004580966935730513,0.004580966935730457,nan,0.5133163789522461,0.48668362104775387,7.373725018066369e-05,3.3993733986538e-05,4.91896770785861e-05,0.3946052592455217,-1.78137431268041e-08,False,True,True,False
Abell370,RC5,1.414269975523199,0.00338376783231753,0.003383767832317419,nan,0.5145135780556591,0.48548642194434083,7.397300930855508e-05,3.4195770319577765e-05,4.905741904810112e-05,0.2130624415445309,-1.6371149870415544e-07,False,True,True,False
Abell370,RC6,1.024073707870034,0.00338376783231753,0.00338376783231753,nan,0.5145135780556591,0.48548642194434094,7.397300930855508e-05,3.4195770319577765e-05,4.905741904810111e-05,0.2130624415445309,1.6371149870415536e-07,False,True,True,False
