cluster_id,candidate_id,mu_bin,n_pairs,A_rms,mT_mean
MACS0416,PL4_PM2_PS2,0.20-0.40,44526,1.4012728408349068e-05,0.8441010226022072
MACS0416,PL4_PM2_PS2,0.40-0.60,42182,1.551567761933078e-05,0.7782804212586275
MACS0416,PL4_PM2_PS2,0.60-0.80,40968,1.7455102655003e-05,0.6685964199806397
MACS0416,PL4_PM2_PS2,0.80-1.00,46368,2.037276926561117e-05,0.4779978313044956
MACS0416,PL5_PM1_PS1,0.00-0.20,45546,1.4564013470941166e-05,0.9933555128603555
MACS0416,PL5_PM1_PS1,0.20-0.40,44498,1.5084214430339467e-05,0.9521084673031877
MACS0416,PL5_PM1_PS1,0.40-0.60,43334,1.5851373642787918e-05,0.8637013509652365
MACS0416,PL5_PM1_PS1,0.60-0.80,42606,1.7072263970814017e-05,0.708229516351509
MACS0416,PL5_PM1_PS1,0.80-1.00,45200,1.874891639009439e-05,0.4038071420252652
MACS0416,PL5_PM1_PS2,0.00-0.20,45546,1.4564013470941166e-05,0.8563891124796884
MACS0416,PL5_PM1_PS2,0.20-0.40,44498,1.5084214430339467e-05,0.8271166396801882
MACS0416,PL5_PM1_PS2,0.40-0.60,43334,1.5851373642787918e-05,0.7683448876719833
MACS0416,PL5_PM1_PS2,0.60-0.80,42606,1.7072263970814017e-05,0.6676053588609696
MACS0416,PL5_PM1_PS2,0.80-1.00,45200,1.874891639009439e-05,0.5026096941366742
MACS0416,PL5_PM2_PS1,0.00-0.20,45546,1.4564013470941166e-05,0.9933555128603555
MACS0416,PL5_PM2_PS1,0.20-0.40,44498,1.5084214430339467e-05,0.9521084673031877
MACS0416,PL5_PM2_PS1,0.40-0.60,43334,1.5851373642787918e-05,0.8637013509652365
MACS0416,PL5_PM2_PS1,0.60-0.80,42606,1.7072263970814017e-05,0.708229516351509
MACS0416,PL5_PM2_PS1,0.80-1.00,45200,1.874891639009439e-05,0.4038071420252652
MACS0416,PL5_PM2_PS2,0.00-0.20,45546,1.4564013470941166e-05,0.8563891124796884
MACS0416,PL5_PM2_PS2,0.20-0.40,44498,1.5084214430339467e-05,0.8271166396801882
MACS0416,PL5_PM2_PS2,0.40-0.60,43334,1.5851373642787918e-05,0.7683448876719833
MACS0416,PL5_PM2_PS2,0.60-0.80,42606,1.7072263970814017e-05,0.6676053588609696
MACS0416,PL5_PM2_PS2,0.80-1.00,45200,1.874891639009439e-05,0.5026096941366742
MACS0416,PL6_PM1_PS1,0.00-0.20,46142,1.315550561978697e-05,0.993376581362393
MACS0416,PL6_PM1_PS1,0.20-0.40,44472,1.406410944761295e-05,0.9520209643459744
MACS0416,PL6_PM1_PS1,0.40-0.60,42618,1.5337026664656007e-05,0.8638996556738693
MACS0416,PL6_PM1_PS1,0.60-0.80,42594,1.7504560884042204e-05,0.7093095793894374
MACS0416,PL6_PM1_PS1,0.80-1.00,45358,2.053269893227722e-05,0.399924651394274
MACS0416,PL6_PM1_PS2,0.00-0.20,46142,1.315550561978697e-05,0.863836869447497
MACS0416,PL6_PM1_PS2,0.20-0.40,44472,1.406410944761295e-05,0.8329195410963154
MACS0416,PL6_PM1_PS2,0.40-0.60,42618,1.5337026664656007e-05,0.7737173774918681
MACS0416,PL6_PM1_PS2,0.60-0.80,42594,1.7504560884042204e-05,0.6694870299890586
MACS0416,PL6_PM1_PS2,0.80-1.00,45358,2.053269893227722e-05,0.4924398987354456
MACS0416,PL6_PM2_PS1,0.00-0.20,46142,1.315550561978697e-05,0.993376581362393
MACS0416,PL6_PM2_PS1,0.20-0.40,44472,1.406410944761295e-05,0.9520209643459744
MACS0416,PL6_PM2_PS1,0.40-0.60,42618,1.5337026664656007e-05,0.8638996556738693
MACS0416,PL6_PM2_PS1,0.60-0.80,42594,1.7504560884042204e-05,0.7093095793894374
MACS0416,PL6_PM2_PS1,0.80-1.00,45358,2.053269893227722e-05,0.399924651394274
MACS0416,PL6_PM2_PS2,0.00-0.20,46142,1.315550561978697e-05,0.863836869447497
MACS0416,PL6_PM2_PS2,0.20-0.40,44472,1.406410944761295e-05,0.8329195410963154
MACS0416,PL6_PM2_PS2,0.40-0.60,42618,1.5337026664656007e-05,0.7737173774918681
MACS0416,PL6_PM2_PS2,0.60-0.80,42594,1.7504560884042204e-05,0.6694870299890586
MACS0416,PL6_PM2_PS2,0.80-1.00,45358,2.053269893227722e-05,0.4924398987354456
MACS1149,PL1_PM1_PS1,0.00-0.20,97120,1.4718551248605613e-05,0.9970371811087824
MACS1149,PL1_PM1_PS1,0.20-0.40,27468,1.5433101449554855e-05,0.9540154578394293
MACS1149,PL1_PM1_PS1,0.40-0.60,20800,1.6042604516980924e-05,0.8645070667670762
MACS1149,PL1_PM1_PS1,0.60-0.80,20072,1.6884349447664876e-05,0.7067266533929861
MACS1149,PL1_PM1_PS1,0.80-1.00,48596,1.602901829894071e-05,0.28378286314544077
MACS1149,PL1_PM1_PS2,0.00-0.20,97120,1.4718551248605613e-05,0.9372208155095123
MACS1149,PL1_PM1_PS2,0.20-0.40,27468,1.5433101449554855e-05,0.8962126618710058
MACS1149,PL1_PM1_PS2,0.40-0.60,20800,1.6042604516980924e-05,0.8087459002077572
MACS1149,PL1_PM1_PS2,0.60-0.80,20072,1.6884349447664876e-05,0.6789229403428096
MACS1149,PL1_PM1_PS2,0.80-1.00,48596,1.602901829894071e-05,0.3443505448146651
MACS1149,PL1_PM2_PS1,0.00-0.20,97120,1.4718551248605613e-05,0.9970371811087824
MACS1149,PL1_PM2_PS1,0.20-0.40,27468,1.5433101449554855e-05,0.9540154578394293
MACS1149,PL1_PM2_PS1,0.40-0.60,20800,1.6042604516980924e-05,0.8645070667670762
MACS1149,PL1_PM2_PS1,0.60-0.80,20072,1.6884349447664876e-05,0.7067266533929861
MACS1149,PL1_PM2_PS1,0.80-1.00,48596,1.602901829894071e-05,0.28378286314544077
MACS1149,PL1_PM2_PS2,0.00-0.20,97120,1.4718551248605613e-05,0.9372208155095123
MACS1149,PL1_PM2_PS2,0.20-0.40,27468,1.5433101449554855e-05,0.8962126618710058
MACS1149,PL1_PM2_PS2,0.40-0.60,20800,1.6042604516980924e-05,0.8087459002077572
MACS1149,PL1_PM2_PS2,0.60-0.80,20072,1.6884349447664876e-05,0.6789229403428096
MACS1149,PL1_PM2_PS2,0.80-1.00,48596,1.602901829894071e-05,0.3443505448146651
MACS1149,PL2_PM1_PS1,0.00-0.20,45874,1.292412840618544e-05,0.9933290143768236
MACS1149,PL2_PM1_PS1,0.20-0.40,44896,1.3552370082210804e-05,0.9521783152758114
MACS1149,PL2_PM1_PS1,0.40-0.60,42542,1.4663236837989387e-05,0.8634118670083388
MACS1149,PL2_PM1_PS1,0.60-0.80,42298,1.657800411846542e-05,0.7089484952259144
MACS1149,PL2_PM1_PS1,0.80-1.00,45574,1.8798011140819717e-05,0.40276846828186386
MACS1149,PL2_PM1_PS2,0.00-0.20,45874,1.292412840618544e-05,0.8603566539538294
MACS1149,PL2_PM1_PS2,0.20-0.40,44896,1.3552370082210804e-05,0.83106188987998
MACS1149,PL2_PM1_PS2,0.40-0.60,42542,1.4663236837989387e-05,0.771876189758346
MACS1149,PL2_PM1_PS2,0.60-0.80,42298,1.657800411846542e-05,0.6679089474089679
MACS1149,PL2_PM1_PS2,0.80-1.00,45574,1.8798011140819717e-05,0.49673529815859496
MACS1149,PL2_PM2_PS1,0.00-0.20,45874,1.292412840618544e-05,0.9933290143768236
MACS1149,PL2_PM2_PS1,0.20-0.40,44896,1.3552370082210804e-05,0.9521783152758114
MACS1149,PL2_PM2_PS1,0.40-0.60,42542,1.4663236837989387e-05,0.8634118670083388
MACS1149,PL2_PM2_PS1,0.60-0.80,42298,1.657800411846542e-05,0.7089484952259144
MACS1149,PL2_PM2_PS1,0.80-1.00,45574,1.8798011140819717e-05,0.40276846828186386
MACS1149,PL2_PM2_PS2,0.00-0.20,45874,1.292412840618544e-05,0.8603566539538294
MACS1149,PL2_PM2_PS2,0.20-0.40,44896,1.3552370082210804e-05,0.83106188987998
MACS1149,PL2_PM2_PS2,0.40-0.60,42542,1.4663236837989387e-05,0.771876189758346
MACS1149,PL2_PM2_PS2,0.60-0.80,42298,1.657800411846542e-05,0.6679089474089679
MACS1149,PL2_PM2_PS2,0.80-1.00,45574,1.8798011140819717e-05,0.49673529815859496
