cluster_id,candidate_id,mu_bin,n_pairs,A_rms,mT_mean
Abell370,PL5_PM1_PS1,0.00-0.20,45608,1.5235651691209109e-05,0.993318312603133
Abell370,PL5_PM1_PS1,0.20-0.40,44416,1.5807752857408007e-05,0.9520488481181295
Abell370,PL5_PM1_PS1,0.40-0.60,43278,1.6522002518040926e-05,0.8637348446466839
Abell370,PL5_PM1_PS1,0.60-0.80,42632,1.7863328591520396e-05,0.708570740255103
Abell370,PL5_PM1_PS1,0.80-1.00,45250,1.9347055077166836e-05,0.404279198835254
Abell370,PL5_PM1_PS2,0.00-0.20,45608,1.5235651691209109e-05,0.8562141643239991
Abell370,PL5_PM1_PS2,0.20-0.40,44416,1.5807752857408007e-05,0.8270538343083287
Abell370,PL5_PM1_PS2,0.40-0.60,43278,1.6522002518040926e-05,0.7684115247852319
Abell370,PL5_PM1_PS2,0.60-0.80,42632,1.7863328591520396e-05,0.6678682684279056
Abell370,PL5_PM1_PS2,0.80-1.00,45250,1.9347055077166836e-05,0.502805313900273
Abell370,PL5_PM2_PS1,0.00-0.20,45608,1.5235651691209109e-05,0.993318312603133
Abell370,PL5_PM2_PS1,0.20-0.40,44416,1.5807752857408007e-05,0.9520488481181295
Abell370,PL5_PM2_PS1,0.40-0.60,43278,1.6522002518040926e-05,0.8637348446466839
Abell370,PL5_PM2_PS1,0.60-0.80,42632,1.7863328591520396e-05,0.708570740255103
Abell370,PL5_PM2_PS1,0.80-1.00,45250,1.9347055077166836e-05,0.404279198835254
Abell370,PL5_PM2_PS2,0.00-0.20,45608,1.5235651691209109e-05,0.8562141643239991
Abell370,PL5_PM2_PS2,0.20-0.40,44416,1.5807752857408007e-05,0.8270538343083287
Abell370,PL5_PM2_PS2,0.40-0.60,43278,1.6522002518040926e-05,0.7684115247852319
Abell370,PL5_PM2_PS2,0.60-0.80,42632,1.7863328591520396e-05,0.6678682684279056
Abell370,PL5_PM2_PS2,0.80-1.00,45250,1.9347055077166836e-05,0.502805313900273
Abell370,PL6_PM1_PS1,0.00-0.20,46600,1.3422381073687562e-05,0.9933015498628612
Abell370,PL6_PM1_PS1,0.20-0.40,44676,1.4289294138083032e-05,0.9524869378206472
Abell370,PL6_PM1_PS1,0.40-0.60,42258,1.5981445616734097e-05,0.8637641286222191
Abell370,PL6_PM1_PS1,0.60-0.80,41662,1.84066822266479e-05,0.7090718537169499
Abell370,PL6_PM1_PS1,0.80-1.00,45988,2.167975749103553e-05,0.39929864530995
Abell370,PL6_PM1_PS2,0.00-0.20,46600,1.3422381073687562e-05,0.8672571539667616
Abell370,PL6_PM1_PS2,0.20-0.40,44676,1.4289294138083032e-05,0.8390200420061219
Abell370,PL6_PM1_PS2,0.40-0.60,42258,1.5981445616734097e-05,0.7745167497574125
Abell370,PL6_PM1_PS2,0.60-0.80,41662,1.84066822266479e-05,0.6688389900966392
Abell370,PL6_PM1_PS2,0.80-1.00,45988,2.167975749103553e-05,0.48590647834552886
Abell370,PL6_PM2_PS1,0.00-0.20,46600,1.3422381073687562e-05,0.9933015498628612
Abell370,PL6_PM2_PS1,0.20-0.40,44676,1.4289294138083032e-05,0.9524869378206472
Abell370,PL6_PM2_PS1,0.40-0.60,42258,1.5981445616734097e-05,0.8637641286222191
Abell370,PL6_PM2_PS1,0.60-0.80,41662,1.84066822266479e-05,0.7090718537169499
Abell370,PL6_PM2_PS1,0.80-1.00,45988,2.167975749103553e-05,0.39929864530995
Abell370,PL6_PM2_PS2,0.00-0.20,46600,1.3422381073687562e-05,0.8672571539667616
Abell370,PL6_PM2_PS2,0.20-0.40,44676,1.4289294138083032e-05,0.8390200420061219
Abell370,PL6_PM2_PS2,0.40-0.60,42258,1.5981445616734097e-05,0.7745167497574125
Abell370,PL6_PM2_PS2,0.60-0.80,41662,1.84066822266479e-05,0.6688389900966392
Abell370,PL6_PM2_PS2,0.80-1.00,45988,2.167975749103553e-05,0.48590647834552886
