cluster_id,candidate_id,pearson_kappa_los_vs_gr,pearson_kappa_central_vs_gr,delta_r_vs_o3_los,delta_r_vs_o4_los,delta_r_vs_2d_midpoint,f_irr_3d,delta_f_irr_vs_o3,pearson_o3_los,pearson_o4_los,pearson_2d_midpoint
Abell2744,PL5_PM2_PS2,-0.1909300547640455,-0.19344183985809854,-0.1398230382496593,-0.4959738270011668,-0.5835414526603087,0.5259736377043586,0.3059736377043586,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL6_PM1_PS1,-0.18354307615430288,-0.14342246463165412,-0.13243605963991667,-0.4885868483914242,-0.576154474050566,0.49916433390609877,0.27916433390609874,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL6_PM1_PS2,-0.18150250152919084,-0.2057505949460171,-0.13039548501480464,-0.48654627376631215,-0.574113899425454,0.48866323602668726,0.2686632360266873,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL6_PM2_PS1,-0.18064807029768276,-0.13436371539087616,-0.12954105378329656,-0.4856918425348041,-0.5732594681939458,0.5121600156244145,0.2921600156244145,-0.05110701651438619,0.3050437722371213,0.3926113978962631
Abell2744,PL6_PM2_PS2,-0.1545764705876881,-0.15505248888184994,-0.1034694540733019,-0.4596202428248094,-0.5471878684839512,0.5144026760848217,0.29440267608482174,-0.05110701651438619,0.3050437722371213,0.3926113978962631
MACS0416,PL1_PM1_PS1,-0.1517179948216542,-0.05706000140761036,-0.22296514241203047,-0.5237543424475208,-0.6233504608374125,0.4946553299206383,0.27465532992063835,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL1_PM1_PS2,-0.17771306859234481,-0.1417560167746151,-0.24896021618272107,-0.5497494162182115,-0.6493455346081032,0.5172394453686536,0.29723944536865365,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL1_PM2_PS1,-0.14586610664960284,-0.07335787747476001,-0.2171132542399791,-0.5179024542754694,-0.6174985726653612,0.532448650949357,0.31244865094935703,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL1_PM2_PS2,-0.15825706563840233,-0.10539726734919434,-0.2295042132287786,-0.5302934132642689,-0.6298895316541607,0.5517385572693274,0.33173855726932744,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL2_PM1_PS1,-0.1585923438676245,-0.13293703169382043,-0.22983949145800076,-0.5306286914934911,-0.6302248098833829,0.49196514174148,0.27196514174148,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL2_PM1_PS2,-0.18492893133757787,-0.13816430202577207,-0.25617607892795413,-0.5569652789634445,-0.6565613973533362,0.4837303838783684,0.26373038387836845,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL2_PM2_PS1,-0.15975229391982051,-0.13928885210933648,-0.23099944151019677,-0.5317886415456872,-0.6313847599355789,0.5062900093903374,0.28629000939033744,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL2_PM2_PS2,-0.16864530031169,-0.11024056181235184,-0.23989244790206626,-0.5406816479375567,-0.6402777663274484,0.5114213228915729,0.29142132289157296,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL3_PM1_PS1,-0.16782196845414196,-0.16027045320889063,-0.23906911604451822,-0.5398583160800086,-0.6394544344699004,0.49351787957053384,0.27351787957053386,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL3_PM1_PS2,-0.1878502005003291,-0.14016386169611297,-0.2590973480907054,-0.5598865481261958,-0.6594826665160874,0.48461265445360713,0.26461265445360715,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL3_PM2_PS1,-0.1705574858607388,-0.16439817345976954,-0.24180463345111505,-0.5425938334866054,-0.6421899518764972,0.5062167750446918,0.2862167750446918,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL3_PM2_PS2,-0.17291082689478865,-0.13179326058079244,-0.2441579744851649,-0.5449471745206553,-0.644543292910547,0.5111246520042899,0.29112465200428994,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL4_PM1_PS1,-0.15149831689155868,-0.10553746249688452,-0.22274546448193494,-0.5235346645174253,-0.623130782907317,0.4894784534626544,0.2694784534626544,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL4_PM1_PS2,-0.17886502177198652,-0.1316481501831722,-0.2501121693623628,-0.5509013693978532,-0.6504974877877449,0.485260083749555,0.265260083749555,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL4_PM2_PS1,-0.14395411498298955,-0.10067104221443178,-0.2152012625733658,-0.5159904626088562,-0.615586580998748,0.5068042451475642,0.2868042451475642,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL4_PM2_PS2,-0.15746069725769862,-0.08743601282232241,-0.22870784484807488,-0.5294970448835652,-0.629093163273457,0.5146589562366308,0.29465895623663085,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL5_PM1_PS1,-0.16531953408444092,-0.16981758000199412,-0.23656668167481718,-0.5373558817103076,-0.6369520001001993,0.4967931719403081,0.27679317194030806,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL5_PM1_PS2,-0.18307233538162,-0.1473546001837671,-0.25431948297199625,-0.5551086830074866,-0.6547048013973784,0.497747270206203,0.27774727020620305,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL5_PM2_PS1,-0.17242391673961943,-0.17485190089621364,-0.2436710643299957,-0.5444602643654861,-0.6440563827553778,0.5064819460476424,0.28648194604764243,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL5_PM2_PS2,-0.17854877068621547,-0.15289201263125968,-0.24979591827659173,-0.5505851183120821,-0.6501812367019738,0.520379179777518,0.30037917977751805,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL6_PM1_PS1,-0.1585923438676245,-0.13293703169382043,-0.22983949145800076,-0.5306286914934911,-0.6302248098833829,0.49196514174148,0.27196514174148,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL6_PM1_PS2,-0.18492893133757787,-0.13816430202577207,-0.25617607892795413,-0.5569652789634445,-0.6565613973533362,0.4837303838783684,0.26373038387836845,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL6_PM2_PS1,-0.15975229391982051,-0.13928885210933648,-0.23099944151019677,-0.5317886415456872,-0.6313847599355789,0.5062900093903374,0.28629000939033744,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS0416,PL6_PM2_PS2,-0.16864530031169,-0.11024056181235184,-0.23989244790206626,-0.5406816479375567,-0.6402777663274484,0.5114213228915729,0.29142132289157296,0.07124714759037626,0.3720363476258666,0.47163246601575837
MACS1149,PL1_PM1_PS1,-0.11467198511166403,-0.024273556335013245,-0.09485898638654387,-0.34002200775719743,-0.4336867435759703,0.490066316194395,0.27006631619439503,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL1_PM1_PS2,-0.12678238757352955,-0.04925155883888396,-0.1069693888484094,-0.35213241021906294,-0.4457971460378358,0.5130057246236769,0.2930057246236769,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL1_PM2_PS1,-0.11495433983028881,-0.0006715082573084724,-0.09514134110516866,-0.34030436247582224,-0.43396909829459507,0.530945676223354,0.310945676223354,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL1_PM2_PS2,-0.1210379779851737,-0.020335049824709427,-0.10122497926005354,-0.3463880006307071,-0.44005273644947995,0.5524123777175945,0.3324123777175946,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL2_PM1_PS1,-0.10680081272664438,-0.05391091760536028,-0.08698781400152422,-0.3321508353721778,-0.42581557119095065,0.491185048351771,0.27118504835177104,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL2_PM1_PS2,-0.12791744709352465,-0.054226924748739476,-0.1081044483684045,-0.3532674697390581,-0.4469322055578309,0.4847617762252337,0.26476177622523367,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL2_PM2_PS1,-0.11249426709510506,-0.06212009205319845,-0.0926812683699849,-0.33784428974063846,-0.43150902555941134,0.5015859328345131,0.28158593283451316,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL2_PM2_PS2,-0.11766460228780871,-0.05262792511787973,-0.09785160356268856,-0.3430146249333421,-0.436679360752115,0.5096519472579439,0.28965194725794396,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL3_PM1_PS1,-0.1074007518201479,-0.05960162169581364,-0.08758775309502774,-0.3327507744656813,-0.4264155102844542,0.4905867928666433,0.27058679286664333,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL3_PM1_PS2,-0.1267259737330174,-0.05410383257382353,-0.10691297500789723,-0.3520759963785508,-0.4457407321973237,0.4844178937543097,0.2644178937543097,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL3_PM2_PS1,-0.11166165600758068,-0.06153419340918496,-0.09184865728246053,-0.3370116786531141,-0.430676414471887,0.5006809557082265,0.2806809557082265,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL3_PM2_PS2,-0.11788581785693658,-0.05125553771994797,-0.09807281913181642,-0.34323584050247,-0.43690057632124285,0.5088311931672345,0.2888311931672345,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL4_PM1_PS1,-0.10263230730348621,-0.04280737668300779,-0.08281930857836606,-0.32798232994901966,-0.4216470657677925,0.49204046634598325,0.2720404663459832,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL4_PM1_PS2,-0.12708997178235726,-0.04986818179002319,-0.1072769730572371,-0.35243999442789065,-0.44610473024666353,0.48766667611583175,0.2676666761158317,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL4_PM2_PS1,-0.10872872072268237,-0.03133764345285462,-0.08891572199756222,-0.3340787433682158,-0.42774347918698863,0.5038000296419756,0.2838000296419756,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL4_PM2_PS2,-0.11451612464463508,-0.04335623757506105,-0.09470312591951492,-0.3398661472901685,-0.43353088310894133,0.5134848423022301,0.29348484230223015,-0.019812998725120157,0.22535002264553342,0.31901475846430627
MACS1149,PL5_PM1_PS1,-0.10138382592806817,-0.10414538373177269,-0.08157082720294802,-0.3267338485736016,-0.42039858439237443,0.4906502692959418,0.2706502692959418,-0.019812998725120157,0.22535002264553342,0.31901475846430627
