cluster_id,candidate_id,f_z,F_Dz,correlation_Dz_kappa_gr
MACS1149,PL5_PM2_PS1,0.28912815208673287,0.36407597156785965,-0.02683714659889727
MACS1149,PL5_PM2_PS2,0.27324745827504054,0.38885367419424155,-0.02508155284773634
MACS1149,PL6_PM1_PS1,0.29081355898441746,0.40022276093225473,-0.020746373797022908
MACS1149,PL6_PM1_PS2,0.2825255638196574,0.4408232551793899,-0.019836006574492197
MACS1149,PL6_PM2_PS1,0.28115941566855557,0.35998521678592005,-0.016255046084351396
MACS1149,PL6_PM2_PS2,0.2607963595062931,0.39368116809677095,-0.021823460138833642
AbellS1063,PL1_PM1_PS1,0.23489160347291754,0.3098723532030031,-0.007682745600562542
AbellS1063,PL1_PM1_PS2,0.2289106626324399,0.3141796993349729,-0.00829502183969628
AbellS1063,PL1_PM2_PS1,0.2515419637601037,0.31688919533730897,-0.010294307748538754
AbellS1063,PL1_PM2_PS2,0.24782134799057073,0.33322325960645455,-0.010003989929671005
AbellS1063,PL2_PM1_PS1,0.2915389568532943,0.40237494155874876,-0.01110143262076449
AbellS1063,PL2_PM1_PS2,0.28217988268915517,0.44135592998326006,-0.01404790221075739
AbellS1063,PL2_PM2_PS1,0.28095030288672224,0.3612235196663968,-0.0145886993647914
AbellS1063,PL2_PM2_PS2,0.26043011473613037,0.39486489350773996,-0.01855846521226532
AbellS1063,PL3_PM1_PS1,0.29533893840064734,0.40517341025183057,-0.004820583855400819
AbellS1063,PL3_PM1_PS2,0.28573119718848883,0.44225188365946383,-0.009989626583899167
AbellS1063,PL3_PM2_PS1,0.2854531726961127,0.364420293159893,-0.013029118297489685
AbellS1063,PL3_PM2_PS2,0.26474406929411437,0.39758554051244016,-0.020362179785168886
AbellS1063,PL4_PM1_PS1,0.28318875148111494,0.40069155523641264,-0.01087843708892361
AbellS1063,PL4_PM1_PS2,0.2764459250213051,0.4370059139990678,-0.012603250832574622
AbellS1063,PL4_PM2_PS1,0.2722932667923452,0.3549630552756058,-0.012466054279492928
AbellS1063,PL4_PM2_PS2,0.25300351326426435,0.38176070631007747,-0.016015527814182896
AbellS1063,PL5_PM1_PS1,0.3002210006185427,0.40488470941906746,-0.016739667357953694
AbellS1063,PL5_PM1_PS2,0.29100431610954647,0.4339164496846296,-0.007403010652810321
AbellS1063,PL5_PM2_PS1,0.28914201832674313,0.36462421038814063,-0.02248062894106765
AbellS1063,PL5_PM2_PS2,0.2742296151328158,0.38670713355270186,-0.010255709614482975
AbellS1063,PL6_PM1_PS1,0.2915389568532943,0.40237494155874876,-0.01110143262076449
AbellS1063,PL6_PM1_PS2,0.28217988268915517,0.44135592998326006,-0.01404790221075739
AbellS1063,PL6_PM2_PS1,0.28095030288672224,0.3612235196663968,-0.0145886993647914
AbellS1063,PL6_PM2_PS2,0.26043011473613037,0.39486489350773996,-0.01855846521226532
Abell370,PL1_PM1_PS1,0.2215893296691096,0.2395918140573322,-0.005365477219969841
Abell370,PL1_PM1_PS2,0.21320143497521235,0.24930073427541097,-0.007735610623959304
Abell370,PL1_PM2_PS1,0.23899618923216068,0.24093279149001115,-0.00043710090950951355
Abell370,PL1_PM2_PS2,0.22810706653185656,0.26176385192034685,-0.004436847154847479
Abell370,PL2_PM1_PS1,0.2845237456515226,0.34858831861339395,0.0021426693676961975
Abell370,PL2_PM1_PS2,0.27159178940797285,0.37249437618599207,-0.0012855133848609901
Abell370,PL2_PM2_PS1,0.27100504139118264,0.30500854880798683,0.006397820749639077
Abell370,PL2_PM2_PS2,0.249470941497854,0.3280493880328776,0.00216930940376022
Abell370,PL3_PM1_PS1,0.2902131759272423,0.34852813383710696,0.0007580506982077201
Abell370,PL3_PM1_PS2,0.2766805016880825,0.3723472366189829,-0.00041473374373353047
Abell370,PL3_PM2_PS1,0.27733665320820516,0.3083491440004436,0.0047397092443934325
Abell370,PL3_PM2_PS2,0.2554115399881205,0.33216449945537857,0.0017621201142506428
Abell370,PL4_PM1_PS1,0.27293143514973556,0.3418254077488371,-0.0009400974834405514
Abell370,PL4_PM1_PS2,0.2609007278225877,0.3656924743690214,-0.004571877258455223
Abell370,PL4_PM2_PS1,0.2599588608447704,0.29644618933905303,0.0011587764547003028
Abell370,PL4_PM2_PS2,0.2396464419797565,0.31265380595072384,-0.001524663683610158
Abell370,PL5_PM1_PS1,0.2989658308518068,0.3517513799712952,-0.000439443794368806
Abell370,PL5_PM1_PS2,0.29026967110727875,0.3587862192424599,0.0005071351684675853
Abell370,PL5_PM2_PS1,0.28862449540185037,0.3133816644567069,-0.002458640279343299
Abell370,PL5_PM2_PS2,0.2754577510812839,0.31570959701469076,-0.0009783423212942556
Abell370,PL6_PM1_PS1,0.2845237456515226,0.34858831861339395,0.0021426693676961975
Abell370,PL6_PM1_PS2,0.27159178940797285,0.37249437618599207,-0.0012855133848609901
Abell370,PL6_PM2_PS1,0.27100504139118264,0.30500854880798683,0.006397820749639077
Abell370,PL6_PM2_PS2,0.249470941497854,0.3280493880328776,0.00216930940376022
