cluster_id,candidate_id,D_rms,C_rms,Cx_rms,Cy_rms,Cz_rms
MACS0416,PL2_PM2_PS2,2.118378340400537e-05,3.478734562332242e-05,2.0089783240977488e-05,2.0416391085782362e-05,1.974160580802422e-05
MACS0416,PL3_PM1_PS1,3.452399371200059e-05,4.780200707716215e-05,2.7788836338648613e-05,2.838408613401103e-05,2.6592406996846017e-05
MACS0416,PL3_PM1_PS2,3.163868142788242e-05,4.936795307454792e-05,2.8661226214868895e-05,2.9223037929580163e-05,2.7599691244599044e-05
MACS0416,PL3_PM2_PS1,2.7600905563634133e-05,3.9118606553381124e-05,2.2730246992206436e-05,2.308393289536441e-05,2.1925630947223285e-05
MACS0416,PL3_PM2_PS2,2.1022750663006445e-05,3.468123533882117e-05,2.0061174117209444e-05,2.0375671522350344e-05,1.9625732793426738e-05
MACS0416,PL4_PM1_PS1,3.4321587731225876e-05,4.789204009340345e-05,2.7810673119496194e-05,2.8315489415965856e-05,2.6803862111326813e-05
MACS0416,PL4_PM1_PS2,3.201236617348169e-05,4.92092293000924e-05,2.852671752875791e-05,2.9017193665087968e-05,2.767267799014594e-05
MACS0416,PL4_PM2_PS1,2.7370027334782272e-05,3.912675093687243e-05,2.265142569028229e-05,2.300475910455436e-05,2.210422157903532e-05
MACS0416,PL4_PM2_PS2,2.177070969151022e-05,3.513983182249325e-05,2.0247026755012947e-05,2.0543944056945505e-05,2.0070178142706965e-05
MACS0416,PL5_PM1_PS1,3.465307698166119e-05,4.755026215283285e-05,2.7801096863854676e-05,2.8135160819025473e-05,2.6392028524864695e-05
MACS0416,PL5_PM1_PS2,3.1877687899597805e-05,4.8875723332421644e-05,2.849805108009998e-05,2.882594115127457e-05,2.7308653072729406e-05
MACS0416,PL5_PM2_PS1,2.7811924575958267e-05,3.9060278545053764e-05,2.2767617652953584e-05,2.30416578631307e-05,2.182711500277879e-05
MACS0416,PL5_PM2_PS2,2.1639234426596015e-05,3.4670568732605334e-05,2.0102546751700706e-05,2.036205523470092e-05,1.957862755550008e-05
MACS0416,PL6_PM1_PS1,3.4417792293724964e-05,4.77860531670319e-05,2.777665883026394e-05,2.8345652360011992e-05,2.6617439655137132e-05
MACS0416,PL6_PM1_PS2,3.171667711680562e-05,4.9358175748252645e-05,2.8625605064225795e-05,2.917929809928888e-05,2.7665372044040947e-05
MACS0416,PL6_PM2_PS1,2.752073737963253e-05,3.910699994154288e-05,2.2687637567371102e-05,2.306844626280929e-05,2.196532114628253e-05
MACS0416,PL6_PM2_PS2,2.118378340400537e-05,3.478734562332242e-05,2.0089783240977488e-05,2.0416391085782362e-05,1.974160580802422e-05
MACS1149,PL1_PM1_PS1,3.179423220036231e-05,4.6957266863124377e-05,2.738296531434797e-05,2.7344811299221463e-05,2.6597357328461504e-05
MACS1149,PL1_PM1_PS2,3.210039245189763e-05,4.730152923413246e-05,2.7541472344034707e-05,2.7478122450888385e-05,2.6904548975670314e-05
MACS1149,PL1_PM2_PS1,2.731372606013978e-05,3.963173351667182e-05,2.3017071498494347e-05,2.3033728239078698e-05,2.259061939341099e-05
MACS1149,PL1_PM2_PS2,2.6057784725463698e-05,3.793458181437832e-05,2.2076848993171877e-05,2.2034126670495635e-05,2.159033343496578e-05
MACS1149,PL2_PM1_PS1,3.362023083825478e-05,4.70211737279833e-05,2.750125485570436e-05,2.7834564068379626e-05,2.6075060944167607e-05
MACS1149,PL2_PM1_PS2,3.07394991780803e-05,4.8455203693638673e-05,2.8275968374662677e-05,2.8690180698791906e-05,2.693046432829853e-05
MACS1149,PL2_PM2_PS1,2.6897626901486306e-05,3.855924144262586e-05,2.2519176510032575e-05,2.2740699578700446e-05,2.1507263252492318e-05
MACS1149,PL2_PM2_PS2,2.0494426731783502e-05,3.419909976121903e-05,1.986364769350517e-05,2.0073704916370924e-05,1.9288864552289848e-05
MACS1149,PL3_PM1_PS1,3.3647524064337944e-05,4.7040653985425e-05,2.7540638156245377e-05,2.7876278998160226e-05,2.6024016725708838e-05
MACS1149,PL3_PM1_PS2,3.0628658716135395e-05,4.84903307316596e-05,2.8309813189711907e-05,2.871869269902481e-05,2.6927742966842283e-05
MACS1149,PL3_PM2_PS1,2.6912589301477675e-05,3.856943885788268e-05,2.2550575718952376e-05,2.2776735111148105e-05,2.145445143163394e-05
MACS1149,PL3_PM2_PS2,2.0356135601886158e-05,3.4142961101755194e-05,1.984957625413162e-05,2.008063883790181e-05,1.919645954828994e-05
MACS1149,PL4_PM1_PS1,3.360786108767896e-05,4.7062628279146574e-05,2.7490541989341912e-05,2.7846858597760927e-05,2.614791670305044e-05
MACS1149,PL4_PM1_PS2,3.1007298826070954e-05,4.829693518836473e-05,2.8177160842416844e-05,2.8556631160161464e-05,2.6891641307889138e-05
MACS1149,PL4_PM2_PS1,2.6863916462386977e-05,3.8575950362105814e-05,2.2486484146701002e-05,2.269547115130558e-05,2.161891686186134e-05
MACS1149,PL4_PM2_PS2,2.098069219367947e-05,3.442653099453343e-05,1.994037183034693e-05,2.014623004993479e-05,1.9537067905911108e-05
MACS1149,PL5_PM1_PS1,3.352749572545161e-05,4.686908221778678e-05,2.7468264468574473e-05,2.7783430174798203e-05,2.588988842664678e-05
MACS1149,PL5_PM1_PS2,3.052261180696903e-05,4.823017629297686e-05,2.8178502936595657e-05,2.8533697319447474e-05,2.6794588908696715e-05
MACS1149,PL5_PM2_PS1,2.6875179145084173e-05,3.853526965369805e-05,2.254231814698939e-05,2.2757872114013895e-05,2.14217216088092e-05
MACS1149,PL5_PM2_PS2,2.0507434938410613e-05,3.4149488763957775e-05,1.986287461130212e-05,2.011143371374616e-05,1.9162046576317527e-05
MACS1149,PL6_PM1_PS1,3.362023083825478e-05,4.70211737279833e-05,2.750125485570436e-05,2.7834564068379626e-05,2.6075060944167607e-05
MACS1149,PL6_PM1_PS2,3.07394991780803e-05,4.8455203693638673e-05,2.8275968374662677e-05,2.8690180698791906e-05,2.693046432829853e-05
MACS1149,PL6_PM2_PS1,2.6897626901486306e-05,3.855924144262586e-05,2.2519176510032575e-05,2.2740699578700446e-05,2.1507263252492318e-05
MACS1149,PL6_PM2_PS2,2.0494426731783502e-05,3.419909976121903e-05,1.986364769350517e-05,2.0073704916370924e-05,1.9288864552289848e-05
AbellS1063,PL1_PM1_PS1,3.219874083801635e-05,4.7264599639087726e-05,2.7264542099556432e-05,2.7701210746026673e-05,2.6892936737161725e-05
AbellS1063,PL1_PM1_PS2,3.270590533977905e-05,4.759261953889856e-05,2.747742291993793e-05,2.783011905894336e-05,2.7120714176036304e-05
AbellS1063,PL1_PM2_PS1,2.7804266694721693e-05,4.0093604660391015e-05,2.3108677392675707e-05,2.344452292385232e-05,2.2887562314452146e-05
AbellS1063,PL1_PM2_PS2,2.672220159441628e-05,3.8470722654462986e-05,2.219135357950249e-05,2.2535296762995254e-05,2.1902071310034793e-05
AbellS1063,PL2_PM1_PS1,3.3766408254394634e-05,4.73803194813377e-05,2.7592993932747517e-05,2.8095758456758412e-05,2.6346721175897305e-05
AbellS1063,PL2_PM1_PS2,3.096331717203098e-05,4.8862772343391866e-05,2.8477933386705486e-05,2.8906699778523326e-05,2.7220957716781846e-05
AbellS1063,PL2_PM2_PS1,2.689896567644474e-05,3.877593736502831e-05,2.2542285131816387e-05,2.2911728036774755e-05,2.1690353107807124e-05
AbellS1063,PL2_PM2_PS2,2.0639625599127342e-05,3.444407666566162e-05,1.9895099171335354e-05,2.0286330289854374e-05,1.946905877754864e-05
AbellS1063,PL3_PM1_PS1,3.380922338282432e-05,4.731315370145673e-05,2.7595661568101316e-05,2.8064544932780755e-05,2.6256338158860127e-05
AbellS1063,PL3_PM1_PS2,3.0875399669029586e-05,4.888486983862577e-05,2.8502168455822597e-05,2.8942760785043865e-05,2.7196938993111373e-05
