cluster_id,candidate_id,rx_proj_rms,ry_proj_rms,rx_central_rms,ry_central_rms
Abell2744,PL5_PM2_PS1,8.265649060518182e-05,8.157916555797946e-05,2.4602542722570568e-05,2.4360000273124744e-05
Abell2744,PL5_PM2_PS2,7.455042350164168e-05,7.331334373725752e-05,2.1846486380192548e-05,2.132184518104858e-05
Abell2744,PL6_PM1_PS1,9.869334825624255e-05,9.728606699110548e-05,2.856203948952664e-05,2.8920470747565038e-05
Abell2744,PL6_PM1_PS2,9.878217174544896e-05,9.717332947817613e-05,2.9373193478767053e-05,2.9335522298913357e-05
Abell2744,PL6_PM2_PS1,8.28983738143911e-05,8.115678098525277e-05,2.286372474604319e-05,2.2979943543518255e-05
Abell2744,PL6_PM2_PS2,7.157643615549012e-05,7.025417784492554e-05,1.9246583481624838e-05,1.9040098876924444e-05
MACS0416,PL1_PM1_PS1,9.403169821978671e-05,9.434470366923703e-05,2.7178276487084858e-05,2.8246681306091076e-05
MACS0416,PL1_PM1_PS2,9.654673827181972e-05,9.601533922167218e-05,2.8478712450199775e-05,2.88211774843881e-05
MACS0416,PL1_PM2_PS1,8.337210612779419e-05,8.376545966010552e-05,1.9892193407450224e-05,2.0701775184100853e-05
MACS0416,PL1_PM2_PS2,7.713013092425969e-05,7.801576924490554e-05,1.73807886456007e-05,1.823996834737654e-05
MACS0416,PL2_PM1_PS1,9.434303021891014e-05,9.413760267353269e-05,2.8197744052111635e-05,2.7795578694787735e-05
MACS0416,PL2_PM1_PS2,9.456542545498727e-05,9.330409738722013e-05,2.886074339920511e-05,2.818175193840002e-05
MACS0416,PL2_PM2_PS1,7.914769575972133e-05,7.829978676118176e-05,2.2451321396580325e-05,2.2201374724627436e-05
MACS0416,PL2_PM2_PS2,6.804870665188773e-05,6.728159760323118e-05,1.886858328563551e-05,1.8867210645193824e-05
MACS0416,PL3_PM1_PS1,9.436367623208426e-05,9.404533837640089e-05,2.8547691159407674e-05,2.791490581381119e-05
MACS0416,PL3_PM1_PS2,9.493116597589004e-05,9.368881841992771e-05,2.8982392956176663e-05,2.818321985284587e-05
MACS0416,PL3_PM2_PS1,7.907247529403445e-05,7.831384679064527e-05,2.2936272141387196e-05,2.2472447651059583e-05
MACS0416,PL3_PM2_PS2,6.809183855149999e-05,6.723042285953038e-05,1.9287326076666038e-05,1.9038945187280958e-05
MACS0416,PL4_PM1_PS1,9.433439579417339e-05,9.462140394531546e-05,2.7489568703236742e-05,2.771500020209355e-05
MACS0416,PL4_PM1_PS2,9.410259179346142e-05,9.310394439221264e-05,2.838558189068826e-05,2.8398249100559324e-05
MACS0416,PL4_PM2_PS1,7.932603780836766e-05,7.888288239061755e-05,2.1561238163135673e-05,2.1683993372797684e-05
MACS0416,PL4_PM2_PS2,6.88394982182119e-05,6.837982000689556e-05,1.8254615769024612e-05,1.8524183044901882e-05
MACS0416,PL5_PM1_PS1,9.445970587412633e-05,9.501532059784136e-05,2.8716657884202425e-05,2.8529955593912218e-05
MACS0416,PL5_PM1_PS2,9.672437329214493e-05,9.618434865979107e-05,2.8836573704493403e-05,2.8175639806655126e-05
MACS0416,PL5_PM2_PS1,7.901889042710688e-05,7.896430074144366e-05,2.3796667599636858e-05,2.3244982298385932e-05
MACS0416,PL5_PM2_PS2,7.038393594065554e-05,6.995134672515401e-05,2.084986592276063e-05,2.004237059328747e-05
MACS0416,PL6_PM1_PS1,9.434303021891014e-05,9.413760267353269e-05,2.8197744052111635e-05,2.7795578694787735e-05
MACS0416,PL6_PM1_PS2,9.456542545498727e-05,9.330409738722013e-05,2.886074339920511e-05,2.818175193840002e-05
MACS0416,PL6_PM2_PS1,7.914769575972133e-05,7.829978676118176e-05,2.2451321396580325e-05,2.2201374724627436e-05
MACS0416,PL6_PM2_PS2,6.804870665188773e-05,6.728159760323118e-05,1.886858328563551e-05,1.8867210645193824e-05
MACS1149,PL1_PM1_PS1,8.790758625337672e-05,8.756565271322255e-05,2.5660127493262236e-05,2.5082857228845506e-05
MACS1149,PL1_PM1_PS2,9.034059660337157e-05,8.969331078988792e-05,2.600754942342272e-05,2.5774255484223052e-05
MACS1149,PL1_PM2_PS1,7.973295889468734e-05,7.89522620528797e-05,1.9074507722407297e-05,1.851441706178749e-05
MACS1149,PL1_PM2_PS2,7.508429938645945e-05,7.502408165744431e-05,1.6986099412711952e-05,1.689930694469355e-05
MACS1149,PL2_PM1_PS1,9.064858277102507e-05,8.922374245350949e-05,2.6549859510166747e-05,2.682610571496473e-05
MACS1149,PL2_PM1_PS2,8.915675167211325e-05,8.825937962791345e-05,2.661050328613718e-05,2.7211382903311404e-05
MACS1149,PL2_PM2_PS1,7.544955132137922e-05,7.439587811452988e-05,2.11506644791798e-05,2.1423387868971097e-05
MACS1149,PL2_PM2_PS2,6.511293275915923e-05,6.441559556427385e-05,1.7761487745404593e-05,1.8134227684767785e-05
MACS1149,PL3_PM1_PS1,9.064593807133679e-05,8.930120605629947e-05,2.6692627865554207e-05,2.7158697898247375e-05
MACS1149,PL3_PM1_PS2,8.949095002651697e-05,8.860284448961127e-05,2.671160189305062e-05,2.7345137482672697e-05
MACS1149,PL3_PM2_PS1,7.580572813635294e-05,7.44951712439108e-05,2.1463726153017668e-05,2.1699701084313217e-05
MACS1149,PL3_PM2_PS2,6.513160842883934e-05,6.437725164622309e-05,1.802982493450448e-05,1.8270706319139833e-05
MACS1149,PL4_PM1_PS1,9.029933601082799e-05,8.927975916355046e-05,2.626854010602815e-05,2.628986327468167e-05
MACS1149,PL4_PM1_PS2,8.876750768275446e-05,8.785257089926657e-05,2.6361819908092768e-05,2.688064613598479e-05
MACS1149,PL4_PM2_PS1,7.568971635932947e-05,7.462657830597857e-05,2.072786396578123e-05,2.078404192131364e-05
MACS1149,PL4_PM2_PS2,6.595141113243816e-05,6.510455654569089e-05,1.7425367863171734e-05,1.7723116513014378e-05
MACS1149,PL5_PM1_PS1,9.030215661868444e-05,8.917831646422247e-05,2.669639090348758e-05,2.663542392938132e-05
MACS1149,PL5_PM1_PS2,9.069361040903162e-05,8.929907129277958e-05,2.7306867983037467e-05,2.686196025871329e-05
MACS1149,PL5_PM2_PS1,7.541407183798109e-05,7.397252461134478e-05,2.2022380618423698e-05,2.171130953234005e-05
MACS1149,PL5_PM2_PS2,6.596415522377835e-05,6.500046868226911e-05,1.9222308128816058e-05,1.8616621818589067e-05
MACS1149,PL6_PM1_PS1,9.064858277102507e-05,8.922374245350949e-05,2.6549859510166747e-05,2.682610571496473e-05
MACS1149,PL6_PM1_PS2,8.915675167211325e-05,8.825937962791345e-05,2.661050328613718e-05,2.7211382903311404e-05
MACS1149,PL6_PM2_PS1,7.544955132137922e-05,7.439587811452988e-05,2.11506644791798e-05,2.1423387868971097e-05
MACS1149,PL6_PM2_PS2,6.511293275915923e-05,6.441559556427385e-05,1.7761487745404593e-05,1.8134227684767785e-05
AbellS1063,PL1_PM1_PS1,9.100781525040137e-05,8.849188549394358e-05,2.708187482997616e-05,2.6736282999665558e-05
AbellS1063,PL1_PM1_PS2,9.279725674452607e-05,9.13011585686949e-05,2.7356982109666145e-05,2.747472056535766e-05
AbellS1063,PL1_PM2_PS1,8.142450135377402e-05,7.954549467046146e-05,1.999810375239955e-05,1.9706762247486786e-05
AbellS1063,PL1_PM2_PS2,7.66588460999038e-05,7.515519729963234e-05,1.799952401152705e-05,1.7834143268779536e-05
AbellS1063,PL2_PM1_PS1,9.05790844569014e-05,9.030773978263377e-05,2.715546621794003e-05,2.703203512585527e-05
AbellS1063,PL2_PM1_PS2,8.989559224946021e-05,8.998362441550319e-05,2.7368209867657377e-05,2.7374806434491717e-05
AbellS1063,PL2_PM2_PS1,7.573886528334145e-05,7.49095089703316e-05,2.181145104564099e-05,2.1372248453833192e-05
AbellS1063,PL2_PM2_PS2,6.57761170114622e-05,6.510598015566738e-05,1.8640146617724307e-05,1.8059718989329433e-05
AbellS1063,PL3_PM1_PS1,9.030189142836228e-05,9.050554056027952e-05,2.711844010336548e-05,2.7327516577582323e-05
AbellS1063,PL3_PM1_PS2,8.998724961831357e-05,9.033830704662672e-05,2.7377801935726513e-05,2.7430299875505626e-05
AbellS1063,PL3_PM2_PS1,7.547075593097394e-05,7.4950024141022e-05,2.2002253761831386e-05,2.176286726373697e-05
AbellS1063,PL3_PM2_PS2,6.557609660327018e-05,6.512352339671268e-05,1.8820340453952867e-05,1.8350968278875047e-05
AbellS1063,PL4_PM1_PS1,9.053853915701353e-05,9.02101556325626e-05,2.680322137916894e-05,2.6788013106257567e-05
AbellS1063,PL4_PM1_PS2,8.970944539399322e-05,8.94395159143802e-05,2.7348145388274363e-05,2.7164995074593778e-05
AbellS1063,PL4_PM2_PS1,7.618227492386993e-05,7.512858413942332e-05,2.1122265367999624e-05,2.0843423376350434e-05
AbellS1063,PL4_PM2_PS2,6.672067951967773e-05,6.578610847105395e-05,1.825098387663828e-05,1.7717995555388064e-05
AbellS1063,PL5_PM1_PS1,9.069289583480131e-05,9.001677208980747e-05,2.736937863492106e-05,2.669877041941173e-05
AbellS1063,PL5_PM1_PS2,9.078741441911324e-05,9.143193316296883e-05,2.7225473834156832e-05,2.6976837240537374e-05
AbellS1063,PL5_PM2_PS1,7.552053869577326e-05,7.489785152375714e-05,2.2684151545880193e-05,2.199938196961731e-05
AbellS1063,PL5_PM2_PS2,6.664181596884234e-05,6.622404529697992e-05,1.9764465834103726e-05,1.8996578166229362e-05
AbellS1063,PL6_PM1_PS1,9.05790844569014e-05,9.030773978263377e-05,2.715546621794003e-05,2.703203512585527e-05
AbellS1063,PL6_PM1_PS2,8.989559224946021e-05,8.998362441550319e-05,2.7368209867657377e-05,2.7374806434491717e-05
AbellS1063,PL6_PM2_PS1,7.573886528334145e-05,7.49095089703316e-05,2.181145104564099e-05,2.1372248453833192e-05
AbellS1063,PL6_PM2_PS2,6.57761170114622e-05,6.510598015566738e-05,1.8640146617724307e-05,1.8059718989329433e-05
Abell370,PL1_PM1_PS1,0.00010058012419143752,0.0001016955705616999,2.983181456149153e-05,2.9107197424786657e-05
Abell370,PL1_PM1_PS2,0.0001018266304352908,0.00010319735490457694,3.03092795156445e-05,2.996384656893098e-05
Abell370,PL1_PM2_PS1,8.812399643414897e-05,8.901499680927473e-05,2.09687351394037e-05,2.0912427497984836e-05
Abell370,PL1_PM2_PS2,8.162215441940428e-05,8.19698370896353e-05,1.8198984809835003e-05,1.8087000868543205e-05
Abell370,PL2_PM1_PS1,9.91902194002554e-05,9.989233234713034e-05,2.877139167426849e-05,2.8870458139756214e-05
Abell370,PL2_PM1_PS2,9.865892208783055e-05,9.948096808333386e-05,2.9314964211600195e-05,2.95536469831457e-05
Abell370,PL2_PM2_PS1,8.357109262412766e-05,8.340376782806658e-05,2.305457994689069e-05,2.3099268645540465e-05
Abell370,PL2_PM2_PS2,7.241611917472009e-05,7.180980774443203e-05,1.9305002095506706e-05,1.9237913996397676e-05
Abell370,PL3_PM1_PS1,9.910473975447131e-05,9.998452516039118e-05,2.8821127571004274e-05,2.9360215007044395e-05
Abell370,PL3_PM1_PS2,9.904027768788652e-05,0.00010006514611706133,2.930365725722405e-05,2.977471063828169e-05
Abell370,PL3_PM2_PS1,8.33561630542384e-05,8.330443929762654e-05,2.346283407902231e-05,2.3704507260844252e-05
Abell370,PL3_PM2_PS2,7.213873319745196e-05,7.167184505391396e-05,1.959475592733809e-05,1.9675842554768346e-05
Abell370,PL4_PM1_PS1,9.941318152090168e-05,0.00010022948668508034,2.8666661120234275e-05,2.8287757782922307e-05
Abell370,PL4_PM1_PS2,9.845501769155119e-05,9.919540956894351e-05,2.9394179354092904e-05,2.9434187741334865e-05
Abell370,PL4_PM2_PS1,8.434217979830207e-05,8.41204579244117e-05,2.2334741225215893e-05,2.227068756879466e-05
Abell370,PL4_PM2_PS2,7.391465426779936e-05,7.31391273714982e-05,1.894002864338484e-05,1.8701354380614578e-05
Abell370,PL5_PM1_PS1,9.778654425543196e-05,9.976067940168882e-05,2.9363016473279954e-05,3.0163203289265097e-05
Abell370,PL5_PM1_PS2,0.00010027623852700545,0.00010232620910674147,2.92362566220892e-05,3.0208016203109217e-05
Abell370,PL5_PM2_PS1,8.193300357976221e-05,8.299427598307073e-05,2.4252292454216373e-05,2.4790640163595207e-05
Abell370,PL5_PM2_PS2,7.338932768909497e-05,7.445519596932058e-05,2.122026056114172e-05,2.1499221090303466e-05
Abell370,PL6_PM1_PS1,9.91902194002554e-05,9.989233234713034e-05,2.877139167426849e-05,2.8870458139756214e-05
Abell370,PL6_PM1_PS2,9.865892208783055e-05,9.948096808333386e-05,2.9314964211600195e-05,2.95536469831457e-05
Abell370,PL6_PM2_PS1,8.357109262412766e-05,8.340376782806658e-05,2.305457994689069e-05,2.3099268645540465e-05
Abell370,PL6_PM2_PS2,7.241611917472009e-05,7.180980774443203e-05,1.9305002095506706e-05,1.9237913996397676e-05
