cluster_id,candidate_id,response_energy,f_irr_3d,f_sol_3d,f_irr_3d_cropped,f_sol_3d_cropped,f_z,F_Dz,D_rms,C_rms,helicity_total
MACS0416,PL5_PM1_PS2,7.039565829246812e-05,0.497747270206203,0.502252729793797,0.4880149024844627,0.5119850975155371,0.28824451954416436,0.37632828125865997,3.1877687899597805e-05,4.8875723332421644e-05,5.9648652851448016e-09
MACS0416,PL5_PM2_PS1,4.825531441992905e-05,0.5064819460476424,0.49351805395235765,0.5043288947233164,0.49567110527668357,0.2868376774788184,0.3259706513398485,2.7811924575958267e-05,3.9060278545053764e-05,6.190637826690915e-08
MACS0416,PL5_PM2_PS2,3.5591100055882184e-05,0.520379179777518,0.4796208202224821,0.5115468097964981,0.4884531902035019,0.27167128259660256,0.3315573396497242,2.1639234426596015e-05,3.4670568732605334e-05,-3.483562668886653e-08
MACS0416,PL6_PM1_PS1,7.160292315616319e-05,0.49196514174148,0.50803485825852,0.4897188199970725,0.5102811800029274,0.291828173667245,0.36783461470483925,3.4417792293724964e-05,4.77860531670319e-05,-5.5330695554483464e-08
MACS0416,PL6_PM1_PS2,7.07140976630717e-05,0.4837303838783684,0.5162696161216316,0.4742344034594054,0.5257655965405946,0.28049825500866926,0.39513234829524974,3.171667711680562e-05,4.9358175748252645e-05,-1.681363790045946e-07
MACS0416,PL6_PM2_PS1,4.787550520674397e-05,0.5062900093903374,0.4937099906096626,0.5043299319387605,0.4956700680612394,0.2795685569332274,0.325896474779465,2.752073737963253e-05,3.910699994154288e-05,-7.075804359039249e-08
MACS0416,PL6_PM2_PS2,3.509214933535632e-05,0.5114213228915729,0.48857867710842706,0.5030401617693975,0.4969598382306026,0.2595495967295438,0.35287501865951443,2.118378340400537e-05,3.478734562332242e-05,-3.1088753089195996e-08
MACS1149,PL1_PM1_PS1,6.551536850221202e-05,0.490066316194395,0.5099336838056049,0.4855646363391239,0.5144353636608762,0.22351068171710653,0.2967547632089589,3.179423220036231e-05,4.6957266863124377e-05,-5.992845868863898e-08
MACS1149,PL1_PM1_PS2,6.667714415370117e-05,0.5130057246236769,0.4869942753763231,0.5067282215858991,0.4932717784141008,0.21650068711944226,0.30393456677816505,3.210039245189763e-05,4.730152923413246e-05,1.691754620115687e-07
MACS1149,PL1_PM2_PS1,4.8131657652410195e-05,0.530945676223354,0.4690543237766461,0.5233498228539657,0.47665017714603425,0.23817745935520798,0.29912442439859266,2.731372606013978e-05,3.963173351667182e-05,-3.135753505504552e-08
MACS1149,PL1_PM2_PS2,4.357448097719141e-05,0.5524123777175945,0.4475876222824054,0.5429612146531309,0.45703878534686915,0.23186693507942008,0.3173486813179173,2.6057784725463698e-05,3.793458181437832e-05,8.967136309281914e-08
MACS1149,PL2_PM1_PS1,6.883833592001863e-05,0.491185048351771,0.5088149516482289,0.48858423936985385,0.5114157606301462,0.29081355898441746,0.40022276093225473,3.362023083825478e-05,4.70211737279833e-05,-3.715093500963775e-08
MACS1149,PL2_PM1_PS2,6.74300944411016e-05,0.4847617762252337,0.5152382237747664,0.47488796471012207,0.5251120352898779,0.2825255638196574,0.4408232551793899,3.07394991780803e-05,4.8455203693638673e-05,1.8055195937329332e-07
MACS1149,PL2_PM2_PS1,4.612964755091436e-05,0.5015859328345131,0.4984140671654869,0.4992282871746351,0.5007717128253649,0.28115941566855557,0.35998521678592005,2.6897626901486306e-05,3.855924144262586e-05,3.8804944231828766e-08
MACS1149,PL2_PM2_PS2,3.356244552321972e-05,0.5096519472579439,0.49034805274205595,0.5009872977808792,0.4990127022191208,0.2607963595062931,0.39368116809677095,2.0494426731783502e-05,3.419909976121903e-05,4.77232002698965e-08
MACS1149,PL3_PM1_PS1,6.897409306932194e-05,0.4905867928666433,0.5094132071333567,0.4883756412690195,0.5116243587309804,0.2946780641854943,0.4011608095409771,3.3647524064337944e-05,4.7040653985425e-05,-1.882377105820279e-08
MACS1149,PL3_PM1_PS2,6.749690406691349e-05,0.4844178937543097,0.5155821062456902,0.4745784177055924,0.5254215822944075,0.2850261340470464,0.44114729160084426,3.0628658716135395e-05,4.84903307316596e-05,1.3860005227014841e-07
MACS1149,PL3_PM2_PS1,4.622497884972553e-05,0.5006809557082265,0.4993190442917736,0.4984973040511871,0.5015026959488129,0.285148807139408,0.36130443136796564,2.6912589301477675e-05,3.856943885788268e-05,3.4995377238720144e-08
MACS1149,PL3_PM2_PS2,3.341540521346789e-05,0.5088311931672345,0.4911688068327657,0.5001202355568264,0.49987976444317367,0.2654766717133388,0.3968210785467086,2.0356135601886158e-05,3.4142961101755194e-05,2.7472042790196867e-08
MACS1149,PL4_PM1_PS1,6.87956738064567e-05,0.49204046634598325,0.5079595336540167,0.4888806135192156,0.5111193864807844,0.2846445777061848,0.39819352002241126,3.360786108767896e-05,4.7062628279146574e-05,7.17113586813644e-08
MACS1149,PL4_PM1_PS2,6.720530603221168e-05,0.48766667611583175,0.5123333238841684,0.4778488521838676,0.5221511478161324,0.27667867598664075,0.4362997821215026,3.1007298826070954e-05,4.829693518836473e-05,3.5601421285511814e-07
MACS1149,PL4_PM2_PS1,4.605847097094964e-05,0.5038000296419756,0.49619997035802454,0.5011761564243994,0.4988238435756006,0.2720436216109382,0.3541030073782502,2.6863916462386977e-05,3.8575950362105814e-05,4.7622317838001326e-08
MACS1149,PL4_PM2_PS2,3.425451716467595e-05,0.5134848423022301,0.4865151576977699,0.5049901132427805,0.4950098867572194,0.2513427212555503,0.37977680266612823,2.098069219367947e-05,3.442653099453343e-05,9.421306076487687e-08
MACS1149,PL5_PM1_PS1,6.857145605884603e-05,0.4906502692959418,0.5093497307040581,0.4891497621504948,0.5108502378495052,0.3004200475686313,0.403320758672684,3.352749572545161e-05,4.686908221778678e-05,2.172024526166843e-07
MACS1149,PL5_PM1_PS2,6.709027516500735e-05,0.4886852237820925,0.5113147762179076,0.47918162449364443,0.5208183755063556,0.2902617394162009,0.4330217245922666,3.052261180696903e-05,4.823017629297686e-05,1.4934630161680052e-07
MACS1149,PL5_PM2_PS1,4.6168914610426304e-05,0.4992888279429528,0.5007111720570472,0.49764378386990543,0.5023562161300945,0.28912815208673287,0.36407597156785965,2.6875179145084173e-05,3.853526965369805e-05,1.0913290230469556e-07
MACS1149,PL5_PM2_PS2,3.3703845243044e-05,0.5117519975863422,0.4882480024136579,0.5032432862472488,0.4967567137527512,0.27324745827504054,0.38885367419424155,2.0507434938410613e-05,3.4149488763957775e-05,-3.5806508897323066e-09
MACS1149,PL6_PM1_PS1,6.883833592001863e-05,0.491185048351771,0.5088149516482289,0.48858423936985385,0.5114157606301462,0.29081355898441746,0.40022276093225473,3.362023083825478e-05,4.70211737279833e-05,-3.715093500963775e-08
MACS1149,PL6_PM1_PS2,6.74300944411016e-05,0.4847617762252337,0.5152382237747664,0.47488796471012207,0.5251120352898779,0.2825255638196574,0.4408232551793899,3.07394991780803e-05,4.8455203693638673e-05,1.8055195937329332e-07
MACS1149,PL6_PM2_PS1,4.612964755091436e-05,0.5015859328345131,0.4984140671654869,0.4992282871746351,0.5007717128253649,0.28115941566855557,0.35998521678592005,2.6897626901486306e-05,3.855924144262586e-05,3.8804944231828766e-08
MACS1149,PL6_PM2_PS2,3.356244552321972e-05,0.5096519472579439,0.49034805274205595,0.5009872977808792,0.4990127022191208,0.2607963595062931,0.39368116809677095,2.0494426731783502e-05,3.419909976121903e-05,4.77232002698965e-08
AbellS1063,PL1_PM1_PS1,6.690372908828697e-05,0.49085157036744587,0.5091484296325541,0.4860235282306755,0.5139764717693245,0.23489160347291754,0.3098723532030031,3.219874083801635e-05,4.7264599639087726e-05,-1.642196259154678e-07
AbellS1063,PL1_PM1_PS2,6.831660535582503e-05,0.5161704500258545,0.4838295499741455,0.5096412519053554,0.4903587480946448,0.2289106626324399,0.3141796993349729,3.270590533977905e-05,4.759261953889856e-05,-2.082371668666599e-08
AbellS1063,PL1_PM2_PS1,4.9473044156443644e-05,0.5321270751709207,0.4678729248290793,0.5244803686271243,0.4755196313728756,0.2515419637601037,0.31688919533730897,2.7804266694721693e-05,4.0093604660391015e-05,-7.513201197423909e-08
AbellS1063,PL1_PM2_PS2,4.5023575044074145e-05,0.5536304769036643,0.4463695230963357,0.5439429824753381,0.4560570175246618,0.24782134799057073,0.33322325960645455,2.672220159441628e-05,3.8470722654462986e-05,-5.988214899110052e-08
AbellS1063,PL2_PM1_PS1,7.000705207494857e-05,0.4896827567678136,0.5103172432321864,0.48777655143572446,0.5122234485642755,0.2915389568532943,0.40237494155874876,3.3766408254394634e-05,4.73803194813377e-05,7.036669327588338e-08
AbellS1063,PL2_PM1_PS2,6.890571847699081e-05,0.48259940121600853,0.5174005987839915,0.4729451315376574,0.5270548684623426,0.28217988268915517,0.44135592998326006,3.096331717203098e-05,4.8862772343391866e-05,-5.124275252188617e-08
AbellS1063,PL2_PM2_PS1,4.668887656765489e-05,0.5022678817149686,0.49773211828503144,0.5004383786383861,0.49956162136161386,0.28095030288672224,0.3612235196663968,2.689896567644474e-05,3.877593736502831e-05,-6.437389791321276e-08
AbellS1063,PL2_PM2_PS2,3.423518563242531e-05,0.511156483375369,0.4888435166246309,0.5027146969112143,0.49728530308878566,0.26043011473613037,0.39486489350773996,2.0639625599127342e-05,3.444407666566162e-05,-2.0274436552215953e-08
