cluster_id,candidate_id,eps_H_padded,eps_H_cropped
MACS1149,PL3_PM1_PS2,-0.03339139847233035,-0.014625575129843924
MACS1149,PL3_PM2_PS1,-0.032181647147922994,-0.013424128443943995
MACS1149,PL3_PM2_PS2,-0.040046731061701514,-0.016344999458396948
MACS1149,PL4_PM1_PS1,-0.030885806980927907,-0.013171166963043738
MACS1149,PL4_PM1_PS2,-0.03326673409845718,-0.014756544489654279
MACS1149,PL4_PM2_PS1,-0.03213858716386509,-0.013791893858606406
MACS1149,PL4_PM2_PS2,-0.039062332937718,-0.01656075631189552
MACS1149,PL5_PM1_PS1,-0.031021551580168675,-0.012578568688232346
MACS1149,PL5_PM1_PS2,-0.032897387993530716,-0.014487127098857399
MACS1149,PL5_PM2_PS1,-0.03239765626752116,-0.013230949792488289
MACS1149,PL5_PM2_PS2,-0.03951748090933178,-0.016102147931328376
MACS1149,PL6_PM1_PS1,-0.031166024702373868,-0.012979505297108023
MACS1149,PL6_PM1_PS2,-0.03352014621054374,-0.014626029280686638
MACS1149,PL6_PM2_PS1,-0.03213984396775189,-0.013488760537507395
MACS1149,PL6_PM2_PS2,-0.03995915965046514,-0.016385245023618423
AbellS1063,PL1_PM1_PS1,-0.026508193065062927,-0.012587480924625263
AbellS1063,PL1_PM1_PS2,-0.029002079373116402,-0.013523664056920298
AbellS1063,PL1_PM2_PS1,-0.031245466762090248,-0.01355216110509408
AbellS1063,PL1_PM2_PS2,-0.03401964191655914,-0.014564350020055001
AbellS1063,PL2_PM1_PS1,-0.029410979262652834,-0.012543891674767335
AbellS1063,PL2_PM1_PS2,-0.03233719430192893,-0.014240861027042386
AbellS1063,PL2_PM2_PS1,-0.030706474158958892,-0.01314712813250101
AbellS1063,PL2_PM2_PS2,-0.03854253359121004,-0.0159768923294454
AbellS1063,PL3_PM1_PS1,-0.029890820952666656,-0.012505234693459126
AbellS1063,PL3_PM1_PS2,-0.03238580380955785,-0.01417268830333367
AbellS1063,PL3_PM2_PS1,-0.031078162299891177,-0.01305020231698912
AbellS1063,PL3_PM2_PS2,-0.03907876252149424,-0.015925711557743374
AbellS1063,PL4_PM1_PS1,-0.029089598426423693,-0.012848209606566829
AbellS1063,PL4_PM1_PS2,-0.03173685289529517,-0.014286523400665892
AbellS1063,PL4_PM2_PS1,-0.03054164487490643,-0.01338855212989723
AbellS1063,PL4_PM2_PS2,-0.03746144761032731,-0.01597223279222149
AbellS1063,PL5_PM1_PS1,-0.0307642016877384,-0.012474077283655878
AbellS1063,PL5_PM1_PS2,-0.03256570188597657,-0.014323486883059112
AbellS1063,PL5_PM2_PS1,-0.03211333286580233,-0.013103516024676038
AbellS1063,PL5_PM2_PS2,-0.03889771222736338,-0.015912444424904512
AbellS1063,PL6_PM1_PS1,-0.029410979262652834,-0.012543891674767335
AbellS1063,PL6_PM1_PS2,-0.03233719430192893,-0.014240861027042386
AbellS1063,PL6_PM2_PS1,-0.030706474158958892,-0.01314712813250101
AbellS1063,PL6_PM2_PS2,-0.03854253359121004,-0.0159768923294454
Abell370,PL1_PM1_PS1,-0.023241624618081894,-0.012321479139155959
Abell370,PL1_PM1_PS2,-0.02724711935573778,-0.01342827817203214
Abell370,PL1_PM2_PS1,-0.028139829909170085,-0.0133524022421801
Abell370,PL1_PM2_PS2,-0.03400587345515648,-0.01460504361538335
Abell370,PL2_PM1_PS1,-0.026755364339952865,-0.011907005095866235
Abell370,PL2_PM1_PS2,-0.029301686539941862,-0.013265485877842756
Abell370,PL2_PM2_PS1,-0.02767442215088025,-0.012484682034171723
Abell370,PL2_PM2_PS2,-0.03552466463555577,-0.015145524748226868
Abell370,PL3_PM1_PS1,-0.02680693766479495,-0.011814240998027243
Abell370,PL3_PM1_PS2,-0.029002739234466966,-0.013095681085140698
Abell370,PL3_PM2_PS1,-0.027806256203673763,-0.012367008565748159
Abell370,PL3_PM2_PS2,-0.03591530701368252,-0.015087444939265875
Abell370,PL4_PM1_PS1,-0.025845619240201016,-0.01192240269997321
Abell370,PL4_PM1_PS2,-0.02906737651431405,-0.013378260291058826
Abell370,PL4_PM2_PS1,-0.02718492533766636,-0.012554638499559111
Abell370,PL4_PM2_PS2,-0.033999486903170534,-0.015020675488709796
Abell370,PL5_PM1_PS1,-0.028184056191231665,-0.011590038422259247
Abell370,PL5_PM1_PS2,-0.02947053762559526,-0.013049243162202151
Abell370,PL5_PM2_PS1,-0.0293682147023361,-0.012209160855100513
Abell370,PL5_PM2_PS2,-0.035422112148842715,-0.014541912849240213
Abell370,PL6_PM1_PS1,-0.026755364339952865,-0.011907005095866235
Abell370,PL6_PM1_PS2,-0.029301686539941862,-0.013265485877842756
Abell370,PL6_PM2_PS1,-0.02767442215088025,-0.012484682034171723
Abell370,PL6_PM2_PS2,-0.03552466463555577,-0.015145524748226868
