cluster_id,candidate_id,pair_symmetrization,magnitude_formulation,longitudinal_reference,response_energy,f_irr_3d,antisymmetry_error
AbellS1063,PL5_PM1_PS2,PS2,PM1,PL5,6.802414849364031e-05,0.4927381093195196,0.0
AbellS1063,PL5_PM2_PS1,PS1,PM2,PL5,4.669669239689164e-05,0.5025255426462335,0.00012461092493064362
AbellS1063,PL5_PM2_PS2,PS2,PM2,PL5,3.4323367424138745e-05,0.5165972518497144,0.0
AbellS1063,PL6_PM1_PS1,PS1,PM1,PL6,7.000705207494857e-05,0.4896827567678136,0.00019627574100995672
AbellS1063,PL6_PM1_PS2,PS2,PM1,PL6,6.890571847699081e-05,0.48259940121600853,0.0
AbellS1063,PL6_PM2_PS1,PS1,PM2,PL6,4.668887656765489e-05,0.5022678817149686,8.021460436804678e-05
AbellS1063,PL6_PM2_PS2,PS2,PM2,PL6,3.423518563242531e-05,0.511156483375369,0.0
Abell370,PL1_PM1_PS1,PS1,PM1,PL1,7.224901893095192e-05,0.495401538133966,0.00019623410460616752
Abell370,PL1_PM1_PS2,PS2,PM1,PL1,7.310396672367269e-05,0.5178973458879766,0.0
Abell370,PL1_PM2_PS1,PS1,PM2,PL1,5.0870239852263084e-05,0.536526879532374,6.664679936148996e-05
Abell370,PL1_PM2_PS2,PS2,PM2,PL1,4.521557312255807e-05,0.5553015634925794,0.0
Abell370,PL2_PM1_PS1,PS1,PM1,PL2,7.458044863927689e-05,0.5022003725775684,0.00019024293552481823
Abell370,PL2_PM1_PS2,PS2,PM1,PL2,7.40849331008217e-05,0.4897609458907011,0.0
Abell370,PL2_PM2_PS1,PS1,PM2,PL2,4.971647102033615e-05,0.5169106746679129,6.828074783744559e-05
Abell370,PL2_PM2_PS2,PS2,PM2,PL2,3.668032555629902e-05,0.5181278958541903,0.0
Abell370,PL3_PM1_PS1,PS1,PM1,PL3,7.448193992404866e-05,0.5031177619081059,0.00017693346146474732
Abell370,PL3_PM1_PS2,PS2,PM1,PL3,7.39966247125314e-05,0.48979683401116025,0.0
Abell370,PL3_PM2_PS1,PS1,PM2,PL3,4.981149195714908e-05,0.5156712705658715,6.912874304724437e-05
Abell370,PL3_PM2_PS2,PS2,PM2,PL3,3.6207724392157296e-05,0.5170303646980648,0.0
Abell370,PL4_PM1_PS1,PS1,PM1,PL4,7.452771335893224e-05,0.500619109728807,0.00019872411214206766
Abell370,PL4_PM1_PS2,PS2,PM1,PL4,7.402675662974878e-05,0.49238987956637764,0.0
Abell370,PL4_PM2_PS1,PS1,PM2,PL4,4.963746752205803e-05,0.5192398553962181,6.755363424049755e-05
Abell370,PL4_PM2_PS2,PS2,PM2,PL4,3.8056028357880486e-05,0.5237862666839592,0.0
Abell370,PL5_PM1_PS1,PS1,PM1,PL5,7.404769864263908e-05,0.5025413768012287,0.00019075577001601525
Abell370,PL5_PM1_PS2,PS2,PM1,PL5,7.3167554475091e-05,0.5048155177352606,0.0
Abell370,PL5_PM2_PS1,PS1,PM2,PL5,4.977347002554763e-05,0.513557930567161,9.256656734283076e-05
Abell370,PL5_PM2_PS2,PS2,PM2,PL5,3.705466830157862e-05,0.5283978619274262,0.0
Abell370,PL6_PM1_PS1,PS1,PM1,PL6,7.458044863927689e-05,0.5022003725775684,0.00019024293552481823
Abell370,PL6_PM1_PS2,PS2,PM1,PL6,7.40849331008217e-05,0.4897609458907011,0.0
Abell370,PL6_PM2_PS1,PS1,PM2,PL6,4.971647102033615e-05,0.5169106746679129,6.828074783744559e-05
Abell370,PL6_PM2_PS2,PS2,PM2,PL6,3.668032555629902e-05,0.5181278958541903,0.0
