architecture_number,architecture_code,architecture_name,is_wrong,internal_nodes,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,internal_circulation_score,multiplicative_coupling_score,cooperative_response_score,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating_disturbance,standing_mode,transverse_mode,longitudinal_mode,polarization_like,attenuation,dispersion,coherence_length,wave_mode_count,wave_emerged
9,A9,Cooperative Cell,False,1,each cell internally computes weighted 9-point neighbourhood response before updating,AbellS1063,Abell S1063,0.09368359221710161,0.07738586286165808,-0.04371068012804879,0.08752704636122766,0.1350304884087793,0.06723509800776796,-0.05535036533233855,-0.018748243560078495,0.23443950805813074,2.220446049250313e-16,0.0039457695030080155,0.999661909682232,0.005227089207313537,0.0,0.0066442807200616716,0.0,0.0,0.04512975884170623,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
10,A10,Unified Microcell,False,4,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",AbellS1063,Abell S1063,-0.007896679074908718,-0.10117419701740674,0.006545443195677511,-0.001489204837562982,0.6733318133027968,0.41523445071384657,0.0022765770037817008,0.3369631537238757,0.25369039992801845,2.220446049250313e-16,-0.007465422810558977,0.908584452835426,2.024758643727291,1.0,-0.004766911593505321,0.033232498521089227,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.6666666666666667,2,True
11,WR1,Wrong: Random Internal Topology,True,2,internal node connections randomly reshuffled each step,AbellS1063,Abell S1063,0.08601322166889461,0.08756952689232853,-0.0059282164492108404,0.04610386588538363,0.4448128872811624,0.2316569041711277,-0.050932296982219356,0.17032149656690732,0.2543752009514719,2.220446049250313e-16,-0.003932528806995042,-0.5099896581148219,0.35319899330838594,1.0,-0.0012340175899413863,0.0,0.0,0.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
12,WR2,Wrong: Disconnected Internal Nodes,True,2,internal nodes evolve independently with no internal coupling,AbellS1063,Abell S1063,0.1085182189763948,0.07278564389131156,-0.045984493976092375,0.08351124030780635,0.13450438758769884,0.0651050145764233,-0.054771602822937505,-0.016269081133574392,0.23480435798410326,2.220446049250313e-16,0.0018424185336347759,0.9046415692436576,0.009097363765570505,0.0,0.0045409297506884315,0.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
13,WR3,Wrong: Over-Connected Constituent,True,3,all internal nodes equally coupled to all others including every neighbour,AbellS1063,Abell S1063,0.117742514529077,0.10509055633725012,-0.05654647584027897,0.11501591229465939,0.13791575631233674,0.06310071301212433,-0.05726632267953797,-0.016069702894237623,0.2391718600410968,2.220446049250313e-16,0.00023465789817197352,0.0011719099897792421,0.02358722204595998,0.0,0.002933169115225629,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.11177044826797669,0.9916216662565801,0.0,0.0,0.0,3.0,1,True
14,WR4,Wrong: Frozen Internal Architecture,True,2,internal architecture frozen; node state evolves but internal DOFs do not,AbellS1063,Abell S1063,0.1173958320572479,0.04619919050300447,-0.04802650934069451,0.05922928205874743,0.13386094133649434,0.06325621037489196,-0.05460482519837764,-0.013804517446131873,0.23590094910468906,2.220446049250313e-16,0.00041949573599394307,0.9045165123345704,0.011851959659889277,0.0,0.0031180069530475987,0.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
1,A1,Point Element,False,1,"single microscopic node u(x,y); linear relaxation control",Abell370,Abell 370,0.20289728167979496,0.04023940028837765,-0.030061905483762443,0.06545043490764643,0.16886765813835705,0.08744269951317174,-0.06506669687960086,-0.02023382352256688,0.23535602807532996,2.220446049250313e-16,-0.0010359712917353036,0.9995338967689402,0.008872892579686981,0.0,-0.00345250669508885,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
2,A2,Two-State Constituent,False,2,"two coupled internal nodes u_a, u_b with shared local equilibrium",Abell370,Abell 370,0.2113574018658281,0.08333481593286754,-0.024379402360776608,0.10345610368691012,0.16484564189211284,0.08537491745915862,-0.06378934909310997,-0.020978836570339925,0.23521839804016054,2.220446049250313e-16,-0.0006230403368690362,0.9057443247586004,0.011652901289122016,0.0,-0.0030395757402225825,0.0010000207489556559,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.45570107601697235,0.49758360476952096,0.00998628980067362,0.0,0.0,3.0,2,True
3,A3,Three-State Constituent,False,3,"triangular microstructure u_a, u_b, u_c; cycle coupling allows internal circulation",Abell370,Abell 370,0.1989195950919916,0.06316259471270703,-0.03292511661657418,0.08608823078558533,0.16832271310043626,0.08552648473287452,-0.06566766462444835,-0.019042074741508104,0.23566713894251734,2.220446049250313e-16,-0.00038290259540972593,0.9059359189422942,0.01138328631873625,0.0,-0.0027994379987632723,0.008388920410173096,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.11230585643926896,0.9889918929040813,0.0,0.0,0.0,3.0,1,True
4,A4,Elastic Link Element,False,1,node plus elastic connections to neighbours; internal deformation possible,Abell370,Abell 370,0.19984780479957714,0.01021893356075891,-0.034259853468797105,0.03829457980278972,0.1723471376129695,0.08933388927314917,-0.06602495178121807,-0.018700719733035172,0.23544293805025518,2.220446049250313e-16,-0.00043443102057676456,0.9959861636135438,0.005816635399230462,0.0,-0.002850966423930311,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
5,A5,Oscillator Cell,False,2,"local oscillator z(x,y) = r·exp(iφ); neighbour coupling K·(<z>_n − z)",Abell370,Abell 370,0.028751788520150725,-0.04680255283992661,-0.00355294487407706,0.001765701735149143,0.6916285853471781,0.377161707688999,-0.07175980107262801,0.27879247934513923,0.25695105304475874,2.220446049250313e-16,0.004351270144550732,0.9110986442396569,1.9975396990630776,1.0,0.0019347347411971848,0.0,1.0,0.0,1.0,78.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,35.666666666666664,2,True
6,A6,Rotational Cell,False,1,internal rotational DOF θ evolves by neighbour alignment; orientation emerges,Abell370,Abell 370,-0.17432034312618,-0.014617592860438667,-0.009994857769143385,0.005253041528851473,1.38859339506668,0.7014449026606817,-0.010592733871187341,0.554587962263763,0.26394516800064594,2.220446049250313e-16,0.0008335714343195657,0.9914894025580848,1.6238048700778283,0.0,-0.0015829639690339806,0.0,0.0,0.0,8.0,18.0,3.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,13.0,1,True
7,A7,Loop Constituent,False,3,closed internal loop (3 nodes x->y->z->x); supports circulating internal state without explicit phase,Abell370,Abell 370,0.19891959509199134,0.06316259471270695,-0.03292511661657401,0.08608823078558529,0.16832271310043626,0.08552648473287454,-0.06566766462444834,-0.01904207474150811,0.23567817895673215,2.220446049250313e-16,-0.0003829025954097229,0.905935918942294,0.01138328631873625,0.0,-0.0027994379987632692,0.002925992294316376,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.11229993586128775,0.9889878116844781,0.0,0.0,0.0,3.0,1,True
8,A8,Dual-Layer Constituent,False,2,fast internal dynamics u_fast + slow structural u_slow; memory emerges from layer separation,Abell370,Abell 370,0.20547583669763195,0.030543087312358753,-0.04075242826458672,0.05662946271431993,0.17257782953805545,0.08870575466866296,-0.06706711923839338,-0.018399953826568012,0.2363045089878142,2.220446049250313e-16,-0.0003033251407733124,0.9423732853075735,0.009325027714834093,0.0,-0.0027198605441268587,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.5318157461749762,0.49813285292318193,0.0077349942377478165,0.0,0.0,3.0,2,True
9,A9,Cooperative Cell,False,1,each cell internally computes weighted 9-point neighbourhood response before updating,Abell370,Abell 370,0.20246048926560462,0.03935458750886689,-0.030021048436445298,0.06476228431990814,0.17031353388463394,0.0875242689750207,-0.06511150465806767,-0.01928310029841778,0.23569256800692528,2.220446049250313e-16,-0.0010470976640806818,0.99949754355602,0.009055413723360953,0.0,-0.003463633067434228,0.0,0.0,0.06651159961999688,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
10,A10,Unified Microcell,False,4,"multi-DOF cell: oscillation (r,φ) + neighbour coupling + reversible storage; no explicit S9 variables",Abell370,Abell 370,0.044280277936999714,-0.07376351098191265,-0.011745613620264241,-0.0024526454688653895,0.7713978082124716,0.4227520124798103,-0.09333129616140018,0.3085092933874798,0.2560274120187387,2.220446049250313e-16,0.0047261216934191465,0.9056055509070593,1.8298047724985433,1.0,0.0023095862900656,0.020315017586155663,1.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,60.666666666666664,2,True
11,WR1,Wrong: Random Internal Topology,True,2,internal node connections randomly reshuffled each step,Abell370,Abell 370,0.05567983836257813,-0.051879320810364025,-0.004110333833275237,-0.0081908072814723,0.46724601973033175,0.2325204461521858,-0.06651911519306215,0.15479804669846167,0.2537952809361741,2.220446049250313e-16,0.0010582542286405666,-0.5099896581148218,0.35319899330838594,1.0,-0.0013582811747129798,0.0,0.0,0.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
12,WR2,Wrong: Disconnected Internal Nodes,True,2,internal nodes evolve independently with no internal coupling,Abell370,Abell 370,0.21135740186582844,0.08333481593286747,-0.024379402360776802,0.10345610368691006,0.16484564189211282,0.08537491745915862,-0.06378934909311,-0.02097883657033993,0.23489557800348848,2.220446049250313e-16,-0.0006230403368690362,0.9057443247586006,0.011652901289122016,0.0,-0.0030395757402225825,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
13,WR3,Wrong: Over-Connected Constituent,True,3,all internal nodes equally coupled to all others including every neighbour,Abell370,Abell 370,0.16912424515893562,0.04855856476782767,-0.03186702874266618,0.07399120558915058,0.18055206252268555,0.0864621753544358,-0.06682493870632696,-0.011712184555946956,0.23923558101523668,2.220446049250313e-16,0.004275661601009656,-0.0007958025569638161,0.02358722204595998,0.0,0.0018591261976561096,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.09386272347338412,0.9940658391225504,0.0,0.0,0.0,3.0,1,True
14,WR4,Wrong: Frozen Internal Architecture,True,2,internal architecture frozen; node state evolves but internal DOFs do not,Abell370,Abell 370,0.1914353596483473,0.07333210459918361,-0.03209266421025944,0.09568922860790494,0.17087235482577717,0.08500545950046558,-0.06579996104524242,-0.01669687555390584,0.2343695980962366,2.220446049250313e-16,-2.791654577229694e-05,0.9050770172972052,0.013916519193328423,0.0,-0.0024444519491258433,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,False
